startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",29651503
"2013-01-02T00:00:00","2013-01-03T00:00:00",31485500
"2013-01-03T00:00:00","2013-01-04T00:00:00",32821251
"2013-01-04T00:00:00","2013-01-05T00:00:00",31585175
"2013-01-05T00:00:00","2013-01-06T00:00:00",29550222
"2013-01-06T00:00:00","2013-01-07T00:00:00",30782866
"2013-01-07T00:00:00","2013-01-08T00:00:00",32838900
"2013-01-08T00:00:00","2013-01-09T00:00:00",32988329
"2013-01-09T00:00:00","2013-01-10T00:00:00",30461256
"2013-01-10T00:00:00","2013-01-11T00:00:00",30588420
"2013-01-11T00:00:00","2013-01-12T00:00:00",30188150
"2013-01-12T00:00:00","2013-01-13T00:00:00",27424451
"2013-01-13T00:00:00","2013-01-14T00:00:00",31025587
"2013-01-14T00:00:00","2013-01-15T00:00:00",31675679
"2013-01-15T00:00:00","2013-01-16T00:00:00",31449660
"2013-01-16T00:00:00","2013-01-17T00:00:00",31962755
"2013-01-17T00:00:00","2013-01-18T00:00:00",31852279
"2013-01-18T00:00:00","2013-01-19T00:00:00",31213387
"2013-01-19T00:00:00","2013-01-20T00:00:00",26944879
"2013-01-20T00:00:00","2013-01-21T00:00:00",28991952
"2013-01-21T00:00:00","2013-01-22T00:00:00",32815590
"2013-01-22T00:00:00","2013-01-23T00:00:00",29724168
"2013-01-23T00:00:00","2013-01-24T00:00:00",32183035
"2013-01-24T00:00:00","2013-01-25T00:00:00",32014148
"2013-01-25T00:00:00","2013-01-26T00:00:00",31663158
"2013-01-26T00:00:00","2013-01-27T00:00:00",28251866
"2013-01-27T00:00:00","2013-01-28T00:00:00",29205623
"2013-01-28T00:00:00","2013-01-29T00:00:00",32779467
"2013-01-29T00:00:00","2013-01-30T00:00:00",32506055
"2013-01-30T00:00:00","2013-01-31T00:00:00",31782511
"2013-01-31T00:00:00","2013-02-01T00:00:00",29456756
"2013-02-01T00:00:00","2013-02-02T00:00:00",30216071
