"date","unique_authors"
2019-01-01,"6241714"
2019-01-02,"6729380"
2019-01-03,"7073108"
2019-01-04,"6368132"
2019-01-05,"6572108"
2019-01-06,"7016428"
2019-01-07,"7352510"
2019-01-08,"7185705"
2019-01-09,"7033175"
2019-01-10,"7001693"
2019-01-11,"6284342"
2019-01-12,"6438646"
2019-01-13,"6573919"
2019-01-14,"6996782"
2019-01-15,"6922484"
2019-01-16,"7051916"
2019-01-17,"7057947"
2019-01-18,"6352719"
2019-01-19,"6385620"
2019-01-20,"7835542"
2019-01-21,"6920531"
2019-01-22,"7120376"
2019-01-23,"7190169"
2019-01-24,"7378050"
2019-01-25,"6154159"
2019-01-26,"5896084"
2019-01-27,"6832564"
2019-01-28,"7130359"
2019-01-29,"7306159"
2019-01-30,"7286657"
2019-01-31,"7025677"
2019-02-01,"6044779"
2019-02-02,"5964962"
2019-02-03,"7708091"
2019-02-04,"6727387"
2019-02-05,"7517592"
2019-02-06,"7060161"
2019-02-07,"6934318"
2019-02-08,"6043200"
2019-02-09,"5911571"
2019-02-10,"7005795"
2019-02-11,"6988104"
2019-02-12,"7217728"
2019-02-13,"7293058"
2019-02-14,"6828219"
2019-02-15,"5867139"
2019-02-16,"5836730"
2019-02-17,"6396435"
2019-02-18,"6868786"
2019-02-19,"7106231"
2019-02-20,"7307095"
2019-02-21,"7155731"
2019-02-22,"6231794"
2019-02-23,"5948652"
2019-02-24,"6998266"
2019-02-25,"6929110"
2019-02-26,"7512610"
2019-02-27,"7323527"
2019-02-28,"7311069"
2019-03-01,"6245595"
2019-03-02,"5936811"
2019-03-03,"6589912"
2019-03-04,"7064378"
2019-03-05,"7143138"
2019-03-06,"7090306"
2019-03-07,"7003618"
2019-03-08,"6009554"
2019-03-09,"5850800"
2019-03-10,"6407836"
2019-03-11,"6957863"
2019-03-12,"7736064"
2019-03-13,"7540367"
2019-03-14,"7168280"
2019-03-15,"6120558"
2019-03-16,"5816564"
2019-03-17,"6413110"
2019-03-18,"7026435"
2019-03-19,"7314229"
2019-03-20,"7262945"
2019-03-21,"7350081"
2019-03-22,"6231121"
2019-03-23,"6117327"
2019-03-24,"6899777"
2019-03-25,"7256232"
2019-03-26,"6995065"
2019-03-27,"7350177"
2019-03-28,"7185901"
2019-03-29,"6257265"
2019-03-30,"5736303"
2019-03-31,"6977748"
2019-04-01,"6900669"
2019-04-02,"7057398"
2019-04-03,"7067914"
2019-04-04,"7036720"
2019-04-05,"6056336"
2019-04-06,"6138783"
2019-04-07,"6805096"
2019-04-08,"7248925"
2019-04-09,"7373987"
2019-04-10,"7297178"
2019-04-11,"6992896"
2019-04-12,"6280880"
2019-04-13,"6252866"
2019-04-14,"6810319"
2019-04-15,"6988354"
2019-04-16,"7232144"
2019-04-17,"7345465"
2019-04-18,"7001014"
2019-04-19,"6050145"
2019-04-20,"5660595"
2019-04-21,"6430884"
2019-04-22,"7107517"
2019-04-23,"7609734"
2019-04-24,"7446214"
2019-04-25,"7554571"
2019-04-26,"6288895"
2019-04-27,"5961482"
2019-04-28,"6954532"
2019-04-29,"6960586"
2019-04-30,"7300624"
2019-05-01,"6887577"
2019-05-02,"6835307"
2019-05-03,"6203748"
2019-05-04,"5904893"
2019-05-05,"6559872"
2019-05-06,"7161641"
2019-05-07,"7336668"
2019-05-08,"7348925"
2019-05-09,"6887417"
2019-05-10,"6145809"
2019-05-11,"5815683"
2019-05-12,"6701747"
2019-05-13,"6719869"
2019-05-14,"7283117"
2019-05-15,"7158618"
2019-05-16,"7072964"
2019-05-17,"5884405"
2019-05-18,"5748658"
2019-05-19,"6902833"
2019-05-20,"6929400"
2019-05-21,"7270566"
2019-05-22,"7064686"
2019-05-23,"6939709"
2019-05-24,"5879554"
2019-05-25,"5702926"
2019-05-26,"5619815"
2019-05-27,"6295185"
2019-05-28,"7240255"
2019-05-29,"7256733"
2019-05-30,"7211170"
2019-05-31,"6142856"
2019-06-01,"5908824"
2019-06-02,"6692808"
2019-06-03,"6911991"
2019-06-04,"7071148"
2019-06-05,"7232786"
2019-06-06,"7056244"
2019-06-07,"6185575"
2019-06-08,"5726731"
2019-06-09,"6639510"
2019-06-10,"7672032"
2019-06-11,"7049133"
2019-06-12,"7274647"
2019-06-13,"7717809"
2019-06-14,"5842693"
2019-06-15,"6068507"
2019-06-16,"6192037"
2019-06-17,"6929356"
2019-06-18,"7235281"
2019-06-19,"7262956"
2019-06-20,"7481815"
2019-06-21,"6223104"
2019-06-22,"5812675"
2019-06-23,"6607072"
2019-06-24,"7033668"
2019-06-25,"7201879"
2019-06-26,"7693973"
2019-06-27,"7574447"
2019-06-28,"6104959"
2019-06-29,"6098152"
2019-06-30,"7015565"
2019-07-01,"7202354"
2019-07-02,"7413278"
2019-07-03,"6955331"
2019-07-04,"6140245"
2019-07-05,"6850864"
2019-07-06,"6303792"
2019-07-07,"6634021"
2019-07-08,"7188813"
2019-07-09,"7291986"
2019-07-10,"6943930"
2019-07-11,"5932779"
2019-07-12,"6204942"
2019-07-13,"6112303"
2019-07-14,"6734677"
2019-07-15,"7370325"
2019-07-16,"7374968"
2019-07-17,"7436249"
2019-07-18,"7288886"
2019-07-19,"6216137"
2019-07-20,"6001680"
2019-07-21,"6586912"
2019-07-22,"7152087"
2019-07-23,"7257081"
2019-07-24,"7167932"
2019-07-25,"7117820"
2019-07-26,"6344719"
2019-07-27,"5860949"
2019-07-28,"6580503"
2019-07-29,"7000463"
2019-07-30,"7724810"
2019-07-31,"7449587"
2019-08-01,"7118275"
2019-08-02,"6035051"
2019-08-03,"6293218"
2019-08-04,"6726727"
2019-08-05,"7279329"
2019-08-06,"7428701"
2019-08-07,"7376343"
2019-08-08,"7227712"
2019-08-09,"6262402"
2019-08-10,"5905286"
2019-08-11,"6576100"
2019-08-12,"7008592"
2019-08-13,"7217100"
2019-08-14,"7157135"
2019-08-15,"7132975"
2019-08-16,"6105832"
2019-08-17,"5822465"
2019-08-18,"6463879"
2019-08-19,"7069988"
2019-08-20,"7193222"
2019-08-21,"7127661"
2019-08-22,"7257263"
2019-08-23,"6254786"
2019-08-24,"6184200"
2019-08-25,"6572519"
2019-08-26,"7071806"
2019-08-27,"6996972"
2019-08-28,"7048272"
2019-08-29,"7137003"
2019-08-30,"6349478"
2019-08-31,"6100349"
2019-09-01,"6000739"
2019-09-02,"6502366"
2019-09-03,"7004381"
2019-09-04,"7296802"
2019-09-05,"7412337"
2019-09-06,"6795867"
2019-09-07,"6690633"
2019-09-08,"6781330"
2019-09-09,"7186628"
2019-09-10,"7033208"
2019-09-11,"6974497"
2019-09-12,"7497811"
2019-09-13,"6208883"
2019-09-14,"6279451"
2019-09-15,"6803992"
2019-09-16,"7228769"
2019-09-17,"7056970"
2019-09-18,"7010311"
2019-09-19,"7080940"
2019-09-20,"6255315"
2019-09-21,"6496577"
2019-09-22,"6984223"
2019-09-23,"7578971"
2019-09-24,"7654144"
2019-09-25,"7685350"
2019-09-26,"7579088"
2019-09-27,"6569496"
2019-09-28,"6548381"
2019-09-29,"7195029"
2019-09-30,"7448158"
2019-10-01,"7033300"
2019-10-02,"7546579"
2019-10-03,"7644488"
2019-10-04,"6573961"
2019-10-05,"6575506"
2019-10-06,"7147903"
2019-10-07,"7543217"
2019-10-08,"7627769"
2019-10-09,"7794297"
2019-10-10,"7648923"
2019-10-11,"6536019"
2019-10-12,"6539306"
2019-10-13,"6921837"
2019-10-14,"7431235"
2019-10-15,"7788456"
2019-10-16,"7425002"
2019-10-17,"7342856"
2019-10-18,"6376832"
2019-10-19,"6545126"
2019-10-20,"6814210"
2019-10-21,"7410808"
2019-10-22,"7718795"
2019-10-23,"7578846"
2019-10-24,"7471041"
2019-10-25,"6483961"
2019-10-26,"6856166"
2019-10-27,"7035072"
2019-10-28,"7335930"
2019-10-29,"7699984"
2019-10-30,"8099464"
2019-10-31,"7050489"
2019-11-01,"6312763"
2019-11-02,"6343807"
2019-11-03,"7005676"
2019-11-04,"7363950"
2019-11-05,"7477001"
2019-11-06,"7235032"
2019-11-07,"7211332"
2019-11-08,"6679094"
2019-11-09,"6582409"
2019-11-10,"6903008"
2019-11-11,"7449479"
2019-11-12,"7612564"
2019-11-13,"7437648"
2019-11-14,"7900467"
2019-11-15,"6565911"
2019-11-16,"6535211"
2019-11-17,"6783143"
2019-11-18,"7317903"
2019-11-19,"7717392"
2019-11-20,"7729130"
2019-11-21,"7311013"
2019-11-22,"6457089"
2019-11-23,"6462835"
2019-11-24,"6878586"
2019-11-25,"7195200"
2019-11-26,"7036083"
2019-11-27,"6650372"
2019-11-28,"5894067"
2019-11-29,"6003008"
2019-11-30,"6637960"
2019-12-01,"6823604"
2019-12-02,"7413620"
2019-12-03,"7723488"
2019-12-04,"7836184"
2019-12-05,"7666649"
2019-12-06,"6613074"
2019-12-07,"6664396"
2019-12-08,"7148454"
2019-12-09,"7416690"
2019-12-10,"7371091"
2019-12-11,"7426989"
2019-12-12,"7509388"
2019-12-13,"6375641"
2019-12-14,"6261339"
2019-12-15,"6826324"
2019-12-16,"7065123"
2019-12-17,"7514845"
2019-12-18,"7853620"
2019-12-19,"7227281"
2019-12-20,"6133438"
2019-12-21,"6162804"
2019-12-22,"6435355"
2019-12-23,"6555752"
2019-12-24,"5683381"
2019-12-25,"5688271"
2019-12-26,"6275584"
2019-12-27,"6324841"
2019-12-28,"6798863"
2019-12-29,"6948330"
2019-12-30,"7172415"
2019-12-31,"6859185"
2020-01-01,"6552684"
2020-01-02,"7700883"
2020-01-03,"6624099"
2020-01-04,"7548257"
2020-01-05,"7199612"
2020-01-06,"7176375"
2020-01-07,"7614464"
2020-01-08,"7603068"
2020-01-09,"7654620"
2020-01-10,"6871960"
2020-01-11,"7036914"
2020-01-12,"7353880"
2020-01-13,"7851683"
2020-01-14,"7858228"
2020-01-15,"7842971"
2020-01-16,"7701183"
2020-01-17,"6707474"
2020-01-18,"6589993"
2020-01-19,"6970188"
2020-01-20,"7359781"
2020-01-21,"7768488"
2020-01-22,"7620552"
2020-01-23,"7590500"
2020-01-24,"6682369"
2020-01-25,"7525711"
2020-01-26,"6934839"
2020-01-27,"7415639"
2020-01-28,"7516769"
2020-01-29,"7493707"
2020-01-30,"7928757"
2020-01-31,"6962896"
2020-02-01,"6557106"
2020-02-02,"8450549"
2020-02-03,"7660301"
2020-02-04,"8704359"
2020-02-05,"8153090"
2020-02-06,"7506816"
2020-02-07,"7098991"
2020-02-08,"6575293"
2020-02-09,"7401925"
2020-02-10,"7693156"
2020-02-11,"7817328"
2020-02-12,"7748486"
2020-02-13,"7695201"
2020-02-14,"6426932"
2020-02-15,"6302162"
2020-02-16,"6808930"
2020-02-17,"7328386"
2020-02-18,"7803817"
2020-02-19,"8098545"
2020-02-20,"7631927"
2020-02-21,"6679929"
2020-02-22,"6655304"
2020-02-23,"7113792"
2020-02-24,"7518045"
2020-02-25,"7773479"
2020-02-26,"7696831"
2020-02-27,"7576730"
2020-02-28,"6694242"
2020-02-29,"6550606"
2020-03-01,"7085722"
2020-03-02,"7653142"
2020-03-03,"7926692"
2020-03-04,"7900995"
2020-03-05,"7840293"
2020-03-06,"6789447"
2020-03-07,"6601677"
2020-03-08,"7093977"
2020-03-09,"7647663"
2020-03-10,"8264606"
2020-03-11,"9411924"
2020-03-12,"8916662"
2020-03-13,"7254189"
2020-03-14,"7364095"
2020-03-15,"8777971"
2020-03-16,"9220684"
2020-03-17,"9132497"
2020-03-18,"9203071"
2020-03-19,"9388178"
2020-03-20,"8323963"
2020-03-21,"7984540"
2020-03-22,"8983900"
2020-03-23,"9119309"
2020-03-24,"9239338"
2020-03-25,"9305291"
2020-03-26,"9246582"
2020-03-27,"8416891"
2020-03-28,"7831513"
2020-03-29,"9059055"
2020-03-30,"9017384"
2020-03-31,"9261690"
2020-04-01,"9096569"
2020-04-02,"9150686"
2020-04-03,"8287838"
2020-04-04,"8271685"
2020-04-05,"8663741"
2020-04-06,"8911958"
2020-04-07,"9430921"
2020-04-08,"8948574"
2020-04-09,"8778997"
2020-04-10,"7976162"
2020-04-11,"7718718"
2020-04-12,"8428757"
2020-04-13,"8804166"
2020-04-14,"9069333"
2020-04-15,"8935014"
2020-04-16,"8818698"
2020-04-17,"8048040"
2020-04-18,"7888363"
2020-04-19,"8481856"
