"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423393]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"Co","Keyword",101869,34.60988329624408
"einfach","Keyword",8912,3.0278424244483326
"Österreich","Keyword",6166,2.0948918749044454
"FPÖ","Keyword",6141,2.086398151765845
"Wien","Keyword",5955,2.023204851614657
"halt","Keyword",5949,2.0211663580613926
"böse","Keyword",5515,1.8737153243752869
"Frauen","Keyword",5487,1.864202354460054
"bitte","Keyword",5247,1.7826626123294886
"KURIERat","Keyword",5229,1.7765471316696961
"is","Keyword",5002,1.6994241255712028
"Leute","Keyword",4535,1.5407613773421442
"Leben","Keyword",4498,1.5281906670970153
"Frau","Keyword",4405,1.4965940170214211
"eigentlich","Keyword",4201,1.4272852362104405
"KURIER","Keyword",4093,1.390592352251686
"genau","Keyword",4050,1.375983148453293
"EU","Keyword",4045,1.3742844038255728
"sagen","Keyword",4001,1.359335451101636
"ÖVP","Keyword",3965,1.347104489782051
"face with tears of joy","Emoji",3932,1.3358927752390983
"eh","Keyword",3928,1.3345337795369223
"Welt","Keyword",3928,1.3345337795369223
"Qualität","Keyword",3884,1.319584826812985
"SPÖ","Keyword",3783,1.2852701853330388
"weiß","Keyword",3721,1.2642057519493095
"Täter","Keyword",3696,1.2557120288107089
"lächerlich","Keyword",3650,1.2400835782356838
"kämpfen","Keyword",3597,1.2220768851818506
"Kinder","Keyword",3405,1.1568450914773982
"echt","Keyword",3382,1.1490308661898856
"leider","Keyword",3314,1.125927939252892
"finde","Keyword",3144,1.0681706219104081
"Regierung","Keyword",3137,1.0657923794316
"Danke","Keyword",3111,1.0569589073674555
"Politik","Keyword",3069,1.0426894524946064
"sicher","Keyword",3052,1.036913720760358
"klar","Keyword",2951,1.0025990792804118
"Land","Keyword",2909,0.9883296244075628
"Frage","Keyword",2885,0.9801756501945061
"steht","Keyword",2853,0.9693036845770975
"nix","Keyword",2792,0.948579000118912
"sehen","Keyword",2688,0.9132451118623337
"zerstört","Keyword",2669,0.9067898822769973
"wissen","Keyword",2662,0.9044116397981892
"geben","Keyword",2601,0.8836869553400036
"Problem","Keyword",2522,0.856846790222026
"stört","Keyword",2505,0.8510710584877776
"fast","Keyword",2471,0.8395195950192808
"geil","Keyword",2471,0.8395195950192808
"egal","Keyword",2459,0.8354426079127526
"gerne","Keyword",2379,0.8082626938692307
"Geld","Keyword",2322,0.7888970051132214
"paar","Keyword",2317,0.7871982604855012
"Thema","Keyword",2298,0.7807430309001648
"Medien","Keyword",2260,0.7678325717294919
"Wiener","Keyword",2249,0.7640953335485077
"Deutschland","Keyword",2212,0.7515246233033788
"Europa","Keyword",2198,0.7467681383457625
"Partei","Keyword",2176,0.739293661983794
