"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Mon Jan 14 23:00:00 UTC 2019"
"End Date","Thu Feb 14 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"Qualität","Keyword",285,2.846015578190533
"einfach","Keyword",248,2.476532854004394
"fürchte","Keyword",234,2.3367285799880166
"Österreich","Keyword",210,2.097064110245656
"Wien","Keyword",204,2.037147992810066
"halt","Keyword",189,1.8873576992210903
"KURIERat","Keyword",185,1.847413620930697
"Frauen","Keyword",177,1.7675254643499103
"eh","Keyword",160,1.5977631316157381
"Leben","Keyword",159,1.5877771120431396
"weiß","Keyword",156,1.5578190533253444
"übel","Keyword",149,1.487916916317156
"face with tears of joy","Emoji",148,1.4779308967445577
"Gesprächsstoff","Keyword",146,1.457958857599361
"sicher","Keyword",143,1.428000798881566
"bitte","Keyword",141,1.408028759736369
"Leute","Keyword",141,1.408028759736369
"Danke","Keyword",136,1.3580986618733772
"FPÖ","Keyword",136,1.3580986618733772
"is","Keyword",135,1.348112642300779
"eigentlich","Keyword",130,1.298182544437787
"genau","Keyword",129,1.2881965248651888
"Frau","Keyword",128,1.2782105052925903
"EU","Keyword",124,1.238266427002197
"lassen","Keyword",123,1.2282804074295985
"KURIER","Keyword",118,1.1783503095666068
"sagen","Keyword",116,1.15837827042141
"paar","Keyword",114,1.1384062312762133
"echt","Keyword",112,1.1184341921310166
"Kinder","Keyword",110,1.0984621529858198
"eher","Keyword",106,1.0585180746954264
"Land","Keyword",105,1.048532055122828
"Politik","Keyword",104,1.0385460355502296
"fürchten","Keyword",101,1.0085879768324346
"steht","Keyword",101,1.0085879768324346
"Kickl","Keyword",100,0.9986019572598361
"Thema","Keyword",100,0.9986019572598361
"winking face","Emoji",100,0.9986019572598361
"wissen","Keyword",98,0.9786299181146395
"Video","Keyword",97,0.9686438985420412
"lesen","Keyword",96,0.9586578789694428
"finde","Keyword",95,0.9486718593968444
"Liebe","Keyword",95,0.9486718593968444
"leider","Keyword",94,0.9386858398242461
"Problem","Keyword",94,0.9386858398242461
"Frage","Keyword",93,0.9286998202516477
"Regierung","Keyword",90,0.8987417615338525
"sogar","Keyword",90,0.8987417615338525
"fast","Keyword",89,0.8887557419612542
"thinking face","Emoji",87,0.8687837028160574
"Männer","Keyword",86,0.8587976832434593
"sehen","Keyword",85,0.8488116636708608
"Deutschland","Keyword",84,0.8388256440982624
"klar","Keyword",84,0.8388256440982624
"bekommen","Keyword",83,0.8288396245256642
"gestern","Keyword",80,0.7988815658078691
"ÖVP","Keyword",79,0.7888955462352706
"Arbeit","Keyword",78,0.7789095266626722
"gerne","Keyword",77,0.768923507090074
"Kind","Keyword",77,0.768923507090074
