"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",753610,3.407856596981989
"face with tears of joy","Emoji",655430,2.9638824449780454
"bon","Keyword",630077,2.849235096477781
"monde","Keyword",548891,2.4821085380688164
"France","Keyword",465188,2.103599998191183
"vie","Keyword",454712,2.056227078896079
"jamais","Keyword",444256,2.0089446004549174
"temps","Keyword",407205,1.8413983964836595
"mdr","Keyword",402420,1.8197604221779062
"gros","Keyword",339515,1.535301326315123
"aller","Keyword",329457,1.4898186208674182
"mal","Keyword",318324,1.4394747195203017
"genre","Keyword",316788,1.4325288619375143
"sais","Keyword",316605,1.4317013281239401
"vrai","Keyword",299719,1.3553421151402512
"donne","Keyword",294253,1.3306246297577542
"grave","Keyword",271114,1.2259890837889291
"passe","Keyword",270247,1.22206847277052
"coeur","Keyword",262891,1.1888043266904524
"veux","Keyword",259752,1.1746096346641703
"mec","Keyword",250744,1.1338750740484491
"putain","Keyword",250597,1.1332103337719714
"jour","Keyword",249770,1.1294706044614473
"mère","Keyword",243831,1.1026141928832092
"déteste","Keyword",236591,1.0698746037560087
"mieux","Keyword",230212,1.0410284933910345
"fin","Keyword",227409,1.0283532077109871
"soir","Keyword",227217,1.0274849755131388
"grand","Keyword",225012,1.0175138713659735
"petit","Keyword",223696,1.011562863176554
"vois","Keyword",219928,0.9945238062937791
"bonne","Keyword",217024,0.9813917943013218
"mettre","Keyword",214914,0.9718502842103836
"Macron","Keyword",214798,0.9713257272575169
"prendre","Keyword",211503,0.9564255965704828
"aime","Keyword",209897,0.9491631959988965
"grosse","Keyword",208389,0.9423439556116289
"français","Keyword",207778,0.9395809875236842
"chose","Keyword",200489,0.9066198183043245
"tête","Keyword",200218,0.905394344733403
"truc","Keyword",199674,0.9029343535061659
"allez","Keyword",197188,0.8916925553611078
"gueule","Keyword",196327,0.8877990765988812
"mort","Keyword",194630,0.8801251701418565
"journée","Keyword",188773,0.8536395660647829
"match","Keyword",187903,0.8497053889182822
"ptn","Keyword",187475,0.8477699546439118
"place","Keyword",186156,0.8418053803264011
"cas","Keyword",185603,0.8393046907148897
"pays","Keyword",183417,0.8294195053789697
"jsuis","Keyword",177368,0.8020656691040478
"compte","Keyword",175573,0.7939486024627044
"mois","Keyword",174318,0.7882734388778099
"femmes","Keyword",173304,0.783688087582923
"histoire","Keyword",171738,0.7766065687192218
"jours","Keyword",169967,0.7685980311026097
"droit","Keyword",164070,0.7419315453176508
"femme","Keyword",164070,0.7419315453176508
"rolling on the floor laughing","Emoji",163640,0.7399870669578862
"gars","Keyword",163087,0.7374863773463749
