"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",71216,3.3466322680087783
"bon","Keyword",60511,2.8435753927415073
"face with tears of joy","Emoji",58602,2.753866324559796
"France","Keyword",46523,2.1862414766986684
"monde","Keyword",45191,2.1236471975902145
"jamais","Keyword",42394,1.9922086100028664
"vie","Keyword",42290,1.9873213689913956
"temps","Keyword",38828,1.8246326345518542
"mdr","Keyword",36507,1.7155625731323925
"gros","Keyword",31887,1.4984562897382037
"aller","Keyword",31298,1.4707775882405463
"mal","Keyword",30706,1.4429579086367887
"genre","Keyword",30702,1.4427699378286551
"sais","Keyword",30440,1.4304578498959113
"vrai","Keyword",29261,1.375053454198563
"donne","Keyword",28599,1.3439442854524692
"passe","Keyword",25597,1.2028721939482798
"mère","Keyword",25469,1.1968571280880078
"veux","Keyword",25417,1.1944135075822724
"grave","Keyword",25240,1.1860957993223653
"soir","Keyword",24498,1.1512272144136015
"moment","Keyword",24281,1.1410297980723594
"mec","Keyword",24174,1.1360015789547884
"mort","Keyword",23313,1.095540862504053
"veut","Keyword",23209,1.0906536214925822
"Macron","Keyword",23121,1.0865182637136452
"déteste","Keyword",23044,1.0828998256570754
"jour","Keyword",22913,1.0767437816907035
"mieux","Keyword",22418,1.0534823941841833
"fin","Keyword",21289,1.0004276335885036
"vois","Keyword",21243,0.9982659692949685
"mettre","Keyword",21081,0.9906531515655619
"grosse","Keyword",20901,0.9821944651995546
"bonne","Keyword",20803,0.9775891804002839
"Paris","Keyword",20745,0.9748636036823481
"petit","Keyword",20440,0.9605308295621691
"aime","Keyword",20333,0.9555026104445979
"grand","Keyword",20168,0.9477488146090913
"prendre","Keyword",20107,0.9448822597850555
"chose","Keyword",19634,0.9226547117232694
"tête","Keyword",19392,0.9112824778311928
"truc","Keyword",19282,0.9061132806075216
"rolling on the floor laughing","Emoji",19157,0.9002391928533499
"allez","Keyword",19108,0.8979365504537146
"français","Keyword",18971,0.8914985502751422
"droit","Keyword",18803,0.8836037763335355
"place","Keyword",18693,0.8784345791098642
"gueule","Keyword",18455,0.8672503160259212
"match","Keyword",18241,0.8571938777907792
"pays","Keyword",18229,0.8566299653663786
"ptn","Keyword",17927,0.8424381693522995
"journée","Keyword",17462,0.8205865629067807
"fils","Keyword",17337,0.8147124751526088
"compte","Keyword",17056,0.8015075258812306
"wsh","Keyword",17047,0.8010845915629302
"histoire","Keyword",16571,0.7787160653950441
"jours","Keyword",16201,0.7613287656426957
"vidéo","Keyword",15869,0.7457271885676154
"viens","Keyword",15856,0.7451162834411815
"Ouais","Keyword",15826,0.7437065023801804
