"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",113355,3.692678459913158
"bon","Keyword",92405,3.010206458367742
"face with tears of joy","Emoji",88270,2.875503750664148
"confinement","Keyword",80804,2.632289623526292
"monde","Keyword",74352,2.4221077927878185
"coronavirus","Keyword",70224,2.2876331186885595
"temps","Keyword",61005,1.9873128617793854
"vie","Keyword",58370,1.9014744978618592
"jamais","Keyword",57918,1.8867500422676573
"mdr","Keyword",54407,1.7723749015790675
"France","Keyword",54059,1.7610383738206998
"aller","Keyword",49677,1.618289337507
"gros","Keyword",45631,1.486485914201379
"sais","Keyword",45310,1.4760289446311605
"virus","Keyword",43643,1.4217243705702436
"vrai","Keyword",41353,1.3471248057235132
"donne","Keyword",41329,1.346342976222936
"mal","Keyword",40660,1.3245494788943497
"genre","Keyword",40287,1.3123985454062141
"moment","Keyword",39933,1.300866560272702
"jour","Keyword",38733,1.2617750852438478
"grave","Keyword",37881,1.234020137973361
"mère","Keyword",37216,1.2123569455615375
"veux","Keyword",36754,1.1973067276754286
"cas","Keyword",36504,1.1891626703777507
"putain","Keyword",36394,1.1855792851667724
"jours","Keyword",33967,1.1065167769209143
"français","Keyword",32440,1.0567728749466971
"mettre","Keyword",32431,1.0564796888839807
"fin","Keyword",31918,1.0397680833091454
"mec","Keyword",31750,1.034295276805106
"vois","Keyword",31615,1.0298974858643597
"mieux","Keyword",31328,1.0205481080866254
"prendre","Keyword",31145,1.0145866581447252
"déteste","Keyword",31032,1.0109055442461747
"gueule","Keyword",30794,1.0031524016987852
"#coronavirus","Hashtag",29374,0.956894156247974
"grosse","Keyword",29026,0.9455576284896063
"pays","Keyword",29020,0.9453621711144621
"rolling on the floor laughing","Emoji",28925,0.9422674293413446
"ptn","Keyword",28715,0.9354264212112949
"petit","Keyword",28159,0.9173140377812592
"truc","Keyword",27982,0.911548045214503
"Macron","Keyword",27857,0.907476016565664
"bonne","Keyword",27786,0.9051631042931236
"grand","Keyword",27679,0.9016774477697174
"aime","Keyword",26950,0.8779293766896883
"chose","Keyword",26785,0.8725542988732208
"sortir","Keyword",26669,0.8687754562870982
"wsh","Keyword",26562,0.865289799763692
"mort","Keyword",26024,0.847763788459089
"jsuis","Keyword",25881,0.8431053876848171
"compte","Keyword",25860,0.8424212868718122
"mois","Keyword",25603,0.8340491959697991
"tête","Keyword",25493,0.8304658107588209
"ouais","Keyword",24650,0.8030040495510506
"mdrrr","Keyword",24049,0.7834257358074328
"fils","Keyword",23969,0.7808196374721758
"viens","Keyword",23710,0.7723823941117814
"bande","Keyword",23191,0.7554753311618019
