"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",367146,3.7521967683029276
"face with tears of joy","Emoji",290220,2.966020455341678
"bon","Keyword",244843,2.502271884595212
"jamais","Keyword",217835,2.226252725137325
"vie","Keyword",213696,2.1839525436727145
"monde","Keyword",199185,2.0356515209056307
"temps","Keyword",189140,1.9329925881170318
"France","Keyword",183801,1.8784285221978354
"mdr","Keyword",177790,1.8169966809840705
"mal","Keyword",168748,1.7245883116187632
"sais","Keyword",154299,1.5769209228818328
"genre","Keyword",150638,1.539505855391633
"lâcher","Keyword",134366,1.3732075821874437
"vrai","Keyword",133259,1.3618941487780878
"passe","Keyword",130756,1.3363137297865635
"moment","Keyword",130290,1.3315512546566992
"jour","Keyword",122800,1.2550041758526567
"grave","Keyword",122625,1.2532156927030296
"inquiète","Keyword",119564,1.2219325674401225
"gros","Keyword",118657,1.2126631147731979
"fin","Keyword",115840,1.1838736460160566
"prendre","Keyword",115043,1.175728382757469
"truc","Keyword",114133,1.1664282703794078
"aller","Keyword",113424,1.1591823586474899
"dérange","Keyword",112506,1.1498004870397311
"veux","Keyword",111032,1.1347363489680147
"lâche","Keyword",109410,1.1181596651468988
"soir","Keyword",108900,1.1129475142536998
"mai","Keyword",105131,1.074428697162587
"bons","Keyword",104854,1.0715977838343198
"vois","Keyword",103861,1.0614494194481496
"envie","Keyword",102927,1.0519040293809967
"mec","Keyword",102486,1.0473970518439364
"mieux","Keyword",102171,1.0441777821746074
"grand","Keyword",101395,1.036247136893975
"produits","Keyword",101318,1.035460204308139
"avril","Keyword",100112,1.0231350004312798
"rire","Keyword",99505,1.0169315188780017
"cas","Keyword",99234,1.0141619249720077
"chose","Keyword",96715,0.9884179875210888
"énerve","Keyword",96502,0.9862411480303998
"mettre","Keyword",96470,0.9859141111116108
"Réponds","Keyword",95520,0.9762052025850633
"bonne","Keyword",94986,0.9707477740027723
"plans","Keyword",94905,0.969919961802088
"aime","Keyword",94657,0.9673854256814733
"McDo","Keyword",93016,0.9506145636898268
"veut","Keyword",91900,0.9392091511470616
"français","Keyword",90747,0.9274256021669467
"Paris","Keyword",90492,0.9248195267203471
"#stop","Hashtag",90182,0.921651356569579
"désabonner","Keyword",90104,0.9208542040800307
"hésite","Keyword",90036,0.9201592506276044
"petit","Keyword",89505,0.9147324817564498
"jsuis","Keyword",88582,0.9052995106301306
"pays","Keyword",86688,0.8859430129993087
"arrive","Keyword",84869,0.8673530081468985
"jours","Keyword",84213,0.8606487513117246
"mort","Keyword",84155,0.8600559968964196
"mois","Keyword",82402,0.8421405056890116
