"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",35944,3.769303207431224
"face with tears of joy","Emoji",26025,2.7291374352714666
"bon","Keyword",23150,2.4276477089926782
"jamais","Keyword",21094,2.2120432299564388
"vie","Keyword",20036,2.1010950106858446
"monde","Keyword",18482,1.9381332595076752
"temps","Keyword",18015,1.889160841360825
"France","Keyword",17672,1.8531918061908688
"mal","Keyword",16530,1.7334348436133467
"mdr","Keyword",16025,1.6804775177800289
"sais","Keyword",14823,1.554428595697558
"genre","Keyword",14762,1.5480317702008604
"vrai","Keyword",13250,1.3894743906761549
"lâcher","Keyword",13132,1.377100203649756
"moment","Keyword",12815,1.3438576842652774
"passe","Keyword",12558,1.3169071243857475
"inquiète","Keyword",12156,1.2747509957025915
"grave","Keyword",11697,1.2266175054897346
"gros","Keyword",11411,1.1966258318494796
"truc","Keyword",11332,1.1883414185012973
"prendre","Keyword",11128,1.166948756184472
"veux","Keyword",11078,1.1617054565970149
"jour","Keyword",11061,1.1599227347372791
"dérange","Keyword",11058,1.1596081367620317
"cas","Keyword",10940,1.1472339497356328
"aller","Keyword",10795,1.1320283809320069
"rire","Keyword",10694,1.1214369157653437
"fin","Keyword",10481,1.0991004595227758
"mec","Keyword",10113,1.060509774559091
"envie","Keyword",10001,1.0487647834831868
"énerve","Keyword",9943,1.0426825559617365
"mieux","Keyword",9862,1.0341884106300558
"vois","Keyword",9847,1.0326154207538187
"mettre","Keyword",9679,1.0149979341399626
"wsh","Keyword",9625,1.009335170585509
"mort","Keyword",9587,1.0053502628990412
"aime","Keyword",9553,1.0017848191795704
"grand","Keyword",9348,0.9802872908709961
"chose","Keyword",9308,0.9760926512010302
"veut","Keyword",9253,0.9703250216548273
"bonne","Keyword",9124,0.9567973087191878
"Macron","Keyword",8941,0.9376068322290945
"jsuis","Keyword",8887,0.9319440686746406
"hésite","Keyword",8703,0.9126487261927982
"gênant","Keyword",8634,0.9054129727621074
"pays","Keyword",8494,0.8907317339172272
"arrive","Keyword",8459,0.8870614242060072
"journée","Keyword",8353,0.8759456290805979
"rolling on the floor laughing","Emoji",8236,0.8636763080459482
"petit","Keyword",8233,0.8633617100707006
"jours","Keyword",8217,0.8616838542027143
"mère","Keyword",8214,0.8613692562274669
"place","Keyword",8100,0.8494145331680645
"français","Keyword",8060,0.8452198934980988
"mois","Keyword",7818,0.8198423234948059
"cause","Keyword",7631,0.8002323830377162
"compte","Keyword",7623,0.799393455103723
"passer","Keyword",7543,0.7910041757637913
"ptn","Keyword",7520,0.7885922579535612
"tête","Keyword",7480,0.7843976182835953
