"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",55771,3.819991684800514
"coronavirus","Keyword",51885,3.553823108172252
"confinement","Keyword",42679,2.923265229520739
"face with tears of joy","Emoji",40540,2.776756072184699
"bon","Keyword",37900,2.5959313057671456
"monde","Keyword",34602,2.3700373362046117
"temps","Keyword",30460,2.086334236772223
"jamais","Keyword",29153,1.9968122785495936
"vie","Keyword",29147,1.9964013131713718
"France","Keyword",27323,1.8714678381919716
"mdr","Keyword",24645,1.6880402910456809
"cas","Keyword",24126,1.652491785829503
"virus","Keyword",23315,1.596942965539868
"sais","Keyword",23276,1.594271690581427
"mal","Keyword",22952,1.5720795601574546
"moment","Keyword",22736,1.5572848065414728
"aller","Keyword",22305,1.5277637935392134
"prendre","Keyword",22023,1.5084484207627928
"#coronavirus","Hashtag",21437,1.4683108021564721
"inquiète","Keyword",20866,1.429200596995706
"vrai","Keyword",20264,1.3879670707141276
"jours","Keyword",20184,1.3824875323378383
"jour","Keyword",19630,1.3445417290820334
"lâcher","Keyword",18851,1.2911847241429146
"grave","Keyword",18437,1.2628281130456165
"gros","Keyword",17352,1.1885118738171903
"veux","Keyword",17140,1.1739910971200231
"fin","Keyword",16579,1.135565834256293
"crise","Keyword",16364,1.120839574870015
"truc","Keyword",16309,1.117072392236316
"lâche","Keyword",16267,1.114195634588764
"rire","Keyword",16188,1.108784590442178
"pays","Keyword",15593,1.068030523768525
"Français","Keyword",15580,1.067140098782378
"mieux","Keyword",15577,1.0669346160932671
"vois","Keyword",15459,1.0588522969882403
"énerve","Keyword",15330,1.0500165413564735
"mettre","Keyword",15205,1.041454762643521
"dérange","Keyword",15023,1.0289888128374625
"santé","Keyword",14917,1.021728424488879
"envie","Keyword",14802,1.0138515880729626
"hésite","Keyword",14743,1.0098104285204494
"chose","Keyword",14385,0.9852894942865539
"Macron","Keyword",13809,0.9458368179772695
"mois","Keyword",13772,0.9433025314782356
"cause","Keyword",13677,0.9367955796563918
"mère","Keyword",13480,0.9233022164047789
"soir","Keyword",13447,0.9210419068245596
"mec","Keyword",13190,0.9034388897907296
"jsuis","Keyword",13150,0.9006991206025848
"veut","Keyword",13142,0.9001511667649559
"rolling on the floor laughing","Emoji",13076,0.895630547604517
"épreuve","Keyword",13016,0.8915208938223
"bonne","Keyword",13004,0.8906989630658566
"#covid19","Hashtag",12856,0.8805618170697209
"situation","Keyword",12838,0.8793289209350559
"passer","Keyword",12751,0.8733699229508409
"aime","Keyword",12733,0.8721370268161759
"gouvernement","Keyword",12354,0.8461777137585045
"compte","Keyword",12304,0.8427530022733234
