"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"face with tears of joy","Emoji",2185526,2.705732045264211
"loudly crying face","Emoji",2153277,2.665807032828886
"vie","Keyword",1560519,1.931958835330104
"monde","Keyword",1481278,1.833856633389344
"temps","Keyword",1461808,1.809752320321783
"jamais","Keyword",1452150,1.7977954915797951
"France","Keyword",1423742,1.762625726524671
"journée","Keyword",1255863,1.554787617974642
"mdr","Keyword",1140498,1.4119630634271758
"sais","Keyword",1128449,1.3970461210465368
"unrecognised_emoji","Emoji",1033973,1.2800826345868095
"vrai","Keyword",1014383,1.2558297587268445
"mal","Keyword",1014099,1.255478160118155
"winking face","Emoji",1003601,1.2424813918293385
"jour","Keyword",987220,1.2222013326429126
"face throwing a kiss","Emoji",971396,1.2026108524178953
"grand","Keyword",921118,1.1403655184471286
"soir","Keyword",912922,1.1302186797259304
"veux","Keyword",903995,1.1191668459943374
"moment","Keyword",898134,1.1119107916086683
"aller","Keyword",871004,1.0783232202926474
"gros","Keyword",852615,1.055557210379993
"smiling face with heart-shaped eyes","Emoji",842138,1.0425864405798475
"année","Keyword",840545,1.0406142695106835
"genre","Keyword",839661,1.0395198569399733
"petit","Keyword",831825,1.0298187065959874
"grave","Keyword",811330,1.0044454196766417
"fin","Keyword",765679,0.947928419376322
"plan","Keyword",716864,0.8874943134496148
"cas","Keyword",709606,0.8785087405557085
"face savouring delicious food","Emoji",702917,0.8702276029024514
"fan","Keyword",688795,0.8527442382830321
"place","Keyword",687780,0.8514876446639477
"mois","Keyword",686394,0.8497717444116806
"soirée","Keyword",684822,0.8478255718311872
"vois","Keyword",684408,0.8473130301973931
"chose","Keyword",681985,0.844313299814101
"veut","Keyword",679115,0.8407601730291034
"demain","Keyword",675950,0.836841829379446
"français","Keyword",675666,0.8364902307707565
"Réponds","Keyword",664982,0.8232631901537137
"compte","Keyword",647881,0.8020917542128633
"#stop","Hashtag",645720,0.7994163859263199
"nouvelle","Keyword",643352,0.7964847468228795
"jours","Keyword",643232,0.7963361840304753
"mec","Keyword",630376,0.7804201568709189
"désabonner","Keyword",627756,0.77717653590343
"mettre","Keyword",615806,0.7623821578265244
"smiling face with smiling eyes","Emoji",610513,0.7558293006582347
"nuit","Keyword",606497,0.7508573992057783
"vidéo","Keyword",593052,0.734212176340172
"histoire","Keyword",592801,0.7339014324993934
"savoir","Keyword",572906,0.7092709595420681
"Allez","Keyword",557693,0.6904369115350416
"drôle","Keyword",550206,0.6811678313122974
"rolling on the floor laughing","Emoji",548711,0.6793169865235967
"besoin","Keyword",538769,0.6670085591729192
"sens","Keyword",538693,0.6669144694043967
"McDonald","Keyword",538562,0.6667522883560222
"équipe","Keyword",531490,0.6579969877903422
