"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",200030,2.6590904589260718
"face with tears of joy","Emoji",195163,2.59439119749732
"vie","Keyword",143663,1.909778096289038
"jamais","Keyword",137802,1.8318651373340527
"temps","Keyword",136132,1.8096650620133183
"France","Keyword",131123,1.7430781295093905
"monde","Keyword",128013,1.7017354742713757
"journée","Keyword",114895,1.527351888608264
"sais","Keyword",107354,1.4271059197497853
"mdr","Keyword",100620,1.337587771719949
"vrai","Keyword",96932,1.2885614975984703
"mal","Keyword",96844,1.287391673270192
"unrecognised_emoji","Emoji",90744,1.2063015777872694
"passe","Keyword",90144,1.1983255028217359
"jour","Keyword",89227,1.1861354015827457
"soir","Keyword",86859,1.1546564923854408
"veux","Keyword",86160,1.1453643650505942
"face throwing a kiss","Emoji",85593,1.137826974208165
"winking face","Emoji",85287,1.1337591759757433
"moment","Keyword",83519,1.1102563417439715
"aller","Keyword",81577,1.084440445772195
"genre","Keyword",80835,1.0745766997314854
"grand","Keyword",80747,1.0734068754032071
"gros","Keyword",77408,1.029020018220014
"Paris","Keyword",75149,0.9989900959747807
"grave","Keyword",75138,0.998843867933746
"petit","Keyword",75061,0.9978202716465024
"cas","Keyword",71787,0.9542974892512419
"fin","Keyword",70882,0.9422669095115626
"smiling face with heart-shaped eyes","Emoji",67509,0.8974280747469889
"vois","Keyword",65894,0.8759591396314282
"place","Keyword",64454,0.8568165597141482
"année","Keyword",64366,0.8556467353858699
"chose","Keyword",63973,0.8504224062834456
"donne","Keyword",63188,0.8399870415368725
"mois","Keyword",62729,0.8338853441882396
"compte","Keyword",62326,0.8285280805030564
"soirée","Keyword",61933,0.8233037514006321
"rolling on the floor laughing","Emoji",61791,0.8214160803254558
"mettre","Keyword",60459,0.8037091939019716
"mec","Keyword",59423,0.7899371711281507
"demain","Keyword",58855,0.7823864868274457
"jours","Keyword",58833,0.7820940307453762
"prendre","Keyword",58746,0.7809374998753739
"nouvelle","Keyword",58615,0.7791960568412324
"nuit","Keyword",57873,0.7693323108005228
"semaine","Keyword",57862,0.769186082759488
"français","Keyword",57087,0.758883652595674
"histoire","Keyword",56880,0.756131906732565
"drôle","Keyword",54697,0.7271122873162994
"cœur","Keyword",54566,0.7253708442821579
"smiling face with hearts","Emoji",54468,0.7240680853711208
"match","Keyword",53137,0.7063744924059125
"savoir","Keyword",53006,0.7046330493717711
"besoin","Keyword",52198,0.6938919350848528
"question","Keyword",51685,0.6870723909893217
"allez","Keyword",51554,0.6853309479551803
"pays","Keyword",51238,0.6811302151399994
"pleading face","Emoji",51205,0.6806915310168951
"sens","Keyword",50877,0.6763312767024034
