"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",315886,2.925517505677876
"confinement","Keyword",290578,2.6911323254745887
"face with tears of joy","Emoji",285241,2.641704725239685
"coronavirus","Keyword",233905,2.166266223148806
"temps","Keyword",222064,2.056603076365689
"monde","Keyword",205323,1.9015595208977245
"vie","Keyword",190066,1.7602597463457426
"jamais","Keyword",187305,1.7346892752480154
"France","Keyword",173663,1.6083465129462435
"sais","Keyword",157468,1.4583596315888765
"journée","Keyword",152732,1.4144980773987874
"mdr","Keyword",149872,1.3880107368194687
"jour","Keyword",147690,1.3678025629928694
"moment","Keyword",143772,1.3315167586607815
"vrai","Keyword",137737,1.2756247655152608
"aller","Keyword",135718,1.2569261848755249
"cas","Keyword",135652,1.2563149385544636
"mal","Keyword",131451,1.2174081840881286
"unrecognised_emoji","Emoji",129890,1.2029512824642414
"veux","Keyword",124008,1.1484762694266353
"jours","Keyword",122949,1.1386685443659714
"face throwing a kiss","Emoji",122720,1.1365477048580468
"grave","Keyword",111490,1.0325432171986932
"#coronavirus","Hashtag",110781,1.0259769499012328
"soir","Keyword",109580,1.014854119119498
"winking face","Emoji",109253,1.0118256714378764
"gros","Keyword",109100,1.010408691329962
"grand","Keyword",108784,1.0074821180351838
"genre","Keyword",107594,0.9964611616402925
"petit","Keyword",100140,0.9274273725919558
"prendre","Keyword",94520,0.8753788222228047
"vois","Keyword",93723,0.8679975598305958
"chose","Keyword",93254,0.8636540064279034
"rolling on the floor laughing","Emoji",92719,0.8586992067041497
"français","Keyword",92523,0.8568839903567558
"mois","Keyword",92283,0.8546612764619879
"compte","Keyword",91311,0.8456592851881772
"donne","Keyword",90722,0.8402043748381007
"virus","Keyword",87710,0.8123093154587622
"semaine","Keyword",87033,0.8060394100139373
"demain","Keyword",84894,0.7862294724268174
"veut","Keyword",83989,0.777847988781963
"besoin","Keyword",83487,0.7731988122187399
"pays","Keyword",82723,0.7661231729870617
"pleading face","Emoji",82439,0.7634929615449195
"drôle","Keyword",82166,0.7609646244896209
"#covid19","Hashtag",82002,0.7594457699948628
"place","Keyword",81970,0.759149408142227
"smiling face with heart-shaped eyes","Emoji",81784,0.7574268048737818
"allez","Keyword",79929,0.740247078728804
"mec","Keyword",77528,0.7180106784732289
"passer","Keyword",76044,0.7042668975572467
"santé","Keyword",75825,0.7022386711282709
"mars","Keyword",75760,0.7016366861151045
"cœur","Keyword",75596,0.7001178316203464
"vidéo","Keyword",75116,0.6956724038308103
"nuit","Keyword",74177,0.6869760357175305
"sens","Keyword",73086,0.6768719488042308
"ouais","Keyword",72944,0.6755568430831598
"demande","Keyword",72813,0.6743436117489322
