"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423396]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",546557,3.8540341429698257
"bon","Keyword",409724,2.8891593835485936
"vie","Keyword",401287,2.829666071663033
"temps","Keyword",385643,2.719352764665556
"face with tears of joy","Emoji",367342,2.5903036831415966
"jamais","Keyword",343357,2.4211740060555265
"France","Keyword",282094,1.9891793674345584
"monde","Keyword",276376,1.9488590216526887
"mdr","Keyword",242332,1.7087985369031296
"mal","Keyword",231891,1.6351740650058746
"envie","Keyword",228971,1.6145837520147834
"vrai","Keyword",215996,1.52309083726841
"sais","Keyword",210603,1.4850622215283569
"genre","Keyword",196995,1.38910572180823
"passe","Keyword",190097,1.3404646331053027
"chose","Keyword",189749,1.338010719091296
"moment","Keyword",182382,1.2860624876511009
"jour","Keyword",181970,1.2831572791057824
"jsuis","Keyword",178965,1.261967590565293
"aller","Keyword",175203,1.2354399338966335
"mieux","Keyword",169513,1.1953170294722124
"veux","Keyword",165832,1.1693605424447444
"déçu","Keyword",165283,1.165489281543337
"soir","Keyword",164511,1.1600455412593909
"bonne","Keyword",162067,1.1428117313449295
"cas","Keyword",155677,1.097752792984288
"Paris","Keyword",149143,1.0516784419281955
"compte","Keyword",144816,1.0211667007253007
"vois","Keyword",144380,1.0180922567307407
"aime","Keyword",143506,1.0119292657875167
"français","Keyword",142686,1.0061470546050868
"mort","Keyword",142005,1.0013449987328495
"gros","Keyword",141419,0.9972128331805278
"sens","Keyword",141292,0.9963172955949564
"grand","Keyword",140739,0.9924178287853422
"mois","Keyword",139242,0.981861767638882
"truc","Keyword",134837,0.9508000112259515
"petit","Keyword",128739,0.907800104164419
"veut","Keyword",128267,0.9044718069959959
"point","Keyword",128087,0.9032025411266822
"cause","Keyword",127424,0.8985274118413761
"année","Keyword",126217,0.8900162790399216
"pays","Keyword",125641,0.8859546282581173
"jours","Keyword",124479,0.8777608119239912
"prendre","Keyword",123738,0.8725356674286493
"journée","Keyword",120082,0.8467554673274748
"mettre","Keyword",117429,0.8280478987091989
"arrive","Keyword",116668,0.8226817246728221
"autant","Keyword",114668,0.8085787705693348
"femmes","Keyword",113836,0.8027119416622841
"tête","Keyword",113546,0.8006670133172786
"homme","Keyword",109960,0.775380416609726
"échec","Keyword",109111,0.7693937125927957
"défaite","Keyword",107996,0.7615313156801016
"donne","Keyword",107608,0.758795342584025
"enfants","Keyword",104847,0.739326214444161
"peur","Keyword",103328,0.7286150208025625
"pouvoir","Keyword",103263,0.7281566747941991
"jeu","Keyword",102608,0.7235379573253071
"belle","Keyword",102190,0.7205904399176782
