"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423396]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",49875,3.6634489526392255
"bon","Keyword",39229,2.8814724604127155
"vie","Keyword",38872,2.8552498784359295
"temps","Keyword",37812,2.777390111221943
"jamais","Keyword",33609,2.4686687889574284
"face with tears of joy","Emoji",32663,2.399182619349474
"France","Keyword",26734,1.9636820912252044
"monde","Keyword",25616,1.881562072597622
"mal","Keyword",22646,1.6634078191773014
"vrai","Keyword",21507,1.5797452957275553
"mdr","Keyword",21469,1.5769540965255446
"envie","Keyword",20818,1.5291364470384643
"sais","Keyword",20223,1.4854321437438207
"genre","Keyword",19090,1.4022103359575502
"chose","Keyword",18305,1.3445500366528527
"moment","Keyword",17930,1.3170053076856405
"passe","Keyword",17733,1.3025351434015315
"jour","Keyword",17483,1.2841719907567235
"jsuis","Keyword",17041,1.2517059368807026
"cas","Keyword",16728,1.2287152697694028
"mieux","Keyword",16648,1.2228390609230642
"aller","Keyword",16496,1.2116742641150209
"veux","Keyword",16483,1.210719380177491
"mort","Keyword",16216,1.1911075331528358
"soir","Keyword",15573,1.1438775045503893
"bonne","Keyword",15500,1.1385154639781052
"déçu","Keyword",15108,1.109722040631046
"fin","Keyword",14390,1.056983066235157
"compte","Keyword",14173,1.0410438497394636
"Macron","Keyword",14039,1.0312011999218464
"vois","Keyword",13991,1.0276754746140433
"aime","Keyword",13741,1.0093123219692353
"point","Keyword",13539,0.9944748946322302
"gros","Keyword",13257,0.9737612584488865
"veut","Keyword",13255,0.973614353227728
"mois","Keyword",13242,0.9726594692901981
"Paris","Keyword",12983,0.9536352431501768
"jours","Keyword",12965,0.9523130961597506
"match","Keyword",12923,0.9492280865154228
"français","Keyword",12846,0.9435722355008219
"mec","Keyword",12714,0.9338764909043633
"grand","Keyword",12531,0.9204346631683636
"pays","Keyword",12334,0.9059644988842548
"cause","Keyword",12046,0.8848101470374358
"prendre","Keyword",12042,0.884516336595119
"petit","Keyword",11917,0.875334760272715
"place","Keyword",11863,0.8713683193014363
"arrive","Keyword",11602,0.8521971879402566
"autant","Keyword",11521,0.8462475264833387
"raison","Keyword",11470,0.8425014433437978
"mettre","Keyword",11462,0.841913822459164
"homme","Keyword",11320,0.8314835517569129
"histoire","Keyword",11074,0.8134142095544217
"tête","Keyword",10882,0.7993113083232091
"merde","Keyword",10871,0.7985033296068376
"journée","Keyword",10851,0.7970342773952529
"droit","Keyword",10725,0.7877792484622695
"wsh","Keyword",10675,0.784106617933308
"donne","Keyword",10304,0.7568556994084127
"année","Keyword",10200,0.7492166279081725
