"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423396]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",80248,4.117628043464764
"bon","Keyword",57757,2.963585919977998
"temps","Keyword",56482,2.8981640308914463
"confinement","Keyword",54311,2.786767229944856
"face with tears of joy","Emoji",48395,2.4832096645832573
"vie","Keyword",47798,2.452576827105084
"jamais","Keyword",44632,2.2901252970282044
"coronavirus","Keyword",44482,2.282428604194492
"monde","Keyword",41333,2.1208493659721
"France","Keyword",33870,1.7379132418521528
"cas","Keyword",33137,1.7003020695380806
"mdr","Keyword",31927,1.638215414012804
"envie","Keyword",30416,1.560684061534546
"vrai","Keyword",30007,1.5396977457412915
"mal","Keyword",29804,1.5292815547730014
"sais","Keyword",29308,1.503831157136194
"moment","Keyword",28567,1.465809494537657
"jour","Keyword",27891,1.4311230655003953
"aller","Keyword",27037,1.3873032276337955
"chose","Keyword",26023,1.3352735840779029
"jsuis","Keyword",25317,1.2990478164738988
"jours","Keyword",25190,1.2925312832080225
"genre","Keyword",25138,1.2898630963590025
"veux","Keyword",23032,1.1818015289736872
"fin","Keyword",22391,1.1489109949309582
"mieux","Keyword",21926,1.125051247146451
"virus","Keyword",21064,1.0808209189953866
"déçu","Keyword",20636,1.0588596887765285
"bonne","Keyword",20457,1.0496749686616325
"compte","Keyword",20398,1.0466476028137055
"#coronavirus","Hashtag",20135,1.0331527347119307
"vois","Keyword",19678,1.0097034772118885
"pays","Keyword",19288,0.9896920758442375
"truc","Keyword",19119,0.9810204685849219
"mois","Keyword",18983,0.9740421337490232
"français","Keyword",18865,0.9679874020531698
"cause","Keyword",18854,0.9674229779120309
"mort","Keyword",18821,0.9657297054886143
"prendre","Keyword",18520,0.9502850085356322
"sens","Keyword",18512,0.9498745182511678
"gros","Keyword",18190,0.9333522843014662
"aime","Keyword",18132,0.9303762297390975
"point","Keyword",17644,0.9053363223867548
"pleading face","Emoji",16999,0.8722405432017935
"raison","Keyword",16936,0.8690079322116344
"mettre","Keyword",16540,0.848688663130635
"veut","Keyword",16387,0.8408380364402488
"Etat","Keyword",16304,0.8365791997389281
"film","Keyword",16243,0.8334492113198854
"crise","Keyword",16197,0.8310888921842137
"mec","Keyword",16139,0.8281128376218451
"petit","Keyword",15813,0.8113853585299112
"merde","Keyword",15623,0.8016362142738761
"tête","Keyword",15600,0.8004560547060401
"situation","Keyword",15575,0.7991732725670883
"arrive","Keyword",15135,0.7765963069215333
"place","Keyword",15079,0.7737228749302808
"mère","Keyword",15033,0.7713625557946091
"Macron","Keyword",14864,0.7626909485352937
"rolling on the floor laughing","Emoji",14826,0.7607411196840868
