"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",6861088,3.387886745322107
"face with tears of joy","Emoji",6118155,3.021039262333638
"bon","Keyword",5766162,2.84723119878072
"mdr","Keyword",3337815,1.6481553941353484
"vie","Keyword",3068610,1.5152266150154132
"France","Keyword",2960061,1.4616269937428148
"jamais","Keyword",2933542,1.4485323695958578
"temps","Keyword",2820859,1.392891450528338
"bonne","Keyword",2710447,1.3383719120346613
"monde","Keyword",2656012,1.3114928492706202
"sais","Keyword",2362122,1.166375043525713
"veux","Keyword",2261840,1.11685752406023
"vrai","Keyword",2224201,1.0982720359849891
"mal","Keyword",2190638,1.0816992063064823
"passe","Keyword",2005268,0.99016670213508
"jour","Keyword",1974034,0.9747438924286032
"soir","Keyword",1972607,0.9740392644766553
"aime","Keyword",1934823,0.9553821779059467
"mieux","Keyword",1906674,0.941482687913387
"unrecognised_emoji","Emoji",1886210,0.9313779181806169
"Paris","Keyword",1847087,0.9120596565379682
"winking face","Emoji",1829301,0.9032772369490781
"aller","Keyword",1827875,0.9025731027798575
"grave","Keyword",1784705,0.8812565024395681
"gros","Keyword",1739527,0.8589483863827326
"genre","Keyword",1716705,0.8476792769788389
"belle","Keyword",1655546,0.8174800191560047
"envie","Keyword",1637062,0.8083529392234147
"moment","Keyword",1634558,0.8071165072740961
"grand","Keyword",1605099,0.7925701619086898
"Demain","Keyword",1590428,0.7853258755155376
"smiling face with heart-shaped eyes","Emoji",1546182,0.7634779649606049
"petit","Keyword",1522836,0.7519501134075728
"veut","Keyword",1507466,0.7443606728879932
"vois","Keyword",1502430,0.7418739830729899
"fin","Keyword",1494512,0.7379642114377244
"rolling on the floor laughing","Emoji",1477396,0.7295126262761679
"ouais","Keyword",1469420,0.7255742152427154
"mdrrr","Keyword",1463307,0.7225557214303412
"année","Keyword",1437603,0.7098635302061856
"mdrr","Keyword",1431869,0.7070321800474824
"face throwing a kiss","Emoji",1393240,0.6879578470721514
"jsuis","Keyword",1366401,0.674705212452438
"compte","Keyword",1334264,0.6588365169431519
"demande","Keyword",1317876,0.6507444056071162
"merde","Keyword",1298954,0.6414010488399409
"jours","Keyword",1286757,0.6353783809142863
"cas","Keyword",1280237,0.6321589175318753
"place","Keyword",1278461,0.6312819594080774
"semaine","Keyword",1275259,0.6297008671150589
"vidéo","Keyword",1270776,0.6274872391482876
"français","Keyword",1261985,0.6231463951920336
"beau","Keyword",1227927,0.606329143063482
"Allez","Keyword",1196896,0.5910065712506601
"prendre","Keyword",1194218,0.5896842211067802
"wsh","Keyword",1182196,0.5837479651584142
"mort","Keyword",1173842,0.5796229042540182
"arrive","Keyword",1168544,0.5770068433644455
"accord","Keyword",1154513,0.5700785779168059
"putain","Keyword",1114516,0.5503287501704415
