"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",657380,3.4024189274238963
"face with tears of joy","Emoji",552644,2.8603340620755904
"Bon","Keyword",491863,2.5457482443936534
"mdr","Keyword",298809,1.5465535873993839
"vie","Keyword",282158,1.4603725694789493
"jamais","Keyword",279306,1.4456113981913943
"temps","Keyword",268157,1.3879072261419723
"France","Keyword",267895,1.3865511858624002
"bonne","Keyword",246907,1.2779230431614164
"monde","Keyword",236049,1.221725007453046
"sais","Keyword",227694,1.17848181456822
"veux","Keyword",225482,1.1670331080857266
"vrai","Keyword",221785,1.1478984481102388
"mal","Keyword",211160,1.0929063566199608
"aime","Keyword",192239,0.994976440094074
"mieux","Keyword",188688,0.9765974361522409
"passe","Keyword",184787,0.9564069280201398
"soir","Keyword",184670,0.9558013680479646
"jour","Keyword",181789,0.9408901006989301
"rolling on the floor laughing","Emoji",176229,0.9121130627049587
"aller","Keyword",169068,0.8750496869720759
"grave","Keyword",166564,0.862089668422273
"genre","Keyword",164003,0.8488346334757693
"unrecognised_emoji","Emoji",163042,0.8438607605419193
"journée","Keyword",159607,0.8260821408460035
"gros","Keyword",158908,0.8224643081917254
"winking face","Emoji",157657,0.8159894746430819
"moment","Keyword",155328,0.8039352081884129
"envie","Keyword",155008,0.8022789757858824
"vois","Keyword",147410,0.7629538076782935
"veut","Keyword",147032,0.760997383152804
"belle","Keyword",145809,0.7546674699393818
"mdrrr","Keyword",144499,0.7478872685415218
"ouais","Keyword",142665,0.7383949865845175
"grand","Keyword",140424,0.7267961840405446
"demain","Keyword",139958,0.7243842956043591
"fin","Keyword",139783,0.7234785435092251
"mdrr","Keyword",136552,0.7067557719699229
"mec","Keyword",134456,0.6959074497333466
"compte","Keyword",132972,0.6882266719666104
"mort","Keyword",129537,0.6704480522706946
"viens","Keyword",129217,0.6687918198681639
"merde","Keyword",128431,0.6647236990294478
"mois","Keyword",128169,0.6633676587498758
"face throwing a kiss","Emoji",123278,0.6380531816224453
"chose","Keyword",122201,0.6324789244426778
"jours","Keyword",121765,0.6302223077942297
"mettre","Keyword",121124,0.6269046672629103
"smiling face with heart-shaped eyes","Emoji",120659,0.624497954552983
"place","Keyword",118941,0.6156060568418961
"vidéo","Keyword",117631,0.6088258554440359
"pleading face","Emoji",115826,0.5994836695485111
"tête","Keyword",113789,0.5889407151611514
"année","Keyword",113381,0.5868290188479248
"demande","Keyword",113177,0.5857731706913114
"arrive","Keyword",113061,0.5851727864453939
"prendre","Keyword",112450,0.5820104177018119
"allez","Keyword",112013,0.5797486253271059
"français","Keyword",111984,0.5795985292656266
"donne","Keyword",109655,0.5675442628109577
