"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"loudly crying face","Emoji",1031467,3.6455208969250856
"face with tears of joy","Emoji",814805,2.8797709034017034
"bon","Keyword",774109,2.7359387513103
"confinement","Keyword",597531,2.1118579140782434
"coronavirus","Keyword",586877,2.0742034087612145
"mdr","Keyword",449917,1.590144740822386
"temps","Keyword",434401,1.5353064355380774
"jamais","Keyword",400197,1.4144190036004338
"monde","Keyword",388204,1.3720320613940205
"vie","Keyword",385672,1.3630831964172307
"France","Keyword",375396,1.3267646590943671
"sais","Keyword",345297,1.2203855568288093
"bonne","Keyword",326638,1.154438925074497
"veux","Keyword",325735,1.1512474459773243
"vrai","Keyword",322766,1.14075408890146
"jour","Keyword",310045,1.0957941712988766
"mal","Keyword",297528,1.0515552522963187
"aller","Keyword",289785,1.0241891142571076
"mieux","Keyword",276424,0.9769672402622865
"cas","Keyword",271795,0.9606069337940562
"rolling on the floor laughing","Emoji",269787,0.9535100456134109
"moment","Keyword",264896,0.9362237507471083
"passe","Keyword",263412,0.9309788393626075
"jours","Keyword",257939,0.9116355779021139
"grave","Keyword",254300,0.8987742352281259
"aime","Keyword",251564,0.8891043716513105
"#coronavirus","Hashtag",246848,0.8724365804860104
"wsh","Keyword",244520,0.8642087141092464
"soir","Keyword",243646,0.861119729911097
"unrecognised_emoji","Emoji",236485,0.8358105584660769
"gros","Keyword",233778,0.8262431897882847
"genre","Keyword",228830,0.8087554394307984
"fin","Keyword",227112,0.8026835002403859
"mdrr","Keyword",221698,0.7835487628848016
"envie","Keyword",220009,0.7775793185934122
"ouais","Keyword",216807,0.766262468018499
"vois","Keyword",211830,0.7486722227619894
"journée","Keyword",206823,0.7309759482995938
"winking face","Emoji",205862,0.7275794794043746
"demain","Keyword",204669,0.7233630513169693
"veut","Keyword",201583,0.7124561803381491
"jsuis","Keyword",198381,0.7011393297632358
"compte","Keyword",195237,0.6900274689863689
"pleading face","Emoji",191424,0.6765511569182413
"grand","Keyword",190551,0.6734657070269549
"petit","Keyword",188513,0.6662627896404235
"viens","Keyword",188251,0.6653368012423513
"mois","Keyword",187348,0.6621453221451787
"Paris","Keyword",183710,0.6492875137780535
"chose","Keyword",182167,0.6438340782886434
"mec","Keyword",179896,0.635807667403063
"mettre","Keyword",179605,0.6347791841059676
"virus","Keyword",179256,0.6335457110108255
"français","Keyword",176811,0.6249043307311057
"prendre","Keyword",176782,0.6248018358320824
"Allez","Keyword",175414,0.6199669040436747
"semaine","Keyword",174104,0.6153369620533135
"face throwing a kiss","Emoji",172241,0.6087525483677847
"mort","Keyword",171629,0.6065895525677075
"mars","Keyword",169650,0.5995951592860855
