"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423393]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"einfach","Keyword",113776,3.1807357715917717
"AfD","Keyword",84941,2.374620984871824
"Störung","Keyword",75859,2.1207234820804053
"Deutschland","Keyword",68269,1.9085365137709063
"Welt","Keyword",63651,1.7794351409575644
"face with tears of joy","Emoji",61074,1.7073922137726394
"halt","Keyword",58133,1.6251732580679972
"bitte","Keyword",56859,1.5895571582489851
"Täter","Keyword",55103,1.540466207478039
"böse","Keyword",54119,1.512957383128033
"Leben","Keyword",53164,1.4862592863249273
"Leute","Keyword",53079,1.4838830159288394
"Polizei","Keyword",52699,1.473259689452211
"Qualität","Keyword",50702,1.417431313205298
"eigentlich","Keyword",48258,1.349106550287193
"Frau","Keyword",47225,1.3202278759441481
"kämpfen","Keyword",44581,1.24631188856466
"leider","Keyword",44434,1.2422023385855432
"CDU","Keyword",44426,1.241978689607088
"genau","Keyword",44336,1.2394626385994654
"sagen","Keyword",44050,1.2314671876196872
"Grund","Keyword",43648,1.2202288264523065
"lassen","Keyword",43272,1.209717324464906
"ne","Keyword",42478,1.1875201633532138
"Frauen","Keyword",42180,1.1791892389057526
"weiß","Keyword",41225,1.1524911421026471
"echt","Keyword",41152,1.150450345174242
"finde","Keyword",40531,1.1330895932216467
"Kinder","Keyword",39404,1.1015830433817513
"Danke","Keyword",38274,1.0699926251749354
"Berlin","Keyword",38203,1.0680077404911443
"Politik","Keyword",37604,1.051262023229301
"klar","Keyword",36170,1.0111729438411825
"sehen","Keyword",35531,0.9933089816870626
"deutschen","Keyword",35334,0.9878016255925999
"lächerlich","Keyword",34912,0.976004141979081
"gerne","Keyword",33914,0.9481039319167779
"steht","Keyword",33869,0.9468459064129667
"Deutsche","Keyword",32951,0.9211821861352171
"Frage","Keyword",32899,0.9197284677752574
"SPD","Keyword",32500,0.9085739749747976
"eher","Keyword",31880,0.8912411791445091
"zerstört","Keyword",31680,0.8856499546831258
"Fall","Keyword",30724,0.8589239017577133
"egal","Keyword",29362,0.8208476631756926
"Problem","Keyword",29255,0.8178563580888525
"Land","Keyword",28298,0.791102349041133
"EU","Keyword",28229,0.7891733766019556
"is","Keyword",28200,0.7883626490550552
"geben","Keyword",28054,0.7842810551982453
"fast","Keyword",28038,0.7838337572413346
"stört","Keyword",27532,0.7696879593540347
"Guten","Keyword",27438,0.7670600838571845
"Geld","Keyword",27004,0.7549271267759825
"sogar","Keyword",26658,0.7452543084577893
"winking face","Emoji",26446,0.739327610528723
"Thema","Keyword",26091,0.7294031871097675
"bekommen","Keyword",25406,0.7102532433295294
"#afd","Hashtag",25222,0.7051093168250567
"Oh","Keyword",25038,0.699965390320584
