"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423393]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Co","Keyword",116997,33.53771800075677
"einfach","Keyword",11592,3.3228991090777753
"AfD","Keyword",10114,2.8992237395801084
"CDU","Keyword",7898,2.2639973398461235
"FDP","Keyword",6763,1.9386444681412176
"Störung","Keyword",6501,1.8635409858621994
"Deutschland","Keyword",6500,1.863254331349684
"halt","Keyword",5773,1.6548565007510347
"face with tears of joy","Emoji",5764,1.6522766101383968
"Welt","Keyword",5688,1.6304908671872311
"bitte","Keyword",5581,1.5998188343480904
"böse","Keyword",5428,1.5559606939332438
"Leute","Keyword",5260,1.5078027358306676
"Leben","Keyword",5247,1.5040762271679682
"eigentlich","Keyword",4738,1.358169080297662
"Täter","Keyword",4698,1.3467028997970487
"genau","Keyword",4641,1.3303635925836745
"Demokratie","Keyword",4637,1.329216974533613
"sagen","Keyword",4573,1.3108710857326318
"lassen","Keyword",4542,1.3019847958446562
"Polizei","Keyword",4379,1.2552601103046563
"Frau","Keyword",4277,1.226021350028092
"kämpfen","Keyword",4195,1.2025156800018346
"ne","Keyword",4141,1.1870363363260064
"leider","Keyword",4130,1.1838831366883378
"weiß","Keyword",4097,1.1744235377753316
"finde","Keyword",4049,1.1606641211745954
"echt","Keyword",3944,1.1305653973604852
"klar","Keyword",3870,1.1093529634343504
"lächerlich","Keyword",3800,1.0892871475582768
"Frage","Keyword",3757,1.0769610035201174
"Kinder","Keyword",3611,1.0351094446928784
"Berlin","Keyword",3579,1.0259365002923877
"Grund","Keyword",3577,1.0253631912673569
"steht","Keyword",3548,1.0170502104044121
"Frauen","Keyword",3544,1.0159035923543507
"Danke","Keyword",3490,1.0004242486785226
"sehen","Keyword",3487,0.9995642851409766
"Nazis","Keyword",3313,0.9496863999633083
"Partei","Keyword",3209,0.9198743306617133
"Land","Keyword",3109,0.8912088794101797
"egal","Keyword",3066,0.8788827353720201
"geben","Keyword",3040,0.8714297180466214
"zerstört","Keyword",3014,0.8639767007212227
"deutschen","Keyword",3001,0.8602501920585234
"Fall","Keyword",2829,0.8109456159058855
"Problem","Keyword",2792,0.8003393989428181
"guten","Keyword",2789,0.7994794354052721
"wissen","Keyword",2766,0.7928863816174194
"fast","Keyword",2698,0.7733938747663766
"sogar","Keyword",2671,0.7656542029284624
"winking face","Emoji",2652,0.7602077671906712
"#afd","Hashtag",2621,0.7513214773026957
"innen","Keyword",2618,0.7504615137651497
"stört","Keyword",2611,0.7484549321775423
"Ärger","Keyword",2596,0.7441551144898123
"Politiker","Keyword",2513,0.7203627899510394
"Thema","Keyword",2510,0.7195028264134934
"bekommen","Keyword",2471,0.7083233004253953
"sicher","Keyword",2422,0.6942772293121439
