"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423393]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Wed Apr 15 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"einfach","Keyword",36865,3.482350674082583
"Corona","Keyword",30819,2.911231938818693
"AfD","Keyword",26758,2.52762076053443
"Deutschland","Keyword",21526,2.033394292968986
"Leute","Keyword",18701,1.766538449912339
"halt","Keyword",18077,1.7075940088265522
"bitte","Keyword",17778,1.679349797472946
"Störung","Keyword",17710,1.6729263647905206
"face with tears of joy","Emoji",17621,1.6645192249561693
"leben","Keyword",17061,1.6116203675714889
"böse","Keyword",16292,1.5389789009128831
"CDU","Keyword",16206,1.5308551478145214
"Täter","Keyword",15070,1.4235460371198838
"eigentlich","Keyword",15040,1.4207121697599903
"genau","Keyword",14313,1.3520381174052356
"lassen","Keyword",13884,1.311513814158757
"sagen","Keyword",13510,1.276184934405417
"leider","Keyword",13125,1.239816969953449
"kämpfen","Keyword",13066,1.2342436974789917
"ne","Keyword",12888,1.2174294178102896
"echt","Keyword",12870,1.2157290973943535
"weiß","Keyword",12782,1.207416419805332
"Frau","Keyword",12468,1.1777552747717792
"finde","Keyword",12414,1.1726543135239706
"Qualität","Keyword",12405,1.1718041533160026
"Polizei","Keyword",12130,1.1458270358503113
"klar","Keyword",11757,1.110592618342301
"Danke","Keyword",11675,1.1028467142252585
"Kinder","Keyword",11105,1.0490032343872802
"Frauen","Keyword",10944,1.0337948128891845
"FDP","Keyword",10869,1.0267101444894504
"sehen","Keyword",10661,1.0070619974608548
"lächerlich","Keyword",10422,0.9844855208270359
"#coronavirus","Hashtag",10370,0.979573484069887
"steht","Keyword",10326,0.9754171452753764
"gerne","Keyword",10194,0.9629481288918446
"#corona","Hashtag",10018,0.946322773713802
"Berlin","Keyword",9966,0.9414107369566531
"#hanau","Hashtag",9914,0.9364987001995043
"Land","Keyword",9838,0.9293195695544406
"liebe","Keyword",9647,0.9112772806964512
"Virus","Keyword",9618,0.9085378755818875
"egal","Keyword",9270,0.8756650142071217
"eher","Keyword",9266,0.8752871652258026
"geben","Keyword",9104,0.859984281482377
"Demokratie","Keyword",9043,0.8542220845172601
"sieht","Keyword",8956,0.8460038691735687
"Politik","Keyword",8612,0.8135088567801221
"sowas","Keyword",8601,0.8124697720814944
"Problem","Keyword",8591,0.8115251496281966
"Geld","Keyword",8504,0.8033069342845052
"deutsche","Keyword",8334,0.7872483525784414
"fast","Keyword",8273,0.7814861556133245
"winking face","Emoji",8219,0.776385194365516
"deutschen","Keyword",8169,0.7716620820990266
"zerstört","Keyword",8097,0.764860800435282
"Fall","Keyword",7996,0.7553201136569735
"bekommen","Keyword",7956,0.7515416238437821
"Linke","Keyword",7906,0.7468185115772928
"guten","Keyword",7819,0.7386002962336013
