"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423393]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Corona","Keyword",20758,5.041261699719741
"einfach","Keyword",14709,3.572209188803241
"Coronavirus","Keyword",13007,3.1588636153894725
"Deutschland","Keyword",8865,2.15294271933787
"Leute","Keyword",8275,2.009656063454131
"AfD","Keyword",7914,1.9219840587523862
"#coronavirus","Hashtag",7493,1.819740529723481
"halt","Keyword",7304,1.7738402280929273
"bitte","Keyword",7227,1.7551401052064055
"#corona","Hashtag",6972,1.6932111268159762
"leben","Keyword",6925,1.6817967660930344
"face with tears of joy","Emoji",6846,1.6626109257289405
"Welt","Keyword",6741,1.6371107581564108
"Virus","Keyword",6592,1.600924806077297
"Störung","Keyword",6334,1.5382672514705096
"böse","Keyword",6269,1.5224814334494197
"eigentlich","Keyword",5912,1.4357808637028187
"lassen","Keyword",5653,1.3728804503572452
"Krise","Keyword",5470,1.3284373011594077
"kämpfen","Keyword",5428,1.3182372341303956
"genau","Keyword",5406,1.3128943418771037
"echt","Keyword",5315,1.290794196647578
"leider","Keyword",5179,1.2577654081726821
"ne","Keyword",5144,1.2492653523151722
"sagen","Keyword",5133,1.2465939061885263
"weiß","Keyword",4977,1.2087079429379108
"Danke","Keyword",4968,1.2065222142888368
"Frau","Keyword",4939,1.199479310864043
"finde","Keyword",4794,1.164264793740073
"Frauen","Keyword",4770,1.1584361840092092
"Qualität","Keyword",4700,1.1414360722941894
"klar","Keyword",4533,1.1008786629169276
"Kinder","Keyword",4406,1.070035603091106
"sehen","Keyword",4215,1.0236495839829804
"Polizei","Keyword",4162,1.0107780708273224
"Frage","Keyword",4087,0.9925636654183728
"lächerlich","Keyword",4006,0.972892107576707
"gerne","Keyword",3973,0.964877769196769
"#covid19","Hashtag",3906,0.9486062336981071
"Land","Keyword",3866,0.9388918841466672
"steht","Keyword",3763,0.9138774340517094
"Berlin","Keyword",3754,0.9116917054026354
"liebe","Keyword",3742,0.9087774005372036
"Geld","Keyword",3686,0.8951773111651876
"Täter","Keyword",3638,0.8835200917034597
"eher","Keyword",3536,0.8587485003472881
"geben","Keyword",3465,0.841505529893482
"bleibt","Keyword",3385,0.8220768307906023
"fast","Keyword",3288,0.7985195331283605
"sowas","Keyword",3284,0.7975480981732166
"bleiben","Keyword",3278,0.7960909457405007
"bekommen","Keyword",3244,0.7878337486217767
"Wochen","Keyword",3225,0.7832194325848427
"winking face","Emoji",3207,0.7788479752866948
"Pandemie","Keyword",3186,0.7737479417721888
"Deutsche","Keyword",3150,0.7650050271758929
"sogar","Keyword",3113,0.7560192538408109
"Deutschen","Keyword",3017,0.7327048149173552
"Angst","Keyword",3001,0.7288190750967792
"sicher","Keyword",2983,0.7244476177986313
