"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"Qualität","Keyword",50702,3.4265100040683976
"einfach","Keyword",45555,3.0786687553811656
"übel","Keyword",30291,2.047106909653186
"face with tears of joy","Emoji",28374,1.9175534467168303
"halt","Keyword",23805,1.6087742228481756
"Deutschland","Keyword",23550,1.5915409766046857
"Leben","Keyword",23154,1.5647787589089124
"Welt","Keyword",23126,1.5628864808900196
"guten","Keyword",22765,1.5384896107178627
"fürchte","Keyword",22224,1.5019280961385364
"Leute","Keyword",22083,1.4923991246862536
"AfD","Keyword",21930,1.4820591769401594
"weiß","Keyword",20490,1.3847420216828028
"eigentlich","Keyword",20426,1.3804168147824758
"echt","Keyword",20162,1.3625753363186273
"Danke","Keyword",20111,1.359128687069929
"lassen","Keyword",18851,1.2739761762197421
"finde","Keyword",18769,1.2684345048786982
"liebe","Keyword",18484,1.2491738179006797
"genau","Keyword",18392,1.2429563329814597
"leider","Keyword",18189,1.229237317344485
"eher","Keyword",17804,1.2032184945847058
"winking face","Emoji",17527,1.1844984584692282
"sagen","Keyword",17366,1.1736178598605933
"bitte","Keyword",17297,1.1689547461711782
"ne","Keyword",17089,1.1548978237451155
"Werbung","Keyword",16966,1.1465853167335498
"Kinder","Keyword",16427,1.1101589648698587
"sehen","Keyword",16383,1.1071853851258837
"CDU","Keyword",15953,1.078125401264312
"Politik","Keyword",15504,1.0477813716042057
"wünsche","Keyword",15346,1.0371035170690235
"steht","Keyword",15137,1.0229790132851433
"Frau","Keyword",15054,1.0173697605862817
"Frage","Keyword",14608,0.9872284749996283
"Berlin","Keyword",14299,0.9663458354339871
"klar","Keyword",13945,0.9424220347665537
"sicher","Keyword",13425,0.9072797287013972
"fast","Keyword",13217,0.8932228062753347
"SPD","Keyword",12803,0.8652441241388446
"bekommen","Keyword",12569,0.8494300864095241
"Thema","Keyword",12498,0.844631810004474
"wissen","Keyword",12489,0.8440235777841153
"Frauen","Keyword",12305,0.8315886079456754
"paar","Keyword",12022,0.8124630836832921
"thinking face","Emoji",11999,0.8109087124534872
"smiling face with smiling eyes","Emoji",11954,0.8078675513516949
"bisschen","Keyword",11690,0.790026072887846
"Problem","Keyword",11654,0.7875931440064121
"Oh","Keyword",11531,0.7792806369948463
"deutschen","Keyword",11512,0.7779965911963117
"smiling face with open mouth and cold sweat","Emoji",11267,0.7614391585309975
"glaube","Keyword",11234,0.7592089737230164
"nehmen","Keyword",11222,0.7583979974292052
"geben","Keyword",10985,0.7423812156264319
"Geld","Keyword",10937,0.7391373104511867
"schnell","Keyword",10651,0.7198090421153506
"bleibt","Keyword",10579,0.7149431843524827
"lässt","Keyword",10542,0.7124426741132313
"sowas","Keyword",10491,0.7089960248645332
