"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"einfach","Keyword",4661,3.1889928092009385
"übel","Keyword",3232,2.211290443968555
"CDU","Keyword",3006,2.0566643176266943
"AfD","Keyword",2934,2.0074028968452167
"face with tears of joy","Emoji",2768,1.8938279544879206
"Deutschland","Keyword",2689,1.839777228908244
"halt","Keyword",2448,1.6748883065702418
"Coronavirus","Keyword",2391,1.6358896817849053
"fürchte","Keyword",2372,1.6228901401897933
"Guten","Keyword",2271,1.553787313815776
"leben","Keyword",2259,1.545577077018863
"Leute","Keyword",2176,1.488789605840215
"Welt","Keyword",2158,1.4764742506448456
"eigentlich","Keyword",2091,1.4306337618620817
"weiß","Keyword",2072,1.4176342202669696
"finde","Keyword",1980,1.354689071490637
"echt","Keyword",1963,1.3430579026950102
"lassen","Keyword",1948,1.332795106698869
"Danke","Keyword",1940,1.327321615500927
"genau","Keyword",1923,1.3156904467053003
"eher","Keyword",1874,1.2821653131179058
"sagen","Keyword",1826,1.249324365930254
"leider","Keyword",1799,1.2308513331372
"liebe","Keyword",1766,1.2082731819456893
"bitte","Keyword",1761,1.2048522499469756
"winking face","Emoji",1644,1.1248024411770743
"steht","Keyword",1627,1.1131712723814475
"Frau","Keyword",1614,1.104276849184792
"sehen","Keyword",1574,1.0769093931950822
"Frage","Keyword",1557,1.0652782243994554
"klar","Keyword",1544,1.0563838012027997
"Kinder","Keyword",1543,1.0556996148030569
"Berlin","Keyword",1401,0.9585451460395871
"bekommen","Keyword",1365,0.9339144356488481
"sieht","Keyword",1364,0.9332302492491054
"wünsche","Keyword",1328,0.9085995388583666
"#scheuer","Hashtag",1327,0.9079153524586239
"sicher","Keyword",1305,0.8928632516642835
"Thema","Keyword",1299,0.888758133265827
"Politik","Keyword",1279,0.875074405270972
"fast","Keyword",1269,0.8682325412735445
"geben","Keyword",1261,0.8627590500756026
"smiling face with open mouth and cold sweat","Emoji",1245,0.8518120676797186
"wissen","Keyword",1235,0.8449702036822913
"bisschen","Keyword",1232,0.8429176444830629
"gerne","Keyword",1219,0.8340232212864073
"smiling face with smiling eyes","Emoji",1198,0.8196553068918095
"#coronavirus","Hashtag",1175,0.8039190196977264
"paar","Keyword",1146,0.7840776141051868
"Arbeit","Keyword",1143,0.7820250549059585
"lässt","Keyword",1143,0.7820250549059585
"bleibt","Keyword",1127,0.7710780725100747
"thinking face","Emoji",1121,0.7669729541116181
"SPD","Keyword",1106,0.7567101581154769
"Grund","Keyword",1096,0.7498682941180496
"see-no-evil monkey","Emoji",1094,0.748499921318564
"Kind","Keyword",1091,0.7464473621193358
"letzten","Keyword",1090,0.745763175719593
"Fall","Keyword",1077,0.7368687525229374
"China","Keyword",1073,0.7341320069239664
