"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Wed Apr 15 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Corona","Keyword",25111,5.028666865589148
"einfach","Keyword",16483,3.3008448865240703
"Coronavirus","Keyword",16377,3.279617588218449
"Qualität","Keyword",12407,2.484595189413586
"Leute","Keyword",10375,2.0776718860454544
"übel","Keyword",9902,1.9829500737949004
"Deutschland","Keyword",9739,1.9503080962117285
"#coronavirus","Hashtag",9465,1.8954375326670097
"leben","Keyword",8873,1.776885074205428
"#corona","Hashtag",8696,1.741439491185665
"fürchte","Keyword",8692,1.7406384610609245
"halt","Keyword",8642,1.7306255845016691
"face with tears of joy","Emoji",8498,1.701788500011014
"Virus","Keyword",7662,1.5343732039402673
"AfD","Keyword",7613,1.524560584912197
"bitte","Keyword",7328,1.4674871885244423
"Danke","Keyword",7317,1.4652843556814061
"weiß","Keyword",7310,1.4638825529631105
"lassen","Keyword",7233,1.4484627230618576
"eigentlich","Keyword",7134,1.4286372274745323
"echt","Keyword",7088,1.4194253810400175
"finde","Keyword",6814,1.364554817495299
"genau","Keyword",6690,1.339722883628346
"Krise","Keyword",6611,1.3239025386647227
"guten","Keyword",6522,1.3060796183892487
"eher","Keyword",6390,1.2796456242728147
"leider","Keyword",6333,1.2682309449952638
"sagen","Keyword",6199,1.24139643581646
"Kinder","Keyword",5937,1.1889289626459627
"ne","Keyword",5892,1.179917373742633
"Liebe","Keyword",5705,1.1424692154110185
"sehen","Keyword",5674,1.1362612319442804
"winking face","Emoji",5425,1.0863971066791895
"Frage","Keyword",5390,1.0793880930877109
"klar","Keyword",5358,1.0729798520897873
"Frau","Keyword",5356,1.0725793370274173
"bekommen","Keyword",5140,1.0293237102914348
"steht","Keyword",5003,1.0018884285190754
"bleiben","Keyword",4685,0.9382065336022125
"Wochen","Keyword",4573,0.9157776901094807
"bleibt","Keyword",4511,0.9033617231760044
"paar","Keyword",4509,0.9029612081136342
"sieht","Keyword",4497,0.900558117739413
"geben","Keyword",4453,0.8917467863672683
"gerne","Keyword",4380,0.8771279865907557
"Arbeit","Keyword",4335,0.8681163976874261
"nehmen","Keyword",4188,0.8386785406032157
"bisschen","Keyword",4160,0.8330713297300328
"Problem","Keyword",4159,0.8328710721988477
"#covid19","Hashtag",4148,0.8306682393558116
"Politik","Keyword",4116,0.8242599983578883
"wünsche","Keyword",4103,0.8216566504524819
"Thema","Keyword",4051,0.8112432588308565
"mache","Keyword",4043,0.8096411985813756
"gestern","Keyword",3958,0.7926193084306418
"Land","Keyword",3925,0.7860108099015334
"lässt","Keyword",3925,0.7860108099015334
"smiling face with open mouth and cold sweat","Emoji",3887,0.7784010237164994
"schnell","Keyword",3885,0.7780005086541292
"thinking face","Emoji",3868,0.7745961306239825
