"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Thu Mar 19 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Corona","Keyword",10168,7.097089411600474
"Coronavirus","Keyword",8203,5.725553151392475
"einfach","Keyword",4920,3.434075521742165
"#coronavirus","Hashtag",4858,3.390800586305577
"Leute","Keyword",4040,2.819850631674461
"Virus","Keyword",3769,2.630697284846793
"#corona","Hashtag",3502,2.4443358693376145
"Deutschland","Keyword",3276,2.286591749842954
"Qualität","Keyword",2755,1.922942695609688
"Leben","Keyword",2685,1.8740838975361207
"halt","Keyword",2658,1.855238361136316
"bitte","Keyword",2454,1.7128498638933483
"Welt","Keyword",2449,1.709359949745236
"übel","Keyword",2449,1.709359949745236
"lassen","Keyword",2416,1.6863265163676973
"fürchte","Keyword",2331,1.626997975849794
"face with tears of joy","Emoji",2223,1.5516158302505758
"eigentlich","Keyword",2179,1.5209045857471908
"echt","Keyword",2150,1.5006630836881414
"Danke","Keyword",2107,1.4706498220143784
"weiß","Keyword",2085,1.4552941997626858
"finde","Keyword",1952,1.3624624834229078
"leider","Keyword",1880,1.3122077196900956
"eher","Keyword",1847,1.2891742863125566
"sagen","Keyword",1840,1.2842884065051998
"Kinder","Keyword",1838,1.2828924408459552
"#covid19","Hashtag",1831,1.2780065610385984
"Wochen","Keyword",1805,1.2598590074684164
"EU","Keyword",1773,1.2375235569204996
"AfD","Keyword",1734,1.2103022265652266
"bleiben","Keyword",1712,1.194946604313534
"ne","Keyword",1692,1.180986947721086
"guten","Keyword",1648,1.150275703217701
"bekommen","Keyword",1624,1.1335241153067634
"Liebe","Keyword",1623,1.132826132477141
"Frau","Keyword",1603,1.1188664758846933
"klar","Keyword",1558,1.0874572485516856
"Krise","Keyword",1554,1.0846653172331961
"winking face","Emoji",1534,1.0707056606407483
"Frage","Keyword",1525,1.0644238151741467
"mache","Keyword",1465,1.0225448453968033
"bleibt","Keyword",1390,0.970196133175124
"sicher","Keyword",1374,0.9590284079011656
"steht","Keyword",1360,0.9492566482864522
"paar","Keyword",1348,0.9408808543309835
"wissen","Keyword",1337,0.9332030432051373
"Arbeit","Keyword",1332,0.9297131290570252
"geben","Keyword",1313,0.9164514552941998
"fast","Keyword",1299,0.9066796956794863
"Grund","Keyword",1298,0.9059817128498638
"Geld","Keyword",1288,0.89900188455364
"Thema","Keyword",1269,0.8857402107908147
"gestern","Keyword",1253,0.8745724855168563
"sieht","Keyword",1248,0.8710825713687442
"lässt","Keyword",1226,0.8557269491170517
"Land","Keyword",1223,0.8536330006281845
"bisschen","Keyword",1206,0.8417672925246039
"Medien","Keyword",1199,0.8368814127172471
"Problem","Keyword",1185,0.8271096531025337
"#coronavirusde","Hashtag",1146,0.7998883227472605
