"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Corona","Keyword",18081,8.101641298162445
"Coronavirus","Keyword",11209,5.022470953548081
"einfach","Keyword",7525,3.371763219328157
"#coronavirus","Hashtag",6704,3.0038937704154103
"#corona","Hashtag",6439,2.8851539361134884
"Leute","Keyword",5807,2.6019706331745653
"Virus","Keyword",5344,2.394511979281019
"Qualität","Keyword",4700,2.1059517781850277
"Deutschland","Keyword",4637,2.07772306286042
"Krise","Keyword",4331,1.9406121598551822
"Leben","Keyword",4220,1.8908758519023017
"halt","Keyword",3973,1.7802013648359822
"übel","Keyword",3955,1.77213601760038
"fürchte","Keyword",3906,1.7501803501256847
"bitte","Keyword",3810,1.7071651648691395
"Welt","Keyword",3778,1.6928267697836248
"Danke","Keyword",3520,1.5772234594066594
"lassen","Keyword",3474,1.5566120164712314
"face with tears of joy","Emoji",3473,1.556163941624809
"echt","Keyword",3284,1.4714777956509857
"weiß","Keyword",3265,1.462964373568961
"eigentlich","Keyword",3246,1.4544509514869364
"#covid19","Hashtag",3110,1.3935127723734972
"finde","Keyword",3040,1.362147533123933
"leider","Keyword",2906,1.3021055037033387
"Wochen","Keyword",2848,1.2761171626108425
"eher","Keyword",2834,1.2698441147609296
"Kinder","Keyword",2816,1.2617787675253274
"sagen","Keyword",2773,1.2425115491291665
"Zeiten","Keyword",2701,1.2102501601867577
"bleiben","Keyword",2695,1.2075617111082235
"Guten","Keyword",2607,1.168131124623057
"ne","Keyword",2515,1.1269082387522011
"bekommen","Keyword",2485,1.1134659933595308
"Liebe","Keyword",2484,1.1130179185131084
"Situation","Keyword",2464,1.1040564215846616
"AfD","Keyword",2387,1.0695546584101407
"klar","Keyword",2370,1.0619373860209609
"bleibt","Keyword",2313,1.0363971197748874
"Frau","Keyword",2313,1.0363971197748874
"winking face","Emoji",2312,1.0359490449284647
"mache","Keyword",2235,1.0014472817539442
"Arbeit","Keyword",2161,0.9682897431186905
"sicher","Keyword",2152,0.9642570695008894
"steht","Keyword",2115,0.9476783001832627
"paar","Keyword",2067,0.9261707075549901
"geben","Keyword",2023,0.9064554143124067
"nehmen","Keyword",2022,0.9060073394659844
"Geld","Keyword",2013,0.9019746658481833
"wissen","Keyword",2012,0.9015265910017609
"fast","Keyword",2005,0.8983900670768045
"gestern","Keyword",1901,0.8517902830488805
"arbeiten","Keyword",1875,0.8401403370418994
"bisschen","Keyword",1864,0.8352115137312537
"schnell","Keyword",1862,0.834315364038409
"aktuell","Keyword",1851,0.8293865407277631
"innen","Keyword",1839,0.824009642570695
"Problem","Keyword",1823,0.8168404450279375
"Thema","Keyword",1801,0.8069827984066459
"Grund","Keyword",1783,0.7989174511710436
