"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423395]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"einfach","Keyword",671752,2.5627876331892123
"smiling face with smiling eyes","Emoji",573363,2.1874257251608724
"face with tears of joy","Emoji",537937,2.0522727003937544
"face throwing a kiss","Emoji",471642,1.7993519705079053
"schönen","Keyword",429563,1.6388172183717469
"wünsche","Keyword",371635,1.417817263008183
"winking face","Emoji",371446,1.417096212884517
"gerne","Keyword",350316,1.3364835720746826
"halt","Keyword",346811,1.3231117166067
"Welt","Keyword",315158,1.2023529887527626
"thumbs up sign","Emoji",313558,1.1962488607217292
"leider","Keyword",311706,1.189183332525808
"eigentlich","Keyword",308911,1.1785201838715966
"smiling face with heart-shaped eyes","Emoji",307941,1.1748195562527826
"Deutschland","Keyword",305177,1.1642746750791724
"hugging face","Emoji",293451,1.1195390467717363
"finde","Keyword",293204,1.1185967220069457
"ne","Keyword",288676,1.1013220396791212
"sagen","Keyword",286737,1.0939245995215126
"Leben","Keyword",285471,1.0890947082169575
"weiß","Keyword",282526,1.0778592975598367
"Berlin","Keyword",276421,1.0545682340414249
"sehen","Keyword",273824,1.0446604712310539
"four leaf clover","Emoji",273035,1.0416503730957505
"Leute","Keyword",268239,1.0233532493227278
"Nacht","Keyword",268203,1.0232159064420296
"Abend","Keyword",252615,0.9637464390996868
"hot beverage","Emoji",249445,0.9516526354382019
"lassen","Keyword",246134,0.9390209054939823
"Frage","Keyword",245090,0.935037961953733
"AfD","Keyword",244935,0.9344466245507267
"unrecognised_emoji","Emoji",243335,0.9283424965196932
"Glück","Keyword",230242,0.8783916538257431
"grinning face with smiling eyes","Emoji",224758,0.8574697549993762
"Dankeschön","Keyword",216020,0.8241335857898953
"steht","Keyword",215698,0.8229051300236496
"Thema","Keyword",213318,0.8138252395774875
"thinking face","Emoji",209570,0.7995263196647917
"klar","Keyword",208446,0.7952381697229909
"wissen","Keyword",205598,0.7843728218277514
"eher","Keyword",205254,0.7830604343010793
"Oh","Keyword",199144,0.7597502953825706
"Glückwunsch","Keyword",197659,0.7540849015537676
"paar","Keyword",193642,0.7387597251158544
"Frau","Keyword",191866,0.7319841430014074
"smiling face with open mouth and cold sweat","Emoji",189864,0.7243463528025769
"Politik","Keyword",183886,0.7015398044466283
"geben","Keyword",177904,0.6787179957706023
"Wochenende","Keyword",172354,0.6575443016629552
"Arbeit","Keyword",172279,0.6572581706615005
"Kinder","Keyword",171662,0.6549042662895332
"bekommen","Keyword",169656,0.6472512157706252
"lesen","Keyword",167981,0.6408609567381371
"sogar","Keyword",167183,0.6378165228826592
"Geld","Keyword",166636,0.6357296741120497
"gestern","Keyword",163074,0.6221403590829616
"Problem","Keyword",161289,0.61533044124834
"letzten","Keyword",159124,0.6070707930063479
"Fall","Keyword",157158,0.5995703456882157
"smiling face with sunglasses","Emoji",155108,0.5917494316484542
