"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423395]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"einfach","Keyword",67099,2.7139754832546026
"smiling face with smiling eyes","Emoji",51682,2.0903989765207287
"face with tears of joy","Emoji",50254,2.0326401874167543
"face throwing a kiss","Emoji",39096,1.5813288647121708
"CDU","Keyword",38084,1.5403961654312028
"AfD","Keyword",36695,1.4842148222481355
"schönen","Keyword",36511,1.4767725132879594
"halt","Keyword",34824,1.4085378653759113
"winking face","Emoji",34158,1.381599942726579
"gerne","Keyword",32765,1.3252568102182902
"wünsche","Keyword",30842,1.2474765921181903
"thumbs up sign","Emoji",30469,1.232389737541312
"eigentlich","Keyword",30171,1.2203364328123312
"leider","Keyword",30023,1.2143502277791463
"finde","Keyword",29541,1.1948546140899896
"Deutschland","Keyword",29251,1.1831248880114515
"four leaf clover","Emoji",29133,1.1783521029174255
"sagen","Keyword",29111,1.177462261628709
"hot beverage","Emoji",27985,1.1319185665789364
"weiß","Keyword",27815,1.1250425202570347
"ne","Keyword",27565,1.1149306874307086
"Welt","Keyword",27254,1.1023515673947593
"Leben","Keyword",26763,1.0824919277238547
"hugging face","Emoji",26627,1.0769910906663334
"smiling face with heart-shaped eyes","Emoji",26093,1.055392215749301
"sehen","Keyword",25931,1.0488397480778417
"Leute","Keyword",25458,1.029708160370433
"Berlin","Keyword",25142,1.0169268036779568
"lassen","Keyword",25037,1.0126798338908998
"Frage","Keyword",24822,1.0039836576602594
"unrecognised_emoji","Emoji",24774,1.0020421857576047
"Nacht","Keyword",23867,0.9653564562636938
"Abend","Keyword",22991,0.9299245940402476
"klar","Keyword",21891,0.885432529604413
"steht","Keyword",21519,0.8703861223588398
"grinning face with smiling eyes","Emoji",21445,0.8673930198422473
"eher","Keyword",21116,0.8540858478428023
"sieht","Keyword",21011,0.8498388780557453
"Glück","Keyword",20774,0.8402528605363881
"Thema","Keyword",20700,0.8372597580197958
"smiling face with open mouth and cold sweat","Emoji",19924,0.8058726289268797
"Frau","Keyword",19429,0.7858511999307541
"thinking face","Emoji",19039,0.7700767407216855
"Glückwunsch","Keyword",18785,0.7598031185701383
"wissen","Keyword",18645,0.7541404921873958
"Dankeschön","Keyword",18391,0.7438668700358485
"geben","Keyword",17870,0.722793810425785
"paar","Keyword",17672,0.7147852388273348
"Oh","Keyword",17458,0.7061295099279997
"Arbeit","Keyword",16652,0.6735289608959246
"SPD","Keyword",16608,0.6717492783184912
"Fall","Keyword",16533,0.6687157284705935
"fast","Keyword",16389,0.6628913127626296
"sogar","Keyword",16091,0.650838008033649
"bekommen","Keyword",16047,0.6490583254562156
"gestern","Keyword",15723,0.635953390113297
"lesen","Keyword",15596,0.6308165790375234
"Wochenende","Keyword",15416,0.6235360594025687
"Problem","Keyword",15237,0.6162959870989192
"sowas","Keyword",15035,0.6081256261752478
