"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423395]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Wed Apr 15 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"einfach","Keyword",216894,2.7625944804153506
"Corona","Keyword",184611,2.351403587116095
"face with tears of joy","Emoji",154207,1.9641456519839644
"smiling face with smiling eyes","Emoji",153348,1.9532045071912234
"face throwing a kiss","Emoji",121012,1.5413385490793772
"schönen","Keyword",112881,1.4377734171704393
"halt","Keyword",112175,1.4287810443838556
"gerne","Keyword",106879,1.3613255114125438
"winking face","Emoji",106313,1.3541163286969542
"wünsche","Keyword",102230,1.302110863983611
"Coronavirus","Keyword",100728,1.2829797819362336
"four leaf clover","Emoji",100465,1.2796299320171522
"Deutschland","Keyword",100320,1.27778305658648
"Leute","Keyword",99654,1.2693001666773234
"leider","Keyword",98130,1.2498888690473613
"eigentlich","Keyword",97621,1.243405699432105
"thumbs up sign","Emoji",95247,1.2131678906568228
"finde","Keyword",93236,1.187553638994189
"sagen","Keyword",91160,1.1611114776557367
"weiß","Keyword",91124,1.1606529430660528
"ne","Keyword",90498,1.152679536034323
"Leben","Keyword",89674,1.1421841887593303
"hot beverage","Emoji",87510,1.114621165090539
"AfD","Keyword",85696,1.0915161165992324
"sehen","Keyword",82367,1.0491144041253848
"smiling face with heart-shaped eyes","Emoji",82143,1.0462613000117944
"lassen","Keyword",80925,1.0307475463941478
"hugging face","Emoji",78525,1.000178573748538
"unrecognised_emoji","Emoji",78222,0.9963192409520298
"Berlin","Keyword",71629,0.9123437256801533
"#corona","Hashtag",70096,0.8928177944027702
"Nacht","Keyword",69955,0.8910218672598407
"klar","Keyword",69123,0.8804246234093627
"sieht","Keyword",68098,0.8673691246753003
"Glück","Keyword",67108,0.8547594234589861
"eher","Keyword",65899,0.8393603034887605
"grinning face with smiling eyes","Emoji",65539,0.8347749575919191
"Abend","Keyword",65434,0.8334375650386736
"#coronavirus","Hashtag",64668,0.8236809679359499
"steht","Keyword",64361,0.819770686851699
"smiling face with open mouth and cold sweat","Emoji",63068,0.8033016528388768
"paar","Keyword",61899,0.7884120157460779
"wissen","Keyword",61636,0.7850621658269965
"bleibt","Keyword",61320,0.7810372510953245
"thinking face","Emoji",60808,0.774515870264261
"Frau","Keyword",59174,0.7537034947213752
"Thema","Keyword",58841,0.749462049766797
"Dankeschön","Keyword",57145,0.7278599757638995
"Oh","Keyword",57075,0.7269683807284026
"Krise","Keyword",56834,0.7238987463919059
"Arbeit","Keyword",56212,0.7159762876479188
"bleiben","Keyword",55708,0.7095568033923407
"bekommen","Keyword",55156,0.7025259396838506
"Kinder","Keyword",55064,0.7013541290657689
"gestern","Keyword",53067,0.6759181964102347
"fast","Keyword",52537,0.6691675482843291
"sogar","Keyword",52177,0.6645822023874877
"Fall","Keyword",51849,0.6604044427925878
"Glückwunsch","Keyword",51104,0.6509153242005131
"Problem","Keyword",50017,0.6370701270064392
