"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423395]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Corona","Keyword",126037,3.9278730111241478
"einfach","Keyword",89026,2.7744457793214568
"Coronavirus","Keyword",72742,2.266963975461117
"face with tears of joy","Emoji",60440,1.883578987062081
"smiling face with smiling eyes","Emoji",58530,1.8240548992843084
"#corona","Hashtag",49917,1.555635544294803
"#coronavirus","Hashtag",48169,1.5011600964227894
"Leute","Keyword",48147,1.5004744786578097
"face throwing a kiss","Emoji",47665,1.4854532167159844
"halt","Keyword",46399,1.445999030785796
"Deutschland","Keyword",44673,1.3922092006787616
"gerne","Keyword",44191,1.3771879387369363
"four leaf clover","Emoji",43336,1.3505423392343208
"schönen","Keyword",43161,1.345088561558347
"winking face","Emoji",41825,1.3034528645577688
"leider","Keyword",41295,1.2869357093105334
"eigentlich","Keyword",40563,1.264123336403031
"wünsche","Keyword",40257,1.2545870165810424
"thumbs up sign","Emoji",38719,1.2066561019201971
"Leben","Keyword",37597,1.1716895959062386
"finde","Keyword",37326,1.1632440316194448
"weiß","Keyword",37234,1.1603769027840756
"ne","Keyword",37181,1.158725187259352
"Welt","Keyword",36756,1.145480298617701
"sagen","Keyword",36454,1.1360686365711632
"Krise","Keyword",36169,1.1271867700702913
"hot beverage","Emoji",34640,1.0795363354042107
"lassen","Keyword",34198,1.0657616512168935
"sehen","Keyword",33335,1.0388667361633765
"Frage","Keyword",32699,1.019046149866694
"smiling face with heart-shaped eyes","Emoji",31490,0.9813683372366799
"unrecognised_emoji","Emoji",31416,0.9790621683908395
"hugging face","Emoji",30522,0.9512011555775783
"bleibt","Keyword",30001,0.9349644803251074
"bleiben","Keyword",29168,0.9090044985874716
"Berlin","Keyword",28748,0.8959154321651341
"Glück","Keyword",28410,0.8853818501395389
"klar","Keyword",27815,0.8668390060412274
"sieht","Keyword",27355,0.8525033618643816
"#covid19","Hashtag",27039,0.8426553976037658
"Zeiten","Keyword",26601,0.8290053711918998
"Wochen","Keyword",26448,0.8242372112809053
"paar","Keyword",26356,0.8213700824455362
"eher","Keyword",26211,0.8168512380854436
"Nacht","Keyword",26172,0.8156358247747979
"wissen","Keyword",25742,0.8022351139138335
"Arbeit","Keyword",25624,0.7985577095380338
"Kinder","Keyword",25357,0.7902368030266909
"smiling face with open mouth and cold sweat","Emoji",25203,0.7854374786718337
"steht","Keyword",24765,0.7717874522599676
"AfD","Keyword",24643,0.7679853901087171
"grinning face with smiling eyes","Emoji",24507,0.7637470257433889
"thinking face","Emoji",24446,0.7618459946677637
"Frau","Keyword",24117,0.7515928926369326
"gestern","Keyword",24029,0.7488504215770144
"arbeiten","Keyword",23359,0.7279702441889999
"Oh","Keyword",23289,0.7257887331186103
"gesund","Keyword",23285,0.7256640753431595
"Thema","Keyword",23214,0.7234513998289072
"Dankeschön","Keyword",22430,0.699018475840544
