"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423398]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"Co","Keyword",1073973,29.657292259804414
"einfach","Keyword",117688,3.249902382529041
"tut","Keyword",103887,2.86879383466279
"face with tears of joy","Emoji",65838,1.818087426593595
"halt","Keyword",61779,1.7059999259929781
"Danke","Keyword",60934,1.68266562246809
"bitte","Keyword",57988,1.6013131275754031
"Leben","Keyword",57275,1.5816239460212667
"eigentlich","Keyword",55894,1.5434882381302955
"finde","Keyword",53543,1.4785664066663757
"Deutschland","Keyword",52889,1.4605064841749238
"tut mir leid","Phrase",51845,1.4316768831335236
"weiß","Keyword",51524,1.4228126092501046
"müde","Keyword",51333,1.4175382282166682
"echt","Keyword",50864,1.4045869993963458
"gerne","Keyword",47911,1.3230412025809672
"genau","Keyword",46423,1.2819507367288565
"Leute","Keyword",46132,1.273914899656972
"AfD","Keyword",45754,1.2634765958316374
"liebe","Keyword",45706,1.2621510969331822
"sagen","Keyword",45111,1.2457204335044147
"lassen","Keyword",43075,1.1894971885616072
"ne","Keyword",41766,1.153349729018319
"sehen","Keyword",41685,1.151112949627176
"CDU","Keyword",41078,1.1343509114737946
"winking face","Emoji",39250,1.0838714950909596
"Frau","Keyword",38281,1.0571129860783954
"eher","Keyword",37283,1.0295536548146813
"Guten","Keyword",36638,1.01174226336669
"fast","Keyword",36565,1.0097264004586226
"SPD","Keyword",36081,0.9963609532325328
"klar","Keyword",35770,0.9877728249529587
"Frage","Keyword",34902,0.9638033865392273
"Problem","Keyword",34733,0.9591365258342496
"Berlin","Keyword",34729,0.9590260675927118
"steht","Keyword",34619,0.9559884659504186
"oh","Keyword",32508,0.897694128978775
"Fall","Keyword",31973,0.8829203391730764
"Thema","Keyword",31814,0.8785296240719437
"Geld","Keyword",31267,0.8634244595416315
"paar","Keyword",30896,0.8531794576389883
"letzten","Keyword",30729,0.8485678260547795
"geben","Keyword",30165,0.8329932139979311
"glaube","Keyword",30116,0.8316401005390914
"thinking face","Emoji",28987,0.80046326186501
"enttäuscht","Keyword",28847,0.7965972234111826
"irgendwie","Keyword",28340,0.7825966412962496
"bekommen","Keyword",27859,0.7693140377513132
"gestern","Keyword",27780,0.7671324874809391
"sowas","Keyword",26834,0.7410091133572181
"smiling face with open mouth and cold sweat","Emoji",26695,0.737170689463775
"sogar","Keyword",26346,0.7275332078895903
"smiling face with smiling eyes","Emoji",26341,0.727395135087668
"face with rolling eyes","Emoji",25757,0.7112682318231298
"schnell","Keyword",25130,0.693953902462059
"gesehen","Keyword",24995,0.6902259368101538
"Arbeit","Keyword",24970,0.6895355728005417
"finden","Keyword",24867,0.6866912730809399
"hoffe","Keyword",24852,0.6862770546751727
"Frauen","Keyword",24299,0.6710062027825535
