"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423398]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"einfach","Keyword",11979,3.35393083830072
"tut","Keyword",9652,2.7024075842122506
"CDU","Keyword",8280,2.318269249614322
"AfD","Keyword",7060,1.976688514767767
"face with tears of joy","Emoji",6263,1.7535411002819439
"halt","Keyword",6239,1.7468214792685695
"Danke","Keyword",6104,1.7090236110683357
"FDP","Keyword",6019,1.6852249533126331
"eigentlich","Keyword",5682,1.5908702749164945
"Leben","Keyword",5517,1.5446728804495427
"bitte","Keyword",5454,1.5270338752894337
"finde","Keyword",5339,1.4948356912670124
"Deutschland","Keyword",5142,1.4396788021155607
"weiß","Keyword",5096,1.4267995285065922
"echt","Keyword",4908,1.374162497235156
"müde","Keyword",4823,1.3503638394794535
"genau","Keyword",4797,1.3430842500482973
"gerne","Keyword",4776,1.3372045816615943
"Welt","Keyword",4731,1.3246052922615164
"tut mir leid","Phrase",4595,1.2865274398523923
"lassen","Keyword",4593,1.2859674714346112
"sagen","Keyword",4546,1.272808213616752
"Leute","Keyword",4436,1.242009950638784
"sehen","Keyword",4214,1.1798534562650667
"Liebe","Keyword",4115,1.1521350195848954
"ne","Keyword",4041,1.1314161881269897
"klar","Keyword",3859,1.0804590621088972
"winking face","Emoji",3802,1.0644999622021318
"eher","Keyword",3769,1.0552604833087413
"Frau","Keyword",3739,1.0468609570420229
"Frage","Keyword",3683,1.031181841344148
"fast","Keyword",3604,1.0090630888417893
"steht","Keyword",3603,1.0087831046328988
"Kinder","Keyword",3544,0.9922640363083521
"Problem","Keyword",3391,0.9494264523480875
"Berlin","Keyword",3374,0.944666720796947
"SPD","Keyword",3339,0.9348672734857754
"Thema","Keyword",3237,0.9063088841789323
"geben","Keyword",3133,0.8771905264543081
"letzten","Keyword",3100,0.8679510475609175
"glaube","Keyword",3080,0.8623513633831051
"paar","Keyword",2945,0.8245534951828717
"enttäuscht","Keyword",2921,0.8178338741694968
"wissen","Keyword",2919,0.8172739057517155
"smiling face with open mouth and cold sweat","Emoji",2864,0.8018747742627316
"Partei","Keyword",2852,0.7985149637560442
"sicher","Keyword",2841,0.7954351374582472
"Geld","Keyword",2830,0.7923553111604505
"irgendwie","Keyword",2806,0.7856356901470758
"bekommen","Keyword",2779,0.778076116507029
"thinking face","Emoji",2709,0.7584772218846857
"bleibt","Keyword",2687,0.7523175692890921
"sogar","Keyword",2659,0.7444780114401548
"Spiel","Keyword",2598,0.7273989746978271
"nix","Keyword",2582,0.7229192273555771
"gesehen","Keyword",2503,0.7008004748532183
"Deutsche","Keyword",2489,0.6968806959287496
"Land","Keyword",2486,0.6960407433020778
"lässt","Keyword",2472,0.6921209643776091
"face with rolling eyes","Emoji",2466,0.6904410591242653
