"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423398]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Corona","Keyword",18967,4.100644921379263
"einfach","Keyword",15484,3.347624081965335
"tut","Keyword",13915,3.008407976010568
"Danke","Keyword",8859,1.9153062349606627
"bitte","Keyword",8393,1.8145575380996548
"Leute","Keyword",8278,1.7896946622648564
"halt","Keyword",8223,1.777803721648214
"Deutschland","Keyword",7873,1.7021340995423069
"Leben","Keyword",7615,1.6463547781042382
"face with tears of joy","Emoji",7369,1.5931698437098005
"eigentlich","Keyword",7180,1.5523082477726107
"#corona","Hashtag",7102,1.5354447319890085
"finde","Keyword",6771,1.4638828893688505
"weiß","Keyword",6755,1.4604237066440091
"echt","Keyword",6735,1.4560997282379573
"#coronavirus","Hashtag",6728,1.4545863357958388
"genau","Keyword",6243,1.3497298594490819
"Krise","Keyword",6157,1.331136752303059
"tut mir leid","Phrase",6113,1.321623999809745
"lassen","Keyword",6064,1.311030252714918
"gerne","Keyword",5946,1.285518780119212
"Kinder","Keyword",5865,1.2680066675747022
"sagen","Keyword",5787,1.2511431517910998
"sehen","Keyword",5644,1.2202267061878294
"Liebe","Keyword",5454,1.1791489113303368
"ne","Keyword",5296,1.1449894819225273
"Wochen","Keyword",5102,1.1030468913838245
"aktuell","Keyword",5094,1.1013173000214036
"klar","Keyword",5011,1.0833727896362886
"Virus","Keyword",4756,1.0282420649591275
"müde","Keyword",4754,1.0278096671185224
"Frage","Keyword",4656,1.0066221729288682
"bleiben","Keyword",4620,0.9988390117979751
"winking face","Emoji",4575,0.9891100603843584
"eher","Keyword",4525,0.9783001143692288
"Problem","Keyword",4474,0.9672739694337967
"Frau","Keyword",4445,0.9610042007450215
"fast","Keyword",4429,0.9575450180201801
"paar","Keyword",4417,0.9549506309765489
"Guten","Keyword",4368,0.9443568838817218
"geben","Keyword",4306,0.9309525508229612
"bekommen","Keyword",4299,0.9294391583808431
"steht","Keyword",4249,0.9186292123657135
"bleibt","Keyword",4248,0.9184130134454108
"Berlin","Keyword",4200,0.9080354652708865
"glaube","Keyword",4161,0.8996037073790853
"Geld","Keyword",4156,0.8985227127775725
"gestern","Keyword",4155,0.8983065138572699
"Arbeit","Keyword",4035,0.8723626434209588
"Fall","Keyword",4007,0.8663090736524862
"sicher","Keyword",4006,0.8660928747321837
"#covid19","Hashtag",3963,0.8567963211591721
"arbeiten","Keyword",3949,0.8537695362749358
"Oh","Keyword",3817,0.8252312787949937
"EU","Keyword",3800,0.8215558971498496
"Zeiten","Keyword",3726,0.8055571770474578
"irgendwie","Keyword",3716,0.8033951878444319
"Situation","Keyword",3673,0.7940986342714205
"smiling face with open mouth and cold sweat","Emoji",3633,0.7854506774593168
"Hause","Keyword",3600,0.7783161130893312
