"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423396]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"Danke","Keyword",1362626,2.381776988474034
"face with tears of joy","Emoji",1284933,2.2459749418629222
"einfach","Keyword",1197822,2.0937108758294243
"Guten","Keyword",1108445,1.937485996883298
"smiling face with smiling eyes","Emoji",791864,1.384124076012789
"winking face","Emoji",722032,1.2620625193867459
"bitte","Keyword",684761,1.1969153622523483
"liebe","Keyword",680257,1.1890426785107442
"Deutschland","Keyword",665713,1.163620761917074
"halt","Keyword",649748,1.1357150345781064
"Berlin","Keyword",623821,1.0903964130486725
"eigentlich","Keyword",605570,1.0584949141658981
"face throwing a kiss","Emoji",597729,1.0447893828120085
"leider","Keyword",580363,1.0144348033589232
"ne","Keyword",576170,1.007105726332159
"gerne","Keyword",569730,0.9958490470923875
"weiß","Keyword",545496,0.9534896736922911
"genau","Keyword",540135,0.9441190126046491
"smiling face with heart-shaped eyes","Emoji",528791,0.9242904769996853
"thinking face","Emoji",497815,0.8701465490290083
"AfD","Keyword",493165,0.8620186672797945
"thumbs up sign","Emoji",489410,0.8554551842758594
"Leben","Keyword",482989,0.8442317157357083
"sehen","Keyword",482113,0.84270052769005
"sagen","Keyword",476597,0.8330589372107675
"echt","Keyword",454931,0.7951882520541079
"grinning face with smiling eyes","Emoji",449960,0.7864992842744646
"Leute","Keyword",445028,0.7778784858256209
"Frage","Keyword",442333,0.7731678102741949
"finde","Keyword",434492,0.7594622789203055
"steht","Keyword",434287,0.7591039529507164
"schönen","Keyword",427915,0.747966133056955
"wünsche","Keyword",422107,0.7378141465624531
"sieht","Keyword",419539,0.7333254583190163
"Minuten","Keyword",412835,0.7216073251476767
"lassen","Keyword",405704,0.7091428252006564
"CDU","Keyword",405520,0.7088212057938058
"smiling face with open mouth and cold sweat","Emoji",404255,0.7066100723717079
"Abend","Keyword",387444,0.6772255949338511
"Oh","Keyword",383757,0.6707809712759261
"hugging face","Emoji",382161,0.6679912725078089
"Nacht","Keyword",363443,0.6352734895869949
"Thema","Keyword",361955,0.6326725674272464
"Frau","Keyword",357226,0.624406599084874
"unrecognised_emoji","Emoji",351088,0.6136777951759116
"paar","Keyword",332885,0.5818601970079676
"glaube","Keyword",324130,0.5665570562091791
"rolling on the floor laughing","Emoji",319100,0.5577649604675563
"face with rolling eyes","Emoji",317621,0.5551797696918387
"four leaf clover","Emoji",310276,0.5423412123911987
"bekommen","Keyword",309206,0.5404709256231001
"Problem","Keyword",309079,0.5402489383151107
"Kinder","Keyword",307883,0.5381584121705817
"smiling face with sunglasses","Emoji",305548,0.5340769919803852
"Spaß","Keyword",302522,0.5287877510829397
"geben","Keyword",299993,0.5243672321703028
"gestern","Keyword",297648,0.5202683326645164
"Geld","Keyword",296880,0.5189259212272269
"Fall","Keyword",293834,0.5136017216986022
"see-no-evil monkey","Emoji",293319,0.5127015369457322
