"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423396]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Danke","Keyword",126909,2.3353261017577926
"einfach","Keyword",122199,2.2486546604945317
"face with tears of joy","Emoji",122092,2.246685691446725
"Guten","Keyword",99406,1.82922745015196
"CDU","Keyword",74792,1.3762909628369053
"AfD","Keyword",71274,1.3115542047978073
"smiling face with smiling eyes","Emoji",69094,1.271438760646234
"winking face","Emoji",68571,1.2618147343658337
"bitte","Keyword",66817,1.2295383632457146
"halt","Keyword",65634,1.2077692942405263
"Deutschland","Keyword",64258,1.1824487203173315
"liebe","Keyword",61661,1.1346598173532787
"eigentlich","Keyword",60130,1.1064869985477475
"FDP","Keyword",56942,1.0478227618710432
"ne","Keyword",55934,1.0292739693459123
"leider","Keyword",55876,1.0282066777125216
"Berlin","Keyword",55517,1.0216005105334323
"gerne","Keyword",54936,1.0109091926196416
"genau","Keyword",54829,1.008940223571835
"weiß","Keyword",54267,0.998598535675879
"Minuten","Keyword",53143,0.977915159883967
"Welt","Keyword",51098,0.9402839290170097
"face throwing a kiss","Emoji",51002,0.9385173773479496
"sagen","Keyword",49034,0.9023030681322175
"thumbs up sign","Emoji",47348,0.8712780044443496
"sehen","Keyword",47028,0.865389498880816
"Frage","Keyword",45865,0.8439884614733483
"thinking face","Emoji",45643,0.8399033107386468
"leben","Keyword",44615,0.8209864866157948
"smiling face with heart-shaped eyes","Emoji",44266,0.8145643352355659
"grinning face with smiling eyes","Emoji",43889,0.8076269396185279
"Leute","Keyword",43734,0.8047746947361912
"echt","Keyword",43482,0.8001374966049085
"steht","Keyword",43433,0.7992358191904924
"smiling face with open mouth and cold sweat","Emoji",41970,0.772314307817212
"lassen","Keyword",41321,0.7603716824711703
"klar","Keyword",40923,0.7530478536765253
"sieht","Keyword",39838,0.7330821395001689
"eher","Keyword",37590,0.6917153879163449
"Frau","Keyword",36514,0.671915287958963
"Abend","Keyword",36088,0.6640762149275089
"#ibes","Hashtag",35535,0.6539001412505272
"wünsche","Keyword",34896,0.6421415317033459
"hugging face","Emoji",34673,0.6380379793887584
"unrecognised_emoji","Emoji",34653,0.6376699477910376
"Oh","Keyword",34334,0.63179984380739
"four leaf clover","Emoji",33849,0.6228750775626593
"Nacht","Keyword",32957,0.6064608683043091
"sicher","Keyword",32744,0.602541331788582
"wissen","Keyword",32667,0.6011244101373567
"fast","Keyword",32589,0.5996890869062454
"rolling on the floor laughing","Emoji",32143,0.5914819822770704
"hot beverage","Emoji",32056,0.5898810448269847
"glaube","Keyword",32037,0.5895314148091498
"SPD","Keyword",31339,0.576687112048692
"face with rolling eyes","Emoji",31281,0.5756198204153016
"paar","Keyword",30845,0.5675967315849869
"stimmt","Keyword",30186,0.5554700904400849
"geben","Keyword",29992,0.5519001839421925
"Fall","Keyword",29818,0.5486983090420211
