"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423396]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Wed Apr 15 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Danke","Keyword",427387,2.481897393359369
"einfach","Keyword",396988,2.3053660555771454
"Corona","Keyword",395331,2.2957436197501395
"face with tears of joy","Emoji",372325,2.1621444896136923
"Guten","Keyword",303201,1.760731542054284
"Coronavirus","Keyword",242102,1.4059209164693593
"Bitte","Keyword",235250,1.3661303731460988
"Deutschland","Keyword",222730,1.293424943722978
"halt","Keyword",213030,1.2370956573488348
"winking face","Emoji",212293,1.2328157930129848
"smiling face with smiling eyes","Emoji",209027,1.2138496642193817
"eigentlich","Keyword",194375,1.1287634060798
"liebe","Keyword",193774,1.1252733131817731
"leider","Keyword",184161,1.0694492482421198
"ne","Keyword",180857,1.0502624480173601
"weiß","Keyword",176438,1.0246006834310366
"genau","Keyword",175139,1.0170572047712414
"gerne","Keyword",173957,1.0101931618336912
"AfD","Keyword",171050,0.9933117973502239
"Leute","Keyword",169441,0.9839681043836264
"Welt","Keyword",166291,0.9656756041693427
"Berlin","Keyword",158539,0.9206586322134298
"face throwing a kiss","Emoji",157192,0.9128364106932265
"CDU","Keyword",155554,0.9033243105817992
"sagen","Keyword",153868,0.8935334676099634
"Minuten","Keyword",153606,0.892011996163569
"Leben","Keyword",153277,0.8901014461411884
"thumbs up sign","Emoji",148596,0.8629182101084704
"Frage","Keyword",147724,0.8578543814777227
"sehen","Keyword",146929,0.8532377028522131
"thinking face","Emoji",146668,0.851722038548744
"#coronavirus","Hashtag",143392,0.8326978383258891
"echt","Keyword",141144,0.8196433810301081
"#corona","Hashtag",140320,0.8148582952597686
"finde","Keyword",139274,0.8087840237600414
"smiling face with heart-shaped eyes","Emoji",138818,0.8061359665861643
"lassen","Keyword",133760,0.7767634376706574
"grinning face with smiling eyes","Emoji",133721,0.7765369590965758
"smiling face with open mouth and cold sweat","Emoji",133101,0.7729365304829707
"klar","Keyword",131240,0.7621294374992306
"steht","Keyword",130756,0.7593187803234486
"sieht","Keyword",129564,0.7523966659566467
"eher","Keyword",119263,0.6925772866844768
"four leaf clover","Emoji",117344,0.6814333794110767
"wünsche","Keyword",116016,0.6737214936064517
"schönen","Keyword",113778,0.6607251077399227
"Oh","Keyword",111820,0.649354721892441
"unrecognised_emoji","Emoji",110589,0.6422061289515575
"Frau","Keyword",109979,0.6386637717672042
"sicher","Keyword",109058,0.6333153931331232
"wissen","Keyword",107547,0.6245408001731922
"paar","Keyword",107169,0.6223457001474783
"glaube","Keyword",105647,0.6135072286153704
"fast","Keyword",103535,0.6012425427574126
"rolling on the floor laughing","Emoji",103060,0.5984841498679572
"bleibt","Keyword",103002,0.5981473355782974
"hugging face","Emoji",102914,0.5976363070008824
"bekommen","Keyword",102575,0.59566768554925
"Thema","Keyword",102527,0.5953889426888419
"Abend","Keyword",102265,0.5938674712424475
