"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423396]"
"Start Date","Wed Feb 26 23:00:00 UTC 2020"
"End Date","Wed Apr 01 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Corona","Keyword",268577,3.817308927753161
"Danke","Keyword",182436,2.59297918862589
"Coronavirus","Keyword",173366,2.4640664672285952
"einfach","Keyword",162803,2.313933603268328
"face with tears of joy","Emoji",145728,2.0712451007480635
"Guten","Keyword",117121,1.6646512505813154
"bitte","Keyword",107537,1.5284330012018588
"#coronavirus","Hashtag",105657,1.5017123930180756
"Deutschland","Keyword",100453,1.4277474754710502
"#corona","Hashtag",99397,1.4127384530018614
"halt","Keyword",87351,1.2415275773732164
"winking face","Emoji",83601,1.1882284919002446
"Leute","Keyword",81353,1.1562774667953806
"smiling face with smiling eyes","Emoji",81285,1.1553109767121372
"eigentlich","Keyword",81188,1.1539323070345697
"liebe","Keyword",77893,1.1071001772656517
"leider","Keyword",77622,1.1032484300221383
"ne","Keyword",74240,1.0551797614702474
"weiß","Keyword",71749,1.0197749556267348
"Krise","Keyword",71517,1.0164775188721402
"Welt","Keyword",70412,1.0007720550194377
"genau","Keyword",70112,0.9965081281816
"Leben","Keyword",65722,0.9341126654545744
"Berlin","Keyword",63328,0.9000865292886292
"sagen","Keyword",62262,0.8849353759248456
"face throwing a kiss","Emoji",61710,0.8770897505432242
"Minuten","Keyword",61274,0.8708928435389001
"Frage","Keyword",60053,0.8535386613089004
"thumbs up sign","Emoji",60043,0.8533965304143059
"sehen","Keyword",59452,0.8449965945437655
"thinking face","Emoji",59326,0.8432057452718738
"echt","Keyword",58521,0.8317642082570089
"lassen","Keyword",56390,0.8014761146189017
"#covid19","Hashtag",55653,0.7910010676872801
"finde","Keyword",55391,0.787277238248902
"klar","Keyword",53977,0.7671799297532266
"smiling face with heart-shaped eyes","Emoji",53473,0.7600165326656593
"smiling face with open mouth and cold sweat","Emoji",52639,0.7481628160564703
"sieht","Keyword",51651,0.7341202836705246
"steht","Keyword",51583,0.7331537935872814
"four leaf clover","Emoji",51341,0.7297142259380923
"grinning face with smiling eyes","Emoji",51108,0.7264025760940384
"bleibt","Keyword",50062,0.7115356845194442
"Wochen","Keyword",49906,0.7093184425637684
"AfD","Keyword",49664,0.7058788749145793
"bleiben","Keyword",49189,0.6991276574213362
"eher","Keyword",47871,0.6803948055137691
"Oh","Keyword",45895,0.6523097407418778
"Zeiten","Keyword",45846,0.6516132993583643
"paar","Keyword",45652,0.6488559600032292
"bekommen","Keyword",45623,0.6484437804089049
"wünsche","Keyword",45623,0.6484437804089049
"wissen","Keyword",45584,0.647889469919986
"gestern","Keyword",44693,0.6352256072116079
"unrecognised_emoji","Emoji",44111,0.6269535891462026
"Frau","Keyword",43627,0.6200744538478244
"glaube","Keyword",43598,0.6196622742535001
"fast","Keyword",42668,0.606444101056203
"aktuell","Keyword",42658,0.6063019701616085
"face with rolling eyes","Emoji",42580,0.6051933491837707
