"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"Salvini","Keyword",121249,2.5819303841944095
"face with tears of joy","Emoji",120795,2.5722627053317035
"sto","Keyword",111965,2.3842327397861185
"Italia","Keyword",111693,2.378440650247229
"fanno","Keyword",96969,2.0649012150611363
"gente","Keyword",85799,1.8270422439236293
"cose","Keyword",78952,1.6812391664501731
"so","Keyword",77098,1.6417592620196504
"comunque","Keyword",71783,1.5285792770961188
"PD","Keyword",65205,1.38850440582105
"abbiamo","Keyword",62066,1.3216611372086386
"donne","Keyword",61332,1.3060310132323691
"Roma","Keyword",60856,1.2958948565393118
"davvero","Keyword",59471,1.2664020476740077
"italiani","Keyword",59217,1.2609932581781325
"vero","Keyword",58409,1.2437873451361354
"vedere","Keyword",53960,1.1490483511709817
"vuole","Keyword",52985,1.128286265507681
"persona","Keyword",49695,1.0582275354233122
"modo","Keyword",48792,1.0389986499320707
"politica","Keyword",48401,1.0306725212199161
"far","Keyword",47765,1.017129253033394
"allora","Keyword",46640,0.99317300034497
"storia","Keyword",46397,0.9879984497642704
"faccia","Keyword",45959,0.9786714820509107
"lega","Keyword",45186,0.9622108746481093
"credo","Keyword",45009,0.9584417575584638
"foto","Keyword",44862,0.9553114738738431
"sembra","Keyword",44737,0.9526496680195738
"merda","Keyword",44678,0.9513932956563588
"de","Keyword",44364,0.9447068393504341
"volte","Keyword",44315,0.9436634114555605
"donna","Keyword",44314,0.9436421170087264
"stanno","Keyword",44097,0.9390212220457149
"andare","Keyword",43952,0.9359335272547625
"sa","Keyword",43524,0.9268195040097442
"ce","Keyword",43338,0.9228587368985917
"voglio","Keyword",43276,0.9215384811948739
"fate","Keyword",42948,0.9145539026332713
"viene","Keyword",42488,0.9047584570895603
"fosse","Keyword",41988,0.894111233672483
"Eh","Keyword",40960,0.872220542326972
"veramente","Keyword",40812,0.8690689641955172
"problema","Keyword",40672,0.8660877416387355
"qualcosa","Keyword",40655,0.8657257360425549
"capito","Keyword",38662,0.8232859035020847
"sinistra","Keyword",38080,0.8108925354446067
"faccio","Keyword",37707,0.8029497067754672
"Napoli","Keyword",37602,0.8007137898578808
"posso","Keyword",36950,0.786829810522012
"capire","Keyword",36267,0.7722857033342845
"paura","Keyword",36053,0.7677286917117754
"penso","Keyword",36049,0.7676435139244389
"rolling on the floor laughing","Emoji",35916,0.7648113524954963
"testa","Keyword",35843,0.7632568578766029
"vedo","Keyword",35594,0.7579545406148984
"parla","Keyword",35445,0.7547816680366094
"buona","Keyword",35210,0.7497774730305831
"dico","Keyword",35115,0.7477545005813384
"punto","Keyword",35000,0.7453056391954106
