"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"#sanremo2020","Hashtag",13228,3.0569491979783647
"sto","Keyword",12328,2.8489620284757544
"face with tears of joy","Emoji",11831,2.7341068915393127
"Italia","Keyword",9380,2.1676884999272046
"Salvini","Keyword",8966,2.072014401956004
"fanno","Keyword",8761,2.024639546680409
"gente","Keyword",7819,1.8069463092676774
"#gfvip","Hashtag",7699,1.779214686667329
"Comunque","Keyword",7430,1.7170496326715488
"cose","Keyword",7366,1.7022594339513635
"so","Keyword",7189,1.66135529061585
"cazzo","Keyword",6992,1.6158292101802787
"donne","Keyword",6924,1.6001146240400814
"abbiamo","Keyword",6019,1.3909719702624568
"davvero","Keyword",5771,1.3336599502217374
"vero","Keyword",5381,1.2435321767706062
"vedere","Keyword",4924,1.137920914034281
"persona","Keyword",4869,1.1252105870091214
"sento","Keyword",4730,1.0930881241637183
"italiani","Keyword",4576,1.0574992084932715
"modo","Keyword",4538,1.0487175280031613
"Sanremo","Keyword",4526,1.0459443657431267
"Roma","Keyword",4524,1.0454821720331207
"far","Keyword",4451,1.028612101617909
"vuole","Keyword",4413,1.0198304211277989
"sembra","Keyword",4406,1.0182127431427785
"allora","Keyword",4312,0.996489638772506
"faccia","Keyword",4298,0.9932542828024653
"donna","Keyword",4188,0.9678336287521463
"parole","Keyword",4184,0.9669092413321346
"credo","Keyword",4169,0.9634427885070912
"merda","Keyword",4149,0.9588208514070332
"fosse","Keyword",4129,0.9541989143069751
"sa","Keyword",4116,0.9511946551919375
"voglio","Keyword",4082,0.9433373621218389
"ce","Keyword",4070,0.940564199861804
"eh","Keyword",4070,0.940564199861804
"volte","Keyword",4068,0.9401020061517983
"andare","Keyword",4064,0.9391776187317867
"parlare","Keyword",4058,0.9377910376017693
"video","Keyword",4048,0.9354800690517404
"stanno","Keyword",4038,0.9331691005017113
"viene","Keyword",4020,0.9290093571116591
"rolling on the floor laughing","Emoji",3986,0.9211520640415605
"politica","Keyword",3978,0.9193032892015374
"capito","Keyword",3815,0.8816345018360644
"qualcosa","Keyword",3738,0.8638400440008412
"almeno","Keyword",3737,0.8636089471458382
"sinistra","Keyword",3699,0.8548272666557281
"de","Keyword",3590,0.829637709460412
"faccio","Keyword",3566,0.8240913849403423
"problema","Keyword",3541,0.8183139635652698
"penso","Keyword",3529,0.815540801305235
"vedo","Keyword",3507,0.8104566704951712
"posso","Keyword",3442,0.7954353749199828
"paura","Keyword",3422,0.7908134378199247
"tweet","Keyword",3418,0.7898890503999131
"capire","Keyword",3297,0.7619263309445622
"bella","Keyword",3221,0.7443629699643417
"punto","Keyword",3194,0.7381233548792635
