"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Fri Feb 21 23:00:00 UTC 2020"
"End Date","Fri Mar 27 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"coronavirus","Keyword",36148,6.530296652653904
"virus","Keyword",18754,3.3879933446904755
"#coronavirus","Hashtag",18551,3.3513204936201886
"sto","Keyword",16672,3.0118708031715693
"Italia","Keyword",16486,2.97826907756037
"gente","Keyword",15880,2.8687924876658184
"face with tears of joy","Emoji",13405,2.4216727517103456
"fanno","Keyword",12116,2.1888091801359604
"cazzo","Keyword",10584,1.9120465799404924
"so","Keyword",10333,1.8667023158092506
"cose","Keyword",10120,1.8282229203512645
"comunque","Keyword",9829,1.7756524786692274
"abbiamo","Keyword",9360,1.6909255468861497
"stanno","Keyword",8936,1.6143280648477174
"momento","Keyword",8885,1.605114688470453
"#gfvip","Hashtag",8741,1.5791004492875893
"stare","Keyword",7866,1.4210278153639373
"italiani","Keyword",7692,1.389593943017977
"davvero","Keyword",7588,1.3708058813859085
"vero","Keyword",7250,1.3097446810816866
"quarantena","Keyword",7080,1.2790334264908056
"vedere","Keyword",6931,1.2521159151140924
"situazione","Keyword",6855,1.2383861777675809
"#amici19","Hashtag",6853,1.238024868890041
"ce","Keyword",6614,1.194848458024038
"andare","Keyword",6610,1.1941258402689583
"Conte","Keyword",6573,1.1874416260344725
"paura","Keyword",6471,1.169014873279944
"video","Keyword",6402,1.1565497170048216
"far","Keyword",6278,1.1341485665973556
"fosse","Keyword",6203,1.120599483689614
"fai","Keyword",6160,1.1128313428225087
"sembra","Keyword",6097,1.1014501131800059
"capito","Keyword",6070,1.096572443333219
"modo","Keyword",6053,1.0935013178741309
"sento","Keyword",5902,1.0662224976198778
"persona","Keyword",5892,1.0644159532321789
"vuole","Keyword",5834,1.0539379957835253
"Salvini","Keyword",5762,1.0409308761920935
"emergenza","Keyword",5712,1.0318981542535992
"facendo","Keyword",5706,1.0308142276209797
"allora","Keyword",5679,1.0259365577741928
"#covid19","Hashtag",5592,1.0102196216012125
"almeno","Keyword",5534,0.9997416641525589
"merda","Keyword",5514,0.9961285753771613
"eh","Keyword",5508,0.9950446487445419
"veramente","Keyword",5439,0.9825794924694197
"faccia","Keyword",5309,0.9590944154293343
"senso","Keyword",5214,0.941932243746195
"Spero","Keyword",5148,0.9300090507873824
"problema","Keyword",5143,0.9291057785935329
"voglio","Keyword",5132,0.9271185797670641
"capire","Keyword",5131,0.9269379253282942
"qualcosa","Keyword",5039,0.9103177169614646
"volte","Keyword",4960,0.8960460162986436
"viene","Keyword",4950,0.8942394719109447
"vedo","Keyword",4850,0.8761740280339557
"parole","Keyword",4843,0.8749094469625666
"penso","Keyword",4756,0.8591925107895865
"tweet","Keyword",4590,0.8292038739537849
