"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"face with tears of joy","Emoji",36388,2.4264037106879655
"Italia","Keyword",33488,2.233027576770325
"Salvini","Keyword",32595,2.1734810638087896
"sto","Keyword",31364,2.091396229032026
"so","Keyword",30599,2.040384938533062
"cose","Keyword",26745,1.7833947246990667
"comunque","Keyword",24417,1.6281603661610435
"fanno","Keyword",24415,1.6280270033100661
"davvero","Keyword",23533,1.5692139860289076
"gente","Keyword",22963,1.531205573500268
"storia","Keyword",22726,1.5154020756594127
"vedere","Keyword",20483,1.365835638287941
"abbiamo","Keyword",20463,1.3645020097781644
"vero","Keyword",18156,1.2106679611754068
"Roma","Keyword",17035,1.1359180832024154
"PD","Keyword",16862,1.1243821965928458
"qualcosa","Keyword",16530,1.1022439633305505
"foto","Keyword",15739,1.0494989557688768
"volte","Keyword",15371,1.0249601911889832
"persona","Keyword",15314,1.0211593499361193
"video","Keyword",15266,1.017958641512655
"cazzo","Keyword",15246,1.016625013002878
"devo","Keyword",14983,0.9990877980993126
"credo","Keyword",14978,0.9987543909718684
"modo","Keyword",14939,0.9961538153778036
"sembra","Keyword",14914,0.9944867797405825
"momento","Keyword",14359,0.9574785885942756
"domani","Keyword",14262,0.9510104903218578
"far","Keyword",14157,0.9440089406455295
"politica","Keyword",14119,0.9414750464769535
"viene","Keyword",14021,0.9349402667790471
"fosse","Keyword",13900,0.9268718142948973
"voglio","Keyword",13862,0.9243379201263212
"sento","Keyword",13505,0.9005326512268048
"vuole","Keyword",13423,0.8950647743367198
"problema","Keyword",13394,0.8931310129975435
"penso","Keyword",13238,0.8827287106212842
"ce","Keyword",12997,0.8666584870784734
"sa","Keyword",12712,0.8476542808141535
"Allora","Keyword",12707,0.8473208736867093
"veramente","Keyword",12521,0.8349181285457847
"faccia","Keyword",12370,0.8248492332969697
"mamma","Keyword",12027,0.8019775043542972
"stanno","Keyword",11940,0.7961762203367679
"abbia","Keyword",11856,0.7905749805957051
"faccio","Keyword",11718,0.781372943878245
"realtà","Keyword",11699,0.7801059967939571
"eh","Keyword",11581,0.7722375885862738
"notte","Keyword",11546,0.7699037386941643
"cuore","Keyword",11542,0.769637012992209
"mette","Keyword",11497,0.7666363488452111
"almeno","Keyword",11351,0.7569008607238402
"tipo","Keyword",11145,0.7431644870731389
"De","Keyword",11087,0.7392969643947861
"vorrei","Keyword",11026,0.7352293974399667
"capire","Keyword",10955,0.730495016230259
"punto","Keyword",10853,0.7236935108303971
"donne","Keyword",10721,0.7148915626658701
"stare","Keyword",10691,0.7128911199012048
"stessa","Keyword",10369,0.6914197008937978
