"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Coronavirus","Keyword",6168,4.260462931623991
"#sanremo2020","Hashtag",4236,2.925959951095854
"face with tears of joy","Emoji",3496,2.414814917146153
"sto","Keyword",3435,2.372679988671921
"Italia","Keyword",3433,2.371298515607192
"so","Keyword",3023,2.0880965373377633
"#coronavirus","Hashtag",2809,1.9402789194117687
"cose","Keyword",2720,1.8788033680313319
"virus","Keyword",2611,1.8035130860036057
"comunque","Keyword",2599,1.7952242476152322
"davvero","Keyword",2378,1.6425714739626864
"Salvini","Keyword",2355,1.6266845337183038
"gente","Keyword",2342,1.617704958797566
"fanno","Keyword",2222,1.5348165749138305
"Cina","Keyword",2166,1.4961353291014208
"abbiamo","Keyword",2085,1.4401856699798996
"storia","Keyword",2023,1.397360004973303
"vedere","Keyword",1894,1.3082549922982876
"vero","Keyword",1800,1.2433257582560284
"Roma","Keyword",1763,1.2177685065585433
"andare","Keyword",1731,1.1956649375228805
"momento","Keyword",1596,1.1024155056536784
"sembra","Keyword",1522,1.0513010022587084
"volte","Keyword",1514,1.0457751099997927
"cazzo","Keyword",1510,1.043012163870335
"#gfvip","Hashtag",1506,1.040249217740877
"credo","Keyword",1482,1.0236715409641302
"modo","Keyword",1481,1.0229808044317656
"fosse","Keyword",1457,1.0064031276550185
"viene","Keyword",1456,1.0057123911226542
"devo","Keyword",1444,0.9974235527342806
"far","Keyword",1391,0.9608145165189642
"voglio","Keyword",1361,0.9400924205480304
"penso","Keyword",1356,0.9366387378862081
"vedo","Keyword",1353,0.9345665282891148
"problema","Keyword",1341,0.9262776899007412
"video","Keyword",1327,0.9166073784476387
"ce","Keyword",1323,0.9138444323181808
"domani","Keyword",1322,0.9131536957858164
"sa","Keyword",1292,0.8924315998148826
"sento","Keyword",1281,0.8848334979588736
"posso","Keyword",1274,0.8799983422323224
"cinesi","Keyword",1273,0.8793076056999579
"stanno","Keyword",1232,0.850987407873015
"eh","Keyword",1197,0.8268116292402589
"Spero","Keyword",1197,0.8268116292402589
"ero","Keyword",1186,0.8192135273842499
"mette","Keyword",1186,0.8192135273842499
"parole","Keyword",1175,0.8116154255282408
"faccia","Keyword",1168,0.8067802698016895
"situazione","Keyword",1158,0.7998729044780449
"foto","Keyword",1152,0.7957284852838581
"mamma","Keyword",1139,0.7867489103631202
"rolling on the floor laughing","Emoji",1123,0.7756971258452888
"tipo","Keyword",1118,0.7722434431834666
"abbia","Keyword",1116,0.7708619701187376
"faccio","Keyword",1099,0.7591194490685418
"ormai","Keyword",1086,0.7501398741478038
"realtà","Keyword",1082,0.747376928018346
"vorrei","Keyword",1073,0.7411602992270658
