"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Fri Feb 21 23:00:00 UTC 2020"
"End Date","Fri Mar 27 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Coronavirus","Keyword",30258,11.926355993330889
"#coronavirus","Hashtag",13896,5.477184311035959
"virus","Keyword",10088,3.9762403087025584
"Italia","Keyword",8313,3.276614362236754
"gente","Keyword",7672,3.0239607105834683
"situazione","Keyword",6782,2.673162348693572
"sto","Keyword",6485,2.5560981762426738
"momento","Keyword",6090,2.400406768437607
"so","Keyword",5639,2.222642654715873
"abbiamo","Keyword",5241,2.0657687805224136
"cose","Keyword",4795,1.8899754441146677
"comunque","Keyword",4762,1.8769683138423456
"face with tears of joy","Emoji",4408,1.7374372800119824
"fanno","Keyword",4390,1.7303424816816249
"davvero","Keyword",4188,1.650723078196502
"Conte","Keyword",4122,1.624708817651858
"stanno","Keyword",4063,1.6014536453467978
"quarantena","Keyword",3921,1.5454835696295333
"andare","Keyword",3899,1.5368121494479854
"stare","Keyword",3634,1.4323609518066116
"emergenza","Keyword",3535,1.3933395609896455
"vedere","Keyword",3490,1.3756025651637518
"#amici19","Hashtag",3370,1.3283039096280356
"#covid19","Hashtag",3335,1.314508468430118
"italiani","Keyword",3322,1.309384447413749
"vero","Keyword",3292,1.2975597835298198
"contagio","Keyword",3275,1.29085914066226
"cazzo","Keyword",3191,1.2577500817872587
"credo","Keyword",3080,1.2139988254167209
"modo","Keyword",3072,1.2108455817143398
"sembra","Keyword",3051,1.2025683169955894
"ce","Keyword",3024,1.1919261195000532
"morti","Keyword",2981,1.1749774345997548
"Milano","Keyword",2938,1.1580287496994566
"prendere","Keyword",2900,1.1430508421131462
"casi","Keyword",2843,1.1205839807336808
"qualcosa","Keyword",2802,1.1044236067589779
"far","Keyword",2731,1.0764385689003457
"Lombardia","Keyword",2705,1.0661905268676073
"spero","Keyword",2676,1.0547600184464756
"storia","Keyword",2650,1.0445119764137372
"#coronavirusitalia","Hashtag",2581,1.0173152494807003
"penso","Keyword",2578,1.0161327830923073
"fosse","Keyword",2575,1.0149503167039144
"stiamo","Keyword",2566,1.0114029175387356
"dobbiamo","Keyword",2500,0.9853886569940916
"capisco","Keyword",2476,0.9759289258869484
"devo","Keyword",2468,0.9727756821845672
"viene","Keyword",2421,0.9542503754330782
"almeno","Keyword",2330,0.9183822283184934
"persona","Keyword",2311,0.9108932745253383
"salute","Keyword",2298,0.9057692535089691
"rischio","Keyword",2279,0.8982802997158139
"sa","Keyword",2252,0.8876381022202777
"Cina","Keyword",2229,0.878572526575932
"bisogno","Keyword",2208,0.8702952618571816
"mamma","Keyword",2181,0.8596530643616455
"volte","Keyword",2176,0.8576822870476574
"allora","Keyword",2162,0.8521641105684904
"soprattutto","Keyword",2136,0.841916068535752
