"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"face with tears of joy","Emoji",184694,3.190952121551064
"face throwing a kiss","Emoji",163003,2.8161974328845987
"unrecognised_emoji","Emoji",124191,2.145643794208519
"sto","Keyword",116152,2.006754257433372
"Buongiorno","Keyword",115091,1.9884233955701511
"so","Keyword",109313,1.8885970809182293
"Italia","Keyword",106679,1.8430895501475193
"Buona","Keyword",104243,1.8010028588197102
"Buon","Keyword",100698,1.7397560112182802
"smiling face with heart-shaped eyes","Emoji",99993,1.7275757495655277
"cose","Keyword",99693,1.7223926595005263
"voglio","Keyword",99547,1.719870222335559
"comunque","Keyword",96674,1.6702334964797318
"giornata","Keyword",93917,1.6226008987823712
"video","Keyword",88259,1.52484782015645
"Salvini","Keyword",85216,1.472274009930455
"smiling face with smiling eyes","Emoji",83006,1.4340919131182799
"rose","Emoji",81722,1.4119082876400753
"hugging face","Emoji",80057,1.383142137779319
"fanno","Keyword",79555,1.3744691004038836
"cuore","Keyword",78127,1.3497975916944782
"davvero","Keyword",75599,1.306121419413402
"Ciao","Keyword",74142,1.28094887866438
"abbiamo","Keyword",73313,1.2666262731180935
"vero","Keyword",71687,1.2385339249657874
"vedere","Keyword",68731,1.1874632108586427
"foto","Keyword",66490,1.1487455280730843
"bella","Keyword",65800,1.1368244209235818
"heavy black heart","Emoji",64485,1.1141052094719934
"Roma","Keyword",64140,1.108144655897242
"allora","Keyword",63662,1.099886265727007
"gente","Keyword",61626,1.0647103611525326
"winking face","Emoji",61299,1.0590607929816813
"fai","Keyword",61201,1.0573676502271143
"amici","Keyword",61171,1.0568493412206141
"persona","Keyword",59948,1.035719610722293
"abbraccio","Keyword",59906,1.034993978113193
"PD","Keyword",59488,1.027772205955958
"storia","Keyword",59213,1.0230210400630402
"vuole","Keyword",59136,1.0216907136130233
"credo","Keyword",57318,0.9902811878191163
"cazzo","Keyword",56159,0.9702571832013287
"andare","Keyword",54739,0.9457238902269899
"sa","Keyword",54665,0.944445394677623
"notte","Keyword",53371,0.9220889995305848
"bello","Keyword",52907,0.9140724868967163
"rolling on the floor laughing","Emoji",51098,0.8828184538047595
"posso","Keyword",50613,0.874439124866341
"spero","Keyword",50089,0.8653859942194725
"far","Keyword",49592,0.8567993416784538
"qualcosa","Keyword",48905,0.8449300654296013
"italiani","Keyword",48872,0.8443599255224511
"vedo","Keyword",48416,0.8364816286236495
"serata","Keyword",47771,0.825337984983897
"stai","Keyword",46930,0.8108080558350104
"eh","Keyword",46592,0.8049684410284426
"penso","Keyword",46077,0.796070803083524
"parole","Keyword",45950,0.7938766282893401
"stare","Keyword",44549,0.7696715976857849
"tanti","Keyword",44107,0.7620351783233498
