"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"#sanremo2020","Hashtag",30537,5.565843433883168
"face with tears of joy","Emoji",17974,3.276041192016768
"face throwing a kiss","Emoji",16334,2.977125672104256
"unrecognised_emoji","Emoji",13605,2.4797229563473984
"#gfvip","Hashtag",13383,2.439260001822656
"sto","Keyword",12376,2.255718581973936
"so","Keyword",11018,2.008201950241502
"Comunque","Keyword",10687,1.9478720495762325
"Buongiorno","Keyword",10327,1.8822564476442176
"voglio","Keyword",10179,1.8552811446277226
"cose","Keyword",9282,1.6917889364804521
"smiling face with heart-shaped eyes","Emoji",9240,1.684133782921717
"Italia","Keyword",9069,1.6529663720040098
"Buona","Keyword",8921,1.625991068987515
"buon","Keyword",8885,1.6194295087943134
"giornata","Keyword",8849,1.6128679486011117
"rose","Emoji",8742,1.5933655335824297
"smiling face with smiling eyes","Emoji",7558,1.3775631094504694
"davvero","Keyword",7419,1.3522281964822747
"hugging face","Emoji",7335,1.3369178893648046
"fanno","Keyword",7290,1.3287159391233028
"abbiamo","Keyword",6949,1.2665633828488108
"vero","Keyword",6855,1.249430420122118
"Ciao","Keyword",6846,1.2477900300738176
"cuore","Keyword",6817,1.2425043288070718
"heavy black heart","Emoji",6782,1.2361250341747927
"bella","Keyword",6636,1.209514262280142
"fai","Keyword",6485,1.1819921625808802
"canzone","Keyword",6407,1.1677754488289438
"vedere","Keyword",6369,1.1608493575138978
"cazzo","Keyword",6144,1.1198396063063882
"Sanremo","Keyword",5925,1.0799234484644127
"persona","Keyword",5923,1.0795589173425681
"abbraccio","Keyword",5868,1.0695343114918436
"storia","Keyword",5781,1.0536772076916068
"gente","Keyword",5769,1.0514900209605393
"allora","Keyword",5670,1.0334457304292353
"rolling on the floor laughing","Emoji",5667,1.0328989337464687
"winking face","Emoji",5567,1.0146723776542421
"credo","Keyword",5502,1.0028251161942952
"sa","Keyword",5470,0.9969926182447827
"vuole","Keyword",5468,0.9966280871229382
"Salvini","Keyword",5338,0.9729335642030438
"andare","Keyword",5191,0.946140526747471
"serata","Keyword",5140,0.9368449831404356
"modo","Keyword",4981,0.9078647589537957
"foto","Keyword",4975,0.9067711655882622
"#sanremo70","Hashtag",4928,0.8982046842249156
"bello","Keyword",4923,0.8972933564203044
"amici","Keyword",4903,0.8936480452018591
"capito","Keyword",4865,0.8867219538868132
"notte","Keyword",4862,0.8861751572040463
"eh","Keyword",4841,0.8823475804246788
"vedo","Keyword",4830,0.8803426592545339
"ce","Keyword",4723,0.8608402442358516
"far","Keyword",4689,0.8546432151644946
"penso","Keyword",4653,0.8480816549712932
"sembra","Keyword",4652,0.8478993894103708
"almeno","Keyword",4628,0.8435250159482367
"parole","Keyword",4595,0.8375102524378019
