"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Fri Feb 21 23:00:00 UTC 2020"
"End Date","Fri Mar 27 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Coronavirus","Keyword",31479,4.6326301754509895
"face with tears of joy","Emoji",20722,3.0495683628989294
"face throwing a kiss","Emoji",19960,2.9374280727469664
"unrecognised_emoji","Emoji",18035,2.6541340326649063
"sto","Keyword",17714,2.6068938316953787
"Italia","Keyword",17672,2.600712870820861
"#coronavirus","Hashtag",16608,2.444128528666414
"so","Keyword",14298,2.104175680567942
"comunque","Keyword",12642,1.860469223229817
"voglio","Keyword",12210,1.7968936256633496
"Buongiorno","Keyword",12084,1.7783507430397965
"cose","Keyword",12027,1.7699622961386656
"buona","Keyword",11444,1.684164672570956
"momento","Keyword",10913,1.6060196672288398
"abbiamo","Keyword",10722,1.577911011823295
"giornata","Keyword",10506,1.5461232130400615
"virus","Keyword",10295,1.5150712429323654
"gente","Keyword",10208,1.5022678239780076
"fanno","Keyword",10161,1.4953510344279521
"buon","Keyword",9857,1.4506126509552528
"smiling face with heart-shaped eyes","Emoji",9850,1.4495824908094999
"abbraccio","Keyword",9819,1.4450203530211654
"rose","Emoji",9793,1.4411940439083688
"hugging face","Emoji",9487,1.3961613289654542
"#gfvip","Hashtag",9250,1.3612830497449617
"#amici19","Hashtag",9243,1.360252889599209
"Ciao","Keyword",9130,1.3436231615320542
"heavy black heart","Emoji",9023,1.327876427875545
"Andrà","Keyword",8831,1.2996206067348925
"davvero","Keyword",8819,1.297854617913602
"stare","Keyword",8687,1.2784287408794035
"stanno","Keyword",8419,1.2389883238705766
"vedere","Keyword",8376,1.2326601972609512
"smiling face with smiling eyes","Emoji",8240,1.2126456572863227
"cazzo","Keyword",8127,1.196015929219168
"cuore","Keyword",7956,1.1708505885157747
"quarantena","Keyword",7892,1.1614319814688907
"vero","Keyword",7712,1.1349421491495293
"fai","Keyword",7647,1.1253763763675377
"andare","Keyword",7444,1.0955017321407021
"Spero","Keyword",7411,1.0906452628821526
"ce","Keyword",7317,1.0768116837820416
"amici","Keyword",7240,1.0654799221787592
"allora","Keyword",7161,1.0538538291052617
"bella","Keyword",7092,1.0436993933828398
"credo","Keyword",7010,1.0316318031040197
"situazione","Keyword",7003,1.0306016429582667
"almeno","Keyword",6975,1.0264810023752549
"capito","Keyword",6960,1.0242735163486414
"modo","Keyword",6852,1.0083796169570245
"italiani","Keyword",6819,1.0035231476984752
"persona","Keyword",6672,0.9818897846376632
"vuole","Keyword",6393,0.9408305445426531
"posso","Keyword",6390,0.9403890473373304
"sa","Keyword",6314,0.9292044514691556
"four leaf clover","Emoji",6278,0.9239064850052832
"rolling on the floor laughing","Emoji",6246,0.9191971814818413
"far","Keyword",6083,0.8952091666593084
"foto","Keyword",6079,0.8946205037188782
"Eh","Keyword",5992,0.88181708476452
