"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"face with tears of joy","Emoji",145302,2.634450780778456
"sto","Keyword",138653,2.5138986669644963
"Italia","Keyword",134625,2.4408675473310733
"Salvini","Keyword",110776,2.0084645751022987
"so","Keyword",109816,1.9910589457954253
"cose","Keyword",103834,1.8826001181769705
"comunque","Keyword",93252,1.6907393167964142
"abbiamo","Keyword",91721,1.6629809642247233
"PD","Keyword",81003,1.4686543653590265
"gente","Keyword",80223,1.4545122915471917
"fanno","Keyword",79389,1.4393911510868456
"vedere","Keyword",77607,1.4070819516859618
"vero","Keyword",70132,1.2715537443225466
"Roma","Keyword",69731,1.2642832679141547
"cazzo","Keyword",69720,1.26408382841168
"davvero","Keyword",69110,1.253024001456271
"voglio","Keyword",67095,1.2164903107756981
"sa","Keyword",66043,1.1974166419935828
"vuole","Keyword",65115,1.1805912003302717
"credo","Keyword",64244,1.1647992179070565
"andare","Keyword",63695,1.1548453736471882
"fosse","Keyword",63138,1.1447464824764295
"viene","Keyword",62394,1.1312571197636025
"foto","Keyword",62186,1.1274859000804467
"ce","Keyword",61097,1.107741389335462
"italiani","Keyword",60698,1.100507174654793
"volte","Keyword",60579,1.098349601855295
"qualcosa","Keyword",60572,1.0982226858082658
"politica","Keyword",59852,1.0851684638281107
"ormai","Keyword",57450,1.0416181288332045
"problema","Keyword",57335,1.039533079489152
"allora","Keyword",57328,1.0394061634421228
"posso","Keyword",57243,1.03786504001391
"modo","Keyword",56449,1.0234691341080169
"far","Keyword",56061,1.0164343589298221
"sembra","Keyword",54931,0.9959464827665233
"penso","Keyword",53015,0.9612077476082217
"vedo","Keyword",52538,0.9525593255463691
"Napoli","Keyword",51995,0.9427142664696688
"parole","Keyword",51917,0.9413000590884852
"cuore","Keyword",51710,0.9375469702691908
"dico","Keyword",51293,0.9299864000390176
"amore","Keyword",50665,0.9186002175341046
"capire","Keyword",50539,0.9163157286875775
"momento","Keyword",49810,0.9030983289326704
"parlare","Keyword",49748,0.9019742153732682
"punto","Keyword",48977,0.8879953193361856
"almeno","Keyword",48974,0.8879409267446017
"fai","Keyword",48330,0.8762646504179075
"eh","Keyword",45167,0.8189167280245317
"faccio","Keyword",44396,0.8049378319874491
"unrecognised_emoji","Emoji",44364,0.8043576443438866
"parla","Keyword",44131,0.8001331530641975
"faccia","Keyword",44104,0.7996436197399417
"devo","Keyword",43945,0.796760812385991
"stare","Keyword",43883,0.7956366988265887
"tanti","Keyword",42169,0.764560398168275
"rolling on the floor laughing","Emoji",42092,0.7631643216509529
"bella","Keyword",41399,0.7505996329950537
"quelle","Keyword",41106,0.7452872898836851
