"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"#sanremo2020","Hashtag",21449,4.062995467038951
"sto","Keyword",14420,2.7315210329013793
"face with tears of joy","Emoji",14016,2.6549929817715485
"Italia","Keyword",12031,2.278982631542059
"so","Keyword",10806,2.0469359418538353
"Comunque","Keyword",9745,1.8459550947034633
"cose","Keyword",9680,1.8336424132098024
"Salvini","Keyword",9396,1.779845466375961
"abbiamo","Keyword",9272,1.7563566586034387
"gente","Keyword",7563,1.4326278482547248
"vedere","Keyword",7477,1.4163372235092657
"fanno","Keyword",7419,1.4053505230995376
"#gfvip","Hashtag",7372,1.396447507250275
"cazzo","Keyword",7107,1.3462496519299654
"davvero","Keyword",6769,1.282223708162929
"vero","Keyword",6688,1.2668802127631362
"sa","Keyword",6625,1.2549463830077419
"voglio","Keyword",6367,1.206074508771365
"storia","Keyword",6243,1.1825857009988425
"fosse","Keyword",6199,1.1742509627569797
"credo","Keyword",6167,1.168189334944716
"andare","Keyword",6032,1.142616842611728
"ce","Keyword",5981,1.1329561232859326
"volte","Keyword",5871,1.1121192776812758
"qualcosa","Keyword",5786,1.09601807880495
"PD","Keyword",5754,1.0899564509926862
"viene","Keyword",5744,1.0880621923013538
"amore","Keyword",5642,1.0687407536497628
"vuole","Keyword",5562,1.0535866841191035
"persona","Keyword",5543,1.0499875926055717
"posso","Keyword",5533,1.0480933339142393
"Coronavirus","Keyword",5515,1.0446836682698408
"far","Keyword",5476,1.0372960593736444
"allora","Keyword",5360,1.0153226585541881
"Sanremo","Keyword",5299,1.0037676805370603
"problema","Keyword",5206,0.9861510747076686
"ormai","Keyword",5174,0.9800894468954047
"parole","Keyword",5161,0.9776269105966726
"Napoli","Keyword",5141,0.9738383932140077
"vedo","Keyword",5118,0.9694815982239431
"parlare","Keyword",5015,0.949970733703219
"dico","Keyword",5000,0.9471293456662203
"almeno","Keyword",4936,0.9350060900416927
"momento","Keyword",4924,0.9327329796120937
"italiani","Keyword",4749,0.899583452513776
"unrecognised_emoji","Emoji",4718,0.8937112505706455
"rolling on the floor laughing","Emoji",4715,0.8931429729632456
"punto","Keyword",4678,0.8861342158053157
"senso","Keyword",4656,0.8819668466843842
"eh","Keyword",4644,0.8796937362547854
"testa","Keyword",4528,0.857720335435329
"squadra","Keyword",4516,0.8554472250057301
"Inter","Keyword",4502,0.8527952628378648
"de","Keyword",4367,0.8272227705048768
"vorrei","Keyword",4301,0.8147206631420826
"stare","Keyword",4269,0.8086590353298189
"tweet","Keyword",4195,0.7946415210139588
"faccio","Keyword",4123,0.7810028584363652
"dato","Keyword",4105,0.7775931927919668
"sera","Keyword",4033,0.7639545302143733
