"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Fri Feb 21 23:00:00 UTC 2020"
"End Date","Fri Mar 27 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Coronavirus","Keyword",51496,6.969288089441182
"#coronavirus","Hashtag",25531,3.455276025546117
"Italia","Keyword",24149,3.2682409909879433
"sto","Keyword",21432,2.9005317370845
"virus","Keyword",16788,2.2720290594519685
"gente","Keyword",16438,2.224661286589913
"so","Keyword",15910,2.1532036178151546
"face with tears of joy","Emoji",15865,2.147113475590033
"abbiamo","Keyword",14702,1.989717133194117
"momento","Keyword",14343,1.9411313318870373
"cose","Keyword",14140,1.913658023627045
"Comunque","Keyword",13667,1.8496438620163245
"fanno","Keyword",11919,1.6130756706938296
"quarantena","Keyword",11257,1.5234829117375988
"cazzo","Keyword",11189,1.5142800301529709
"andare","Keyword",10973,1.485047347472388
"vedere","Keyword",10872,1.4713783615893377
"stare","Keyword",10838,1.4667769207970238
"stanno","Keyword",10540,1.4264466456173306
"situazione","Keyword",10354,1.4012740577534955
"ce","Keyword",10083,1.3645978679088753
"italiani","Keyword",9557,1.2934108721219002
"davvero","Keyword",9365,1.2674262652947155
"Credo","Keyword",9070,1.2275019995966971
"senso","Keyword",8947,1.210855610848032
"viene","Keyword",8931,1.2086902269457667
"vero","Keyword",8885,1.2024647482267536
"fosse","Keyword",8877,1.201382056275621
"Conte","Keyword",8859,1.1989459993855722
"emergenza","Keyword",8847,1.1973219614588733
"#amici19","Hashtag",8813,1.1927205206665592
"problema","Keyword",8779,1.1881190798742454
"posso","Keyword",8731,1.1816229281674493
"sa","Keyword",8587,1.1621344730470606
"voglio","Keyword",8506,1.151172217041842
"sembra","Keyword",8291,1.1220748708551507
"#gfvip","Hashtag",8255,1.1172027570750536
"qualcosa","Keyword",8008,1.0837746430838315
"modo","Keyword",7928,1.0729477235725045
"penso","Keyword",7892,1.0680756097924073
"paura","Keyword",7875,1.0657748893962502
"almeno","Keyword",7842,1.061308785097828
"casi","Keyword",7677,1.038978263605716
"Spero","Keyword",7533,1.0194898084853274
"capire","Keyword",7529,1.0189484625097611
"#covid19","Hashtag",7506,1.0158357231502546
"video","Keyword",7501,1.0151590406807969
"vedo","Keyword",7376,0.9982419789443482
"vuole","Keyword",7360,0.9960765950420829
"Lombardia","Keyword",7352,0.9949939030909503
"unrecognised_emoji","Emoji",7346,0.9941818841276007
"volte","Keyword",7212,0.9760467939461279
"ormai","Keyword",7151,0.9677912678187411
"uscire","Keyword",7093,0.959941751173029
"dico","Keyword",7071,0.9569643483074141
"quelle","Keyword",7041,0.9529042534906665
"Roma","Keyword",6938,0.9389645946198331
"faccio","Keyword",6935,0.9385585851381584
"facendo","Keyword",6925,0.9372052201992424
"storia","Keyword",6857,0.9280023386146145
