"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"face with tears of joy","Emoji",2050126,2.9956562001705955
"Italia","Keyword",1292010,1.8878926305907107
"Buongiorno","Keyword",933590,1.3641672130967886
"Roma","Keyword",930845,1.3601562029103569
"Salvini","Keyword",892234,1.3037375820330124
"sto","Keyword",845506,1.235458352892183
"Buona","Keyword",819847,1.1979652707888504
"foto","Keyword",783180,1.1443872341746835
"so","Keyword",767513,1.121494521391141
"face throwing a kiss","Emoji",767239,1.1210941509754462
"buon","Keyword",743602,1.0865556271952337
"video","Keyword",707169,1.0333195127608936
"comunque","Keyword",682789,0.9976953129994356
"unrecognised_emoji","Emoji",657921,0.9613580447603897
"cose","Keyword",642410,0.9386932800967319
"smiling face with heart-shaped eyes","Emoji",630826,0.9217666709894008
"abbiamo","Keyword",618021,0.9030559294822034
"cazzo","Keyword",605645,0.8849720453046889
"vero","Keyword",587331,0.8582115205125911
"rolling on the floor laughing","Emoji",576343,0.842155790119691
"pd","Keyword",575112,0.8403570456608578
"De","Keyword",574184,0.8390010465887234
"giornata","Keyword",567688,0.8295090530837836
"bella","Keyword",562951,0.8225873207511329
"smiling face with smiling eyes","Emoji",561242,0.8200901198736787
"winking face","Emoji",543924,0.7947849561546906
"vedere","Keyword",524457,0.7663396609637019
"fanno","Keyword",524301,0.7661117128438172
"Milano","Keyword",514153,0.7512833954041421
"domani","Keyword",510627,0.7461311834123906
"davvero","Keyword",507921,0.7421771602559303
"Ciao","Keyword",494911,0.7231668715399101
"allora","Keyword",492879,0.7201977011578231
"storia","Keyword",490847,0.7172285307757359
"ce","Keyword",483873,0.7070380808521752
"credo","Keyword",479009,0.699930775370644
"eh","Keyword",478179,0.698717974476386
"gente","Keyword",475639,0.6950065114987771
"voglio","Keyword",474653,0.6935657624846345
"nuova","Keyword",452510,0.6612102803140862
"appena","Keyword",442791,0.6470088202040939
"italiani","Keyword",439646,0.6424133276589837
"sa","Keyword",437810,0.6397305536326492
"andare","Keyword",434704,0.6351920481175102
"lega","Keyword",414954,0.6063332316577564
"news","Keyword",401943,0.5873214817358395
"bello","Keyword",401660,0.5869079604670745
"cuore","Keyword",398046,0.5816271623564137
"qualcosa","Keyword",396561,0.5794572715998195
"serie","Keyword",392400,0.5733771938636658
"Domenica","Keyword",379361,0.5543245301766415
"posto","Keyword",374457,0.5471587764592424
"posso","Keyword",374262,0.5468738413093867
"politica","Keyword",373461,0.5457034153861328
"problema","Keyword",370931,0.5420065644674908
"fosse","Keyword",365364,0.533872031240582
"vedo","Keyword",359406,0.525166166508065
"capito","Keyword",356720,0.5212413674695384
"piace","Keyword",343602,0.5020732685166751
"faccio","Keyword",342996,0.501187777743277
