"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"#sanremo2020","Hashtag",266399,4.206265685727301
"face with tears of joy","Emoji",200664,3.16835310027734
"Italia","Keyword",108243,1.7090860574558469
"Buongiorno","Keyword",89705,1.4163831821371984
"sto","Keyword",87985,1.3892255089497954
"#gfvip","Hashtag",84254,1.330315463215958
"face throwing a kiss","Emoji",77202,1.218969003147606
"Roma","Keyword",75317,1.1892060880555975
"so","Keyword",75102,1.185811378907172
"Comunque","Keyword",73735,1.1642273444611373
"buona","Keyword",73217,1.1560484638151636
"unrecognised_emoji","Emoji",71234,1.1247381929252682
"Sanremo","Keyword",65335,1.031596847499402
"Salvini","Keyword",64075,1.0117022729551417
"rolling on the floor laughing","Emoji",63684,1.0055286391084706
"cazzo","Keyword",63528,1.0030655013077525
"Buon","Keyword",61545,0.971755230417857
"foto","Keyword",60509,0.9553974691259098
"cose","Keyword",60382,0.9533922223266073
"abbiamo","Keyword",59523,0.9398291750777823
"vero","Keyword",56720,0.8955716413892413
"smiling face with heart-shaped eyes","Emoji",56163,0.886776976293088
"VIDEO","Keyword",55665,0.8789138825446423
"Coronavirus","Keyword",55049,0.8691876461007818
"bella","Keyword",53692,0.8477615051035109
"Napoli","Keyword",52520,0.8292563929083736
"giornata","Keyword",52432,0.8278669305592506
"febbraio","Keyword",51162,0.8078144625662264
"davvero","Keyword",50732,0.8010250442693757
"vedere","Keyword",49814,0.7865304256728431
"smiling face with smiling eyes","Emoji",49072,0.7748147317745565
"fanno","Keyword",48906,0.7721937005250746
"winking face","Emoji",48876,0.7717200201787827
"ce","Keyword",47753,0.7539885858825889
"de","Keyword",47733,0.7536727989850609
"voglio","Keyword",47089,0.7435044608846612
"domani","Keyword",46620,0.736099258137631
"#sanremo70","Hashtag",46561,0.7351676867899236
"credo","Keyword",46219,0.7297677308421958
"gennaio","Keyword",46219,0.7297677308421958
"Ciao","Keyword",45721,0.72190463709375
"allora","Keyword",44940,0.7095731587452839
"gente","Keyword",44569,0.7037153117961407
"sa","Keyword",43875,0.692757506451921
"Inter","Keyword",43465,0.6862838750525982
"sembra","Keyword",42478,0.6706997916595944
"andare","Keyword",41609,0.6569788509620053
"nuova","Keyword",41424,0.6540578221598718
"tweet","Keyword",39519,0.6239791201703354
"Milano","Keyword",39421,0.6224317643724485
"appena","Keyword",39216,0.6191949486727871
"qualcosa","Keyword",37849,0.5976109142267524
"fai","Keyword",37702,0.5952898805299219
"stasera","Keyword",37692,0.595131987081158
"amore","Keyword",37419,0.5908214959299016
"bello","Keyword",37184,0.5871109998839483
"fosse","Keyword",36989,0.5840320776330509
"posso","Keyword",36667,0.5789479085828511
"cuore","Keyword",36237,0.5721584902860003
"San","Keyword",36061,0.5693795655877544
