"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Fri Feb 21 23:00:00 UTC 2020"
"End Date","Fri Mar 27 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Coronavirus","Keyword",627808,7.509163862029304
"#coronavirus","Hashtag",262228,3.1364892151935315
"face with tears of joy","Emoji",234147,2.8006145044385793
"Italia","Keyword",209367,2.504222804267371
"sto","Keyword",130484,1.5607092253890231
"virus","Keyword",119271,1.4265913830153443
"so","Keyword",109962,1.315247140202843
"Buongiorno","Keyword",108966,1.3033340597601262
"unrecognised_emoji","Emoji",101230,1.2108043506187027
"comunque","Keyword",98554,1.1787969176220057
"quarantena","Keyword",97177,1.1623267250822253
"abbiamo","Keyword",96307,1.1519207210810571
"face throwing a kiss","Emoji",95799,1.1458445716183059
"gente","Keyword",95321,1.1401272498797328
"marzo","Keyword",90701,1.0848677803562872
"Buona","Keyword",89968,1.0761004229621995
"video","Keyword",87067,1.0414017820341657
"emergenza","Keyword",86198,1.0310077389571366
"cose","Keyword",85378,1.0211997811629319
"momento","Keyword",84948,1.0160565837830442
"#amici19","Hashtag",83004,0.9928045472562955
"#gfvip","Hashtag",78882,0.9435016179542084
"ce","Keyword",76313,0.9127740038404134
"vero","Keyword",74682,0.8932657365692577
"fanno","Keyword",74428,0.8902276618378822
"buon","Keyword",73891,0.883804645575092
"rolling on the floor laughing","Emoji",73783,0.8825128657680503
"Roma","Keyword",72133,0.8627773409382484
"#covid19","Hashtag",72074,0.8620716464140312
"foto","Keyword",70453,0.8426829883842681
"andare","Keyword",70140,0.8389392191286754
"davvero","Keyword",68577,0.8202442946989902
"situazione","Keyword",68372,0.817792305250439
"vedere","Keyword",67620,0.8087976902977051
"Eh","Keyword",66458,0.7948990964478687
"Credo","Keyword",65510,0.783560140363837
"allora","Keyword",62678,0.7496868032014131
"Milano","Keyword",62228,0.7443043873387398
"sembra","Keyword",61496,0.7355489908687913
"bella","Keyword",61203,0.732044440095984
"smiling face with heart-shaped eyes","Emoji",60783,0.7270208519574889
"ciao","Keyword",60568,0.7244492532675451
"almeno","Keyword",60050,0.7182534945634012
"smiling face with smiling eyes","Emoji",59201,0.7080986699691576
"Lombardia","Keyword",58312,0.697465408409343
"stare","Keyword",58058,0.6944273336779674
"giornata","Keyword",57638,0.6894037455394724
"#iorestoacasa","Hashtag",57198,0.6841409389181918
"winking face","Emoji",56182,0.6719886399926895
"posso","Keyword",54952,0.6572767033013825
"fosse","Keyword",52617,0.6293479454361779
"de","Keyword",52236,0.6247908333391144
"vuole","Keyword",52060,0.6226857106906022
"qualcosa","Keyword",51777,0.6193007691591877
"morti","Keyword",51523,0.6162626944278121
"faccio","Keyword",50429,0.6031774434194465
"modo","Keyword",50244,0.6009646724536807
"spero","Keyword",50214,0.6006058447295025
"Cina","Keyword",50205,0.6004981964122491
"tweet","Keyword",49501,0.5920777058182002
