"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423393]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",102053,5.548587177132555
"gewoon","Keyword",69869,3.798753956072575
"vind","Keyword",56662,3.080693822138348
"mee","Keyword",56326,3.062425615505358
"maken","Keyword",51309,2.789653018250265
"jaar","Keyword",50275,2.733434787123741
"ga","Keyword",43980,2.391177761068168
"man","Keyword",40315,2.191912947645821
"alle","Keyword",38138,2.0735501921695723
"tijd","Keyword",33827,1.8391625767087978
"erg","Keyword",33818,1.838673249745414
"steeds","Keyword",33650,1.8295391464289192
"komen","Keyword",33608,1.8272556205997954
"staat","Keyword",33390,1.815403034153391
"Nederland","Keyword",33245,1.8075194330766542
"hoor","Keyword",32986,1.7934376904637241
"laat","Keyword",32768,1.7815851040173198
"jullie","Keyword",32166,1.7488545671332127
"denk","Keyword",32089,1.7446681031131526
"nou","Keyword",30978,1.6842634079665693
"zit","Keyword",30415,1.653653287923791
"helemaal","Keyword",29972,1.6295675273927952
"Lees","Keyword",29826,1.6216295566534602
"dag","Keyword",28648,1.5575820941127985
"nieuwe","Keyword",27954,1.5198495482696583
"vandaag","Keyword",27706,1.5063658719453084
"zie","Keyword",27340,1.4864665754343729
"keer","Keyword",26265,1.4280191881413242
"hele","Keyword",26251,1.4272580128649495
"zeg","Keyword",26051,1.4163840803453125
"allemaal","Keyword",25993,1.413230639914618
"he","Keyword",25597,1.3917002535257368
"beetje","Keyword",25290,1.375008767108094
"kinderen","Keyword",25151,1.3674513840069462
"uur","Keyword",24721,1.3440724290897268
"face with tears of joy","Emoji",24341,1.3234119573024166
"snel","Keyword",23880,1.2983475428446534
"leven","Keyword",23873,1.297966955206466
"natuurlijk","Keyword",23767,1.2922037709710585
"lekker","Keyword",23701,1.2886153732395782
"vinden","Keyword",23297,1.2666500295499115
"grote","Keyword",23259,1.2645839823711806
"niks","Keyword",23115,1.256754750957042
"Wind","Keyword",23109,1.2564285329814529
"graag","Keyword",22982,1.2495235858314835
"staan","Keyword",22352,1.2152706983946269
"land","Keyword",21803,1.1854217536282237
"blijft","Keyword",21518,1.169926399787741
"politie","Keyword",21456,1.1665554807066534
"soort","Keyword",21368,1.1617709503980131
"elkaar","Keyword",21318,1.159052467268104
"mm","Keyword",20983,1.140838630297712
"werk","Keyword",20930,1.1379570381800082
"hoop","Keyword",20399,1.109086747340372
"weten","Keyword",20274,1.1022905395155989
"zelfs","Keyword",19951,1.0847291384963853
"goede","Keyword",19170,1.042266432007203
"doe","Keyword",19133,1.04025475449107
"druk","Keyword",19117,1.0393848398894991
"toe","Keyword",18944,1.0299788882600132
