"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423393]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",9246,5.651831068566503
"gewoon","Keyword",6441,3.937210027323908
"mee","Keyword",5104,3.1199378946531944
"vind","Keyword",5055,3.089985512827566
"maken","Keyword",4796,2.931665780320674
"jaar","Keyword",4540,2.7751798671092285
"ga","Keyword",3891,2.3784636261942746
"alle","Keyword",3755,2.295330484800694
"man","Keyword",3650,2.2311468094600624
"tijd","Keyword",3175,1.9407920876810134
"hoor","Keyword",3107,1.899225516984223
"erg","Keyword",3106,1.898614243885741
"steeds","Keyword",3063,1.8723295006510057
"komen","Keyword",2974,1.8179261948860892
"Nederland","Keyword",2928,1.7898076323559078
"staat","Keyword",2922,1.7861399937650144
"denk","Keyword",2919,1.7843061744695676
"laat","Keyword",2890,1.7665792546135837
"Nou","Keyword",2885,1.7635228891211725
"Lees","Keyword",2829,1.729291595606169
"zit","Keyword",2790,1.7054519447653627
"jullie","Keyword",2786,1.703006852371434
"helemaal","Keyword",2629,1.6070369759097272
"zie","Keyword",2607,1.5935889677431185
"maakt","Keyword",2552,1.5599689473265972
"nieuwe","Keyword",2536,1.5501885777508817
"allemaal","Keyword",2534,1.5489660315539173
"hele","Keyword",2490,1.5220700152207
"snel","Keyword",2488,1.520847469023736
"dag","Keyword",2457,1.5018980029707873
"Baudet","Keyword",2439,1.4908950871981075
"keer","Keyword",2402,1.4682779825542658
"zeg","Keyword",2392,1.4621652515694437
"beetje","Keyword",2330,1.4242663194635468
"vandaag","Keyword",2322,1.419376134675689
"werk","Keyword",2300,1.4059281265090806
"natuurlijk","Keyword",2269,1.386978660456132
"face with tears of joy","Emoji",2254,1.3778095639788988
"kinderen","Keyword",2246,1.372919379191041
"leven","Keyword",2229,1.3625277365168438
"land","Keyword",2159,1.319738619623089
"niks","Keyword",2153,1.3160709810321958
"grote","Keyword",2086,1.2751156834338877
"lekker","Keyword",2056,1.2567774904794216
"soort","Keyword",2012,1.2298814741462043
"elkaar","Keyword",2009,1.2280476548507577
"vinden","Keyword",2009,1.2280476548507577
"blijft","Keyword",1983,1.2121545542902201
"weten","Keyword",1942,1.1870923572524497
"graag","Keyword",1915,1.17058798359343
"staan","Keyword",1915,1.17058798359343
"blijven","Keyword",1893,1.1571399754268215
"hoop","Keyword",1864,1.1394130555708375
"geld","Keyword",1822,1.1137395854345846
"zelfs","Keyword",1819,1.1119057661391378
"goede","Keyword",1789,1.0935675731846717
"vrouwen","Keyword",1740,1.0636151913590435
"toe","Keyword",1729,1.0568911872757392
"politie","Keyword",1715,1.0483333638969883
"juist","Keyword",1709,1.0446657253060951
