"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Mon Dec 30 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",40326,5.819425503820595
"gewoon","Keyword",20278,2.926308346140803
"maken","Keyword",19832,2.8619463024294505
"Excuses","Keyword",18432,2.6599129813624263
"jaar","Keyword",18166,2.6215266503596917
"mee","Keyword",17628,2.5438881312639348
"vind","Keyword",16910,2.4402738994595605
"man","Keyword",16476,2.3776435699287832
"Excuses voor het ongemak","Phrase",14680,2.1184636809028006
"komen","Keyword",14655,2.1148559430266034
"alle","Keyword",14392,2.0769025405690122
"erg","Keyword",14072,2.0307234957536924
"zit","Keyword",13396,1.9331702635813293
"denk","Keyword",13329,1.9235015260731216
"leven","Keyword",12956,1.8696740769602644
"steeds","Keyword",12826,1.8509138400040406
"ga","Keyword",12584,1.815990937362455
"Nederland","Keyword",12317,1.7774602968446727
"Lees","Keyword",12140,1.7519175126811986
"laat","Keyword",12068,1.7415272275977518
"tijd","Keyword",11989,1.7301267759089696
"zie","Keyword",11961,1.726086109487629
"staat","Keyword",11941,1.7231999191866714
"beetje","Keyword",11903,1.7177161576148525
"grote","Keyword",11335,1.6357483530676595
"kinderen","Keyword",11228,1.6203072349575367
"dag","Keyword",11172,1.612225902114856
"hoor","Keyword",10986,1.5853843323159513
"nieuwe","Keyword",10871,1.5687887380854457
"hoop","Keyword",10650,1.5368963352598652
"vandaag","Keyword",10627,1.5335772164137642
"jullie","Keyword",10385,1.4986543137721786
"allemaal","Keyword",10117,1.4599793637393481
"keer","Keyword",9993,1.4420849838734116
"nieuws","Keyword",9948,1.4355910556962572
"maakt","Keyword",9914,1.4306845321846295
"snel","Keyword",9890,1.4272211038234806
"face with tears of joy","Emoji",9525,1.3745481308310064
"nou","Keyword",9452,1.3640135362325116
"hele","Keyword",9425,1.360117179326219
"terug","Keyword",8986,1.296765302220202
"sterkte","Keyword",8944,1.290704302588191
"Gelukkig","Keyword",8552,1.2341349726894242
"natuurlijk","Keyword",8228,1.1873786898139127
"staan","Keyword",8187,1.18146199969695
"toe","Keyword",8009,1.1557749060184284
"weten","Keyword",7979,1.151445620566992
"niks","Keyword",7851,1.1329740026408641
"word","Keyword",7738,1.1166670274404542
"lang","Keyword",7664,1.1059881233269115
"land","Keyword",7605,1.097473861939087
"soort","Keyword",7529,1.0865063387954483
"juist","Keyword",7459,1.0764046727420973
"vinden","Keyword",7424,1.0713538397154216
"zelfs","Keyword",7411,1.0694778160197993
"zitten","Keyword",7344,1.0598090785115917
"he","Keyword",7318,1.056057031120347
"werk","Keyword",7174,1.0352764609534528
"groot","Keyword",7121,1.0276280566559155
"blijven","Keyword",6856,0.9893860351682289
