"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",3916,6.126216326147492
"maken","Keyword",1817,2.842526829573543
"gewoon","Keyword",1806,2.8253183567472857
"jaar","Keyword",1716,2.684521760896092
"mee","Keyword",1626,2.5437251650448984
"vind","Keyword",1523,2.38259128312631
"komen","Keyword",1441,2.254309940239667
"alle","Keyword",1425,2.229279434310566
"excuses","Keyword",1356,2.1213353774913175
"man","Keyword",1347,2.1072557179061984
"denk","Keyword",1277,1.997747254466381
"erg","Keyword",1270,1.9867964081223992
"zit","Keyword",1240,1.939864209505335
"Lees","Keyword",1238,1.936735396264197
"Nederland","Keyword",1222,1.9117048903350957
"steeds","Keyword",1203,1.881981164544288
"leven","Keyword",1174,1.8366133725477927
"tijd","Keyword",1152,1.8021964268952786
"laat","Keyword",1137,1.7787303275867465
"beetje","Keyword",1107,1.7317981289696818
"staat","Keyword",1081,1.6911235568348923
"grote","Keyword",1063,1.6629642376646536
"nieuwe","Keyword",1063,1.6629642376646536
"ga","Keyword",1061,1.6598354244235163
"kinderen","Keyword",1058,1.6551422045618096
"Excuses voor het ongemak","Phrase",1031,1.6129032258064515
"helemaal","Keyword",1030,1.6113388191858826
"hoor","Keyword",1023,1.600387972841901
"allemaal","Keyword",1007,1.5753574669127999
"hoop","Keyword",997,1.5597134007071118
"dag","Keyword",988,1.5456337411219925
"jullie","Keyword",986,1.5425049278808547
"zie","Keyword",986,1.5425049278808547
"maakt","Keyword",956,1.4955727292637901
"vandaag","Keyword",939,1.4689778167141203
"nieuws","Keyword",925,1.4470761240261567
"face with tears of joy","Emoji",909,1.4220456180970558
"Nou","Keyword",908,1.420481211476487
"keer","Keyword",906,1.4173523982353493
"hele","Keyword",887,1.387628672444542
"terug","Keyword",816,1.2765558023841557
"blijft","Keyword",807,1.2624761427990363
"gelukkig","Keyword",805,1.2593473295578987
"snel","Keyword",800,1.2515252964550547
"sterkte","Keyword",800,1.2515252964550547
"word","Keyword",796,1.2452676699727792
"toe","Keyword",782,1.2233659772848158
"land","Keyword",777,1.2155439441819718
"staan","Keyword",772,1.2077219110791277
"weten","Keyword",761,1.1905134382528706
"lang","Keyword",733,1.1467100528769436
"juist","Keyword",725,1.1341947999123934
"soort","Keyword",717,1.1216795469478427
"natuurlijk","Keyword",709,1.1091642939832922
"groot","Keyword",707,1.1060354807421544
"zeg","Keyword",705,1.1029066675010168
"niks","Keyword",700,1.0950846343981726
"zelfs","Keyword",700,1.0950846343981726
"zitten","Keyword",690,1.0794405681924846
"graag","Keyword",688,1.076311754951347
