"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Mon Mar 02 23:00:00 UTC 2020"
"End Date","Tue Apr 07 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",12302,10.386342913106615
"corona","Keyword",7229,6.103306203775624
"coronavirus","Keyword",4564,3.853297760967208
"gewoon","Keyword",4135,3.491101279929756
"maken","Keyword",3642,3.0748708250312387
"alle","Keyword",3410,2.8789976697848774
"virus","Keyword",3152,2.6611732126574585
"komen","Keyword",3140,2.6510418425585085
"tijd","Keyword",3118,2.6324676640437676
"mee","Keyword",3007,2.538752490628483
"denk","Keyword",2878,2.429840262064773
"vind","Keyword",2829,2.3884705008273954
"erg","Keyword",2538,2.142784775927865
"zit","Keyword",2514,2.1225220357299652
"allemaal","Keyword",2460,2.076930870284692
"hoop","Keyword",2393,2.020364053898889
"laat","Keyword",2385,2.013609807166256
"leven","Keyword",2357,1.9899699436020397
"blijven","Keyword",2353,1.9865928202357233
"ga","Keyword",2345,1.9798385735030903
"grote","Keyword",2308,1.948600182364662
"sterkte","Keyword",2297,1.939313093107291
"Lees","Keyword",2288,1.931714565533079
"Nederland","Keyword",2264,1.9114518253351795
"beetje","Keyword",2237,1.8886562426125426
"thuis","Keyword",2235,1.8869676809293843
"#coronavirus","Hashtag",2230,1.8827462767214884
"dag","Keyword",2230,1.8827462767214884
"man","Keyword",2143,1.809293843504103
"zie","Keyword",2143,1.809293843504103
"jaar","Keyword",2138,1.8050724392962074
"helemaal","Keyword",2128,1.796629630880416
"steeds","Keyword",2093,1.7670798014251459
"kinderen","Keyword",2080,1.756104150484617
"elkaar","Keyword",2063,1.7417513761777716
"hoor","Keyword",2024,1.7088244233561853
"zitten","Keyword",2020,1.7054472999898687
"nodig","Keyword",1982,1.6733646280098613
"jullie","Keyword",1950,1.6463476410793285
"maakt","Keyword",1930,1.6294620242477458
"#corona","Hashtag",1879,1.5864037013272096
"hele","Keyword",1859,1.5695180844956267
"vandaag","Keyword",1853,1.5644523994461517
"juist","Keyword",1832,1.5467225017729898
"snel","Keyword",1827,1.542501097565094
"staat","Keyword",1809,1.5273040424166695
"coronacrisis","Keyword",1803,1.5222383573671945
"week","Keyword",1717,1.4496302049913883
"nou","Keyword",1662,1.4031947587045355
"nieuws","Keyword",1648,1.3913748269224275
"weten","Keyword",1617,1.3652021208334741
"nieuwe","Keyword",1604,1.3542264698929452
"zorg","Keyword",1567,1.322988078754517
"staan","Keyword",1533,1.294282530140826
"crisis","Keyword",1522,1.2849954408834554
"zorgen","Keyword",1514,1.2782411941508223
"gelukkig","Keyword",1498,1.2647327006855562
"natuurlijk","Keyword",1469,1.240248556279761
"ziek","Keyword",1463,1.2351828712302861
"Excuses","Keyword",1430,1.2073216034581744
