"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423395]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",329131,3.292576983623298
"jaar","Keyword",296353,2.9646708053258894
"mee","Keyword",290814,2.909259483049077
"vandaag","Keyword",256385,2.5648369492580745
"vind","Keyword",253481,2.5357857703644364
"gewoon","Keyword",242139,2.422322109547754
"dag","Keyword",236018,2.361088546872837
"maken","Keyword",227197,2.2728445905984622
"nieuwe","Keyword",217351,2.1743466886057754
"jullie","Keyword",211812,2.118935366328963
"alle","Keyword",197143,1.9721888982880613
"ga","Keyword",197008,1.9708383786080883
"hoor","Keyword",193766,1.9384058985897772
"mooie","Keyword",181158,1.812277364329794
"erg","Keyword",166735,1.667991843261287
"staat","Keyword",165572,1.6563573663145579
"tijd","Keyword",162282,1.6234447015211453
"komen","Keyword",159131,1.5919225718056307
"face with tears of joy","Emoji",158442,1.5850299195130284
"winking face","Emoji",149562,1.4961957361192588
"laat","Keyword",149260,1.493174573575912
"denk","Keyword",148909,1.4896632224079827
"zit","Keyword",146670,1.4672646034193957
"he","Keyword",140591,1.4064512024226923
"helemaal","Keyword",138986,1.3903950240052372
"Nederland","Keyword",137960,1.3801310744374435
"keer","Keyword",133931,1.339825564877365
"zie","Keyword",132763,1.3281410686832293
"goede","Keyword",131721,1.3177170575237351
"allemaal","Keyword",129188,1.2923773067876518
"nou","Keyword",128434,1.2848344042787665
"Lees","Keyword",128146,1.2819532956281576
"steeds","Keyword",126552,1.2660071595549967
"graag","Keyword",126071,1.2611953079545009
"werk","Keyword",126031,1.2607951539752498
"thumbs up sign","Emoji",124472,1.2451991526339337
"hele","Keyword",124454,1.2450190833432704
"snel","Keyword",124074,1.241217620540384
"man","Keyword",124072,1.2411976128414213
"week","Keyword",123965,1.2401272009469244
"Fijne","Keyword",122941,1.2298832590780933
"natuurlijk","Keyword",120949,1.2099555909113828
"terug","Keyword",120495,1.2054138432468813
"leven","Keyword",116140,1.1618470787559054
"weten","Keyword",112738,1.1278139828205893
"face throwing a kiss","Emoji",111808,1.1185104028029986
"vinden","Keyword",110880,1.1092268304843704
"beetje","Keyword",109466,1.09508138731784
"staan","Keyword",106001,1.0604180488652033
"uur","Keyword",105400,1.0544057353269538
"morgen","Keyword",103854,1.0389397840288943
"doe","Keyword",103719,1.0375892643489215
"grote","Keyword",103377,1.0341679478263235
"maakt","Keyword",102288,1.0232737557412093
"smiling face with smiling eyes","Emoji",100991,1.0102987629639886
"elkaar","Keyword",99328,0.9936623612766192
"weekend","Keyword",98882,0.9892006444079681
"kunt","Keyword",98294,0.9833183809129753
"gedaan","Keyword",97797,0.978346467720779
"nodig","Keyword",96915,0.9695230724782896
