"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423395]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",29833,3.409349340312102
"mee","Keyword",25266,2.8874273600484552
"jaar","Keyword",25157,2.874970715457096
"vind","Keyword",22155,2.531898724051038
"gewoon","Keyword",21671,2.4765866508196814
"dag","Keyword",21220,2.4250458553086447
"vandaag","Keyword",20673,2.3625340700657684
"maken","Keyword",20431,2.3348780334500905
"nieuwe","Keyword",17982,2.0550035141451484
"jullie","Keyword",17488,1.998548629483392
"ga","Keyword",17167,1.9618643825675544
"hoor","Keyword",16990,1.9416366202494757
"alle","Keyword",16748,1.9139805836337973
"face with tears of joy","Emoji",15088,1.7242738861874096
"erg","Keyword",14817,1.6933036964235717
"staat","Keyword",14558,1.6637048803762136
"mooie","Keyword",14341,1.6389058723365353
"komen","Keyword",14126,1.6143354265829368
"tijd","Keyword",14094,1.610678430005657
"winking face","Emoji",13988,1.5985646288434179
"denk","Keyword",13651,1.56005188363894
"laat","Keyword",13220,1.5107967109887033
"zit","Keyword",13173,1.5054254972658236
"helemaal","Keyword",12817,1.4647414103435863
"Lees","Keyword",12345,1.4108007108287097
"Nou","Keyword",11899,1.359831321032873
"keer","Keyword",11898,1.359717039889833
"zie","Keyword",11764,1.344403366722474
"face throwing a kiss","Emoji",11746,1.342346306147754
"goede","Keyword",11719,1.3392607152856744
"steeds","Keyword",11703,1.3374322169970345
"allemaal","Keyword",11593,1.3248612912626352
"werk","Keyword",11588,1.3242898855474352
"thumbs up sign","Emoji",11228,1.2831486740530378
"man","Keyword",10954,1.25183564086008
"hele","Keyword",10952,1.2516070785739999
"natuurlijk","Keyword",10788,1.2328649711154411
"graag","Keyword",10689,1.2215511379544817
"snel","Keyword",10615,1.2130943333695223
"terug","Keyword",10443,1.1934379767666436
"Fijne","Keyword",10434,1.1924094464792838
"week","Keyword",10322,1.1796099584588045
"weten","Keyword",10230,1.1690960932991252
"leven","Keyword",10154,1.1604107264280856
"vinden","Keyword",10103,1.1545823881330461
"beetje","Keyword",9880,1.1290976932351278
"smiling face with smiling eyes","Emoji",9653,1.1031558737650495
"doe","Keyword",9509,1.0866993891672905
"maakt","Keyword",9305,1.0633860359871319
"zorgen","Keyword",9290,1.061671818841532
"grote","Keyword",9227,1.0544721068300127
"nodig","Keyword",9104,1.0404155262360932
"staan","Keyword",9038,1.0328729707954538
"elkaar","Keyword",9003,1.0288731307890542
"kunt","Keyword",8824,1.0084168061848955
"gedaan","Keyword",8709,0.9952744747352964
"Antwoord","Keyword",8663,0.9900175421554567
"idee","Keyword",8609,0.983846360431297
"blijft","Keyword",8597,0.9824749867148171
"morgen","Keyword",8591,0.9817892998565771
