"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Tue Mar 03 23:00:00 UTC 2020"
"End Date","Tue Apr 07 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",67501,5.271954632183127
"corona","Keyword",38927,3.040271669560341
"gewoon","Keyword",36874,2.8799285211644365
"mee","Keyword",34154,2.6674914224616306
"alle","Keyword",32754,2.558148798129304
"dag","Keyword",32156,2.511443877164496
"tijd","Keyword",31638,2.470987106161535
"vind","Keyword",30940,2.416471997744418
"jullie","Keyword",29280,2.2868228860360875
"maken","Keyword",29158,2.277294457344271
"vandaag","Keyword",28570,2.231370555124694
"ga","Keyword",26801,2.0932083390933465
"hoor","Keyword",25686,2.0061247490001004
"jaar","Keyword",24903,1.944970981248521
"thuis","Keyword",24724,1.9309907457088877
"coronavirus","Keyword",24522,1.9152141670552236
"komen","Keyword",23331,1.8221948344982228
"denk","Keyword",22882,1.7871270928373553
"erg","Keyword",22058,1.7227711482303287
"allemaal","Keyword",22036,1.7210529069908207
"elkaar","Keyword",21608,1.6876253046949379
"nieuwe","Keyword",20881,1.6308452419166513
"blijven","Keyword",20789,1.623659869460527
"zit","Keyword",20534,1.603743891457139
"werk","Keyword",20210,1.5784388841116574
"face with tears of joy","Emoji",19993,1.561490777340147
"laat","Keyword",19432,1.517675625732693
"Nederland","Keyword",19014,1.4850290421820413
"week","Keyword",18913,1.4771407528552094
"staat","Keyword",18666,1.457849589848006
"helemaal","Keyword",18623,1.4544912092435132
"winking face","Emoji",18566,1.4500394023956968
"snel","Keyword",18545,1.448399263030712
"mooie","Keyword",17771,1.38794841214984
"nodig","Keyword",17768,1.3877141065262708
"beetje","Keyword",17427,1.3610813673138968
"nou","Keyword",17374,1.3569419679641732
"zie","Keyword",17353,1.355301828599188
"face throwing a kiss","Emoji",16871,1.3176567250790587
"hele","Keyword",16859,1.3167195025847815
"thumbs up sign","Emoji",16591,1.2957882002125933
"werken","Keyword",16244,1.2686868497530808
"doe","Keyword",16141,1.2606423566772025
"Lees","Keyword",16128,1.2596270323084025
"man","Keyword",15925,1.243772351780215
"steeds","Keyword",15866,1.2391643411833528
"weten","Keyword",15720,1.2277614675029815
"goede","Keyword",15667,1.2236220681532577
"natuurlijk","Keyword",15660,1.2230753550315963
"kinderen","Keyword",15448,1.206517757632701
"zorg","Keyword",15403,1.203003173279162
"zitten","Keyword",15004,1.1718405253444486
"sterkte","Keyword",14969,1.1691069597361408
"staan","Keyword",14648,1.1440362580142285
"leven","Keyword",14142,1.1045167095055448
"keer","Keyword",14101,1.1013145326500982
"#coronavirus","Hashtag",13971,1.0911612889620963
"smiling face with smiling eyes","Emoji",13650,1.0660905872401845
"kunt","Keyword",13565,1.0594519279057217
"vinden","Keyword",13271,1.036489976795933
