"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423398]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"jaar","Keyword",150420,7.264297873881705
"mensen","Keyword",98849,4.773757349656512
"mee","Keyword",74908,3.6175643208132615
"gewoon","Keyword",58358,2.818308039648907
"alle","Keyword",52798,2.5497965639223925
"vandaag","Keyword",50779,2.45229212696343
"maken","Keyword",50689,2.447945718183684
"vind","Keyword",48322,2.333635167276371
"tijd","Keyword",44760,2.1616139664602123
"staat","Keyword",42636,2.0590387192582127
"hoor","Keyword",42320,2.0437779950982167
"denk","Keyword",41087,1.9842321948157
"komen","Keyword",41032,1.9815760561169669
"jullie","Keyword",40872,1.9738491071751967
"ga","Keyword",40833,1.97196566337064
"nieuwe","Keyword",40781,1.9694544049645646
"zie","Keyword",40343,1.9483018822364688
"steeds","Keyword",39309,1.898366474700279
"Nederland","Keyword",39081,1.8873555724582565
"dag","Keyword",38756,1.8716602074202857
"niks","Keyword",38719,1.8698733504775011
"zit","Keyword",37982,1.8342810919144723
"erg","Keyword",37755,1.823318483103336
"helemaal","Keyword",36439,1.759764328057276
"lang","Keyword",36406,1.7581706448380359
"keer","Keyword",34184,1.6508626414092022
"laat","Keyword",33673,1.6261846982264239
"terug","Keyword",33313,1.6087990631074407
"mooi","Keyword",33046,1.5959047170608618
"hele","Keyword",33004,1.593876392963647
"Lees","Keyword",32957,1.591606601712002
"beetje","Keyword",31768,1.5341857123884723
"jaren","Keyword",31604,1.5262655897231578
"nou","Keyword",30798,1.4873410844289905
"grote","Keyword",30526,1.4742052712279812
"leven","Keyword",30472,1.4715974259601339
"man","Keyword",30363,1.4663334419935528
"paar","Keyword",29613,1.430113368829005
"face with tears of joy","Emoji",29466,1.4230142344887535
"week","Keyword",29156,1.408043270914074
"natuurlijk","Keyword",28322,1.3677665495550966
"allemaal","Keyword",27397,1.3230951259854877
"geld","Keyword",27117,1.30957296533739
"uur","Keyword",26495,1.2795344513262583
"goede","Keyword",25960,1.2536974658022144
"leuk","Keyword",25583,1.2354908423581683
"maakt","Keyword",25362,1.224817994132348
"kinderen","Keyword",25216,1.2177671532229828
"hoop","Keyword",24671,1.191447233390078
"weten","Keyword",24567,1.1864247165779276
"toe","Keyword",24320,1.1744962391490696
"winking face","Emoji",23954,1.1568208434447704
"lekker","Keyword",23899,1.1541647047460368
"kunt","Keyword",23763,1.1475967981455324
"mooie","Keyword",23725,1.1457616477718617
"eigenlijk","Keyword",23706,1.1448440725850266
"vinden","Keyword",23058,1.1135499293708573
"blijft","Keyword",22817,1.1019112125273158
"snel","Keyword",22692,1.095874533666558
"zitten","Keyword",22433,1.0833665350670676
