"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423398]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"jaar","Keyword",14612,7.69579185758677
"mensen","Keyword",9503,5.005003423394955
"mee","Keyword",7030,3.7025333122662873
"gewoon","Keyword",5382,2.834571022278401
"maken","Keyword",4959,2.611787012166219
"alle","Keyword",4944,2.6038868699636595
"vind","Keyword",4465,2.351608995628588
"vandaag","Keyword",4335,2.2831410965397376
"tijd","Keyword",4036,2.1256649286353824
"steeds","Keyword",3904,2.056143677252857
"denk","Keyword",3902,2.0550903249591825
"komen","Keyword",3836,2.0203296992679203
"hoor","Keyword",3806,2.004529414862801
"staat","Keyword",3793,1.997682624953916
"niks","Keyword",3748,1.973982198346237
"jullie","Keyword",3726,1.9623953231158162
"ga","Keyword",3714,1.9560752093537686
"zie","Keyword",3658,1.9265813451308789
"zit","Keyword",3648,1.9213145836625058
"dag","Keyword",3594,1.892874071733291
"Nederland","Keyword",3565,1.8776004634750092
"nieuwe","Keyword",3554,1.8718070258597987
"lang","Keyword",3520,1.8539000368673304
"erg","Keyword",3420,1.8012324221835994
"helemaal","Keyword",3375,1.7775319955759201
"Lees","Keyword",3265,1.7195976194238163
"keer","Keyword",3211,1.6911571074946015
"jaren","Keyword",3098,1.6316427029019858
"laat","Keyword",3080,1.622162532258914
"hele","Keyword",3060,1.611629009322168
"beetje","Keyword",2908,1.5315742350028967
"leven","Keyword",2873,1.513140569863591
"terug","Keyword",2867,1.509980512982567
"mooi","Keyword",2857,1.504713751514194
"man","Keyword",2856,1.5041870753673567
"grote","Keyword",2807,1.4783799441723284
"face with tears of joy","Emoji",2806,1.4778532680254912
"Nou","Keyword",2788,1.4683730973824196
"geld","Keyword",2684,1.4135987781113393
"natuurlijk","Keyword",2684,1.4135987781113393
"staan","Keyword",2653,1.3972718175593828
"allemaal","Keyword",2617,1.3783114762732396
"paar","Keyword",2570,1.353557697371886
"goede","Keyword",2543,1.3393374414072785
"nodig","Keyword",2429,1.2792963606678254
"week","Keyword",2404,1.2661294569968926
"toe","Keyword",2396,1.2619160478221942
"maakt","Keyword",2393,1.2603360193816822
"kinderen","Keyword",2320,1.2218886606625587
"winking face","Emoji",2313,1.2182019276346974
"weten","Keyword",2284,1.2029283193764153
"kunt","Keyword",2256,1.1881813872649707
"hoop","Keyword",2255,1.1876547111181335
"graag","Keyword",2225,1.1718544267130142
"leuk","Keyword",2220,1.1692210459788277
"eigenlijk","Keyword",2210,1.1639542845104545
"uur","Keyword",2151,1.1328803918470531
"elkaar","Keyword",2148,1.1313003634065413
"vinden","Keyword",2141,1.1276136303786801
"land","Keyword",2140,1.127086954231843
